year,month,dairy,other_cow,not_defined,total
2010,1,606646,109682,908087,1624415
2010,2,606714,109919,912195,1628828
2010,3,601831,109942,909786,1621559
2010,4,596794,109942,903661,1610397
2010,5,591420,109594,893320,1594334
2010,6,585446,109665,880709,1575820
2010,7,582785,109780,882891,1575456
2010,8,582749,110281,883453,1576483
2010,9,591770,110887,890600,1593257
2010,10,599290,111432,901798,1612520
2010,11,600494,111622,902969,1615085
2010,12,604965,111905,902433,1619303
2011,1,604623,112110,900819,1617552
2011,2,604608,112178,902144,1618930
2011,3,600944,112184,901180,1614308
2011,4,596820,112086,894281,1603187
2011,5,590679,112056,881179,1583914
2011,6,585697,112137,869785,1567619
2011,7,582678,112097,869990,1564765
2011,8,583296,112629,872892,1568817
2011,9,592748,113046,877773,1583567
2011,10,599660,113727,888966,1602353
2011,11,603278,114119,890742,1608139
2011,12,607625,114510,890692,1612827
2012,1,606654,114679,890704,1612037
2012,2,606047,114805,894505,1615357
2012,3,602097,114738,890797,1607632
2012,4,596694,114476,883421,1594591
2012,5,591273,114513,871283,1577069
2012,6,586004,114631,856263,1556898
2012,7,582216,114809,859238,1556263
2012,8,581921,115369,862121,1559411
2012,9,590805,116469,871083,1578357
2012,10,596649,117146,879894,1593689
2012,11,597627,117348,878997,1593972
2012,12,601449,117688,882833,1601970
2013,1,602454,117903,883037,1603394
2013,2,601333,117802,881222,1600357
2013,3,597562,117805,879646,1595013
2013,4,591340,117629,869025,1577994
2013,5,586421,117625,855067,1559113
2013,6,582411,117497,847341,1547249
2013,7,579802,117337,850576,1547715
2013,8,580935,117952,854327,1553214
2013,9,586641,118893,861819,1567353
2013,10,592003,119386,872956,1584345
2013,11,592947,119306,875338,1587591
2013,12,594904,119574,879253,1593731
2014,1,593850,119828,874649,1588327
2014,2,593254,119929,869606,1582789
2014,3,590798,119896,864541,1575235
2014,4,586723,119709,861393,1567825
2014,5,582954,119379,848700,1551033
2014,6,579696,118695,841238,1539629
2014,7,576523,118595,842365,1537483
2014,8,576135,118944,847860,1542939
2014,9,581719,119811,853646,1555176
2014,10,586582,120446,863541,1570569
2014,11,587657,120709,866349,1574715
2014,12,589279,120807,867616,1577702
2015,1,589635,121157,865877,1576669
2015,2,587911,121372,866477,1575760
2015,3,583205,121357,863436,1567998
2015,4,579045,120935,857308,1557288
2015,5,575788,120780,849338,1545906
2015,6,570943,120172,838994,1530109
2015,7,566292,120091,838871,1525254
2015,8,565010,120365,842967,1528342
2015,9,571865,121508,850819,1544192
2015,10,576439,122316,861785,1560540
2015,11,576898,122699,866177,1565774
2015,12,579758,123131,870387,1573276
2016,1,579285,123607,870151,1573043
2016,2,576722,123736,867106,1567564
2016,3,572928,123778,866069,1562775
2016,4,567436,123468,855336,1546240
2016,5,562990,123380,842599,1528969
2016,6,558449,122762,834010,1515221
2016,7,555672,122702,838361,1516735
2016,8,556281,122903,844152,1523336
2016,9,564462,124049,851041,1539552
2016,10,569477,125027,861451,1555955
2016,11,570946,125083,863742,1559771
2016,12,573717,125698,865829,1565244
2017,1,573876,126520,865693,1566089
2017,2,573463,126658,864576,1564697
2017,3,570916,126858,858780,1556554
2017,4,567673,126908,854731,1549312
2017,5,562869,126538,843869,1533276
2017,6,557410,125744,833293,1516447
2017,7,552174,125380,835897,1513451
2017,8,553269,125700,842389,1521358
