year,month,total
2010,1,716328
2010,2,716633
2010,3,711773
2010,4,706736
2010,5,701014
2010,6,695111
2010,7,692565
2010,8,693030
2010,9,702657
2010,10,710722
2010,11,712116
2010,12,716870
2011,1,716733
2011,2,716786
2011,3,713128
2011,4,708906
2011,5,702735
2011,6,697834
2011,7,694775
2011,8,695925
2011,9,705794
2011,10,713387
2011,11,717397
2011,12,722135
2012,1,721333
2012,2,720852
2012,3,716835
2012,4,711170
2012,5,705786
2012,6,700635
2012,7,697025
2012,8,697290
2012,9,707274
2012,10,713795
2012,11,714975
2012,12,719137
2013,1,720357
2013,2,719135
2013,3,715367
2013,4,708969
2013,5,704046
2013,6,699908
2013,7,697139
2013,8,698887
2013,9,705534
2013,10,711389
2013,11,712253
2013,12,714478
2014,1,713678
2014,2,713183
2014,3,710694
2014,4,706432
2014,5,702333
2014,6,698391
2014,7,695118
2014,8,695079
2014,9,701530
2014,10,707028
2014,11,708366
2014,12,710086
2015,1,710792
2015,2,709283
2015,3,704562
2015,4,699980
2015,5,696568
2015,6,691115
2015,7,686383
2015,8,685375
2015,9,693373
2015,10,698755
2015,11,699597
2015,12,702889
2016,1,702892
2016,2,700458
2016,3,696706
2016,4,690904
2016,5,686370
2016,6,681211
2016,7,678374
2016,8,679184
2016,9,688511
2016,10,694504
2016,11,696029
2016,12,699415
2017,1,700396
2017,2,700121
2017,3,697774
2017,4,694581
2017,5,689407
2017,6,683154
2017,7,677554
2017,8,678969
2017,9,686772
2017,10,691306
2017,11,692882
2017,12,696740
2018,1,695877
2018,2,696395
2018,3,692791
2018,4,687830
2018,5,683745
2018,6,679066
2018,7,673918
2018,8,674037
2018,9,681349
2018,10,684127
2018,11,686482
2018,12,689316
2019,1,689322
2019,2,689087
2019,3,686817
2019,4,680620
2019,5,675062
2019,6,671227
2019,7,666688
2019,8,667054
2019,9,674857
2019,10,679121
2019,11,680356
2019,12,682989
2020,1,683702
2020,2,684258
2020,3,681309
2020,4,680801
2020,5,676478
2020,6,669838
2020,7,667055
2020,8,666908
2020,9,673698
2020,10,678208
2020,11,681697
2020,12,685903
2021,1,688565
2021,2,689333
2021,3,684562
2021,4,680060
2021,5,675579
2021,6,671301
2021,7,668558
2021,8,667780
2021,9,675164
2021,10,680471
2021,11,680809
2021,12,684948
2022,1,686451
2022,2,687232
2022,3,684564
2022,4,680632
2022,5,675991
2022,6,671497
2022,7,667588
2022,8,664986
2022,9,670911
2022,10,675425
2022,11,675921
2022,12,679253
2023,1,679638
2023,2,679114
2023,3,675638
2023,4,671992
2023,5,666667
2023,6,661686
2023,7,656554
