year,month,total
2016,1,492758
2016,2,493081
2016,3,493793
2016,4,494625
2016,5,495308
2016,6,496395
2016,7,496419
2016,8,497079
2016,9,497395
2016,10,497885
2016,11,498404
2016,12,497075
2017,1,497084
2017,2,497927
2017,3,498559
2017,4,499306
2017,5,500548
2017,6,501538
2017,7,502085
2017,8,503344
2017,9,504203
2017,10,505199
2017,11,505860
2017,12,505628
2018,1,505063
2018,2,505564
2018,3,506472
2018,4,507493
2018,5,507798
2018,6,508824
2018,7,509210
2018,8,510040
2018,9,510755
2018,10,511461
2018,11,511700
2018,12,511311
2019,1,510836
2019,2,511514
2019,3,512449
2019,4,513529
2019,5,514384
2019,6,514781
2019,7,514796
2019,8,515743
2019,9,516042
2019,10,516643
2019,11,517324
2019,12,516979
2020,1,516801
2020,2,517422
2020,3,517907
2020,4,518194
2020,5,519058
2020,6,520361
2020,7,521356
2020,8,523096
2020,9,524403
2020,10,526207
2020,11,527638
2020,12,528399
2021,1,529800
2021,2,531154
2021,3,532850
2021,4,534643
2021,5,537296
2021,6,538515
2021,7,540048
2021,8,541751
2021,9,542644
2021,10,544061
2021,11,545614
2021,12,546233
2022,1,547240
2022,2,548016
2022,3,547426
2022,4,549715
2022,5,551504
2022,6,552366
2022,7,552993
2022,8,554064
2022,9,555020
2022,10,556188
2022,11,557026
2022,12,557029
2023,1,557802
2023,2,558156
2023,3,559136
2023,4,560300
2023,5,561036
2023,6,559996
2023,7,558730
