year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,31541,732,3049,50141,12923,4395,16569,22530,2150,10718,6267,15991,9143,1428,1571,22436,3730,14037,6487,14915,24053,1287,43916,17858,3896,47623,5173
2016,2,31509,734,3043,50082,12901,4381,16528,22555,2148,10709,6252,15974,9134,1430,1571,22400,3734,14007,6464,14896,24048,1289,43832,17867,3902,47605,5158
2016,3,31510,734,3044,50047,12913,4374,16519,22578,2136,10708,6240,15962,9134,1437,1575,22397,3721,13991,6475,14886,24085,1290,43760,17888,3913,47652,5136
2016,4,31514,740,3052,50042,12897,4363,16503,22670,2131,10712,6229,15989,9134,1432,1573,22416,3730,13970,6475,14883,24121,1287,43752,17899,3915,47723,5113
2016,5,31495,733,3052,50013,12905,4350,16484,22681,2140,10713,6221,16022,9121,1426,1565,22423,3727,13991,6457,14865,24120,1293,43751,17906,3923,47749,5103
2016,6,31517,735,3051,49973,12917,4345,16482,22691,2135,10720,6210,16016,9119,1428,1572,22413,3725,14008,6486,14870,24121,1294,43773,17927,3939,47740,5097
2016,7,31517,736,3052,49933,12830,4336,16485,22695,2127,10710,6205,16010,9110,1427,1566,22420,3737,14000,6480,14881,24094,1295,43792,17932,3941,47772,5065
2016,8,31552,739,3052,49980,12711,4323,16488,22731,2129,10734,6214,16029,9105,1428,1576,22468,3744,14007,6489,14921,24060,1297,43836,17965,3955,47816,5048
2016,9,31574,730,3047,49974,12697,4342,16511,22790,2119,10755,6228,16059,9095,1431,1575,22489,3746,14027,6494,14954,24124,1290,43943,17995,3958,47889,5035
2016,10,31629,727,3056,49969,12689,4358,16487,22833,2114,10744,6229,16117,9087,1430,1580,22495,3749,14039,6486,14956,24149,1298,43998,17987,3966,47965,5032
2016,11,31654,726,3076,49985,12698,4373,16469,22845,2125,10773,6232,16137,9092,1439,1574,22510,3752,14068,6491,14973,24160,1296,44034,17972,3983,48053,5016
2016,12,31599,718,3090,49354,12643,4377,16387,22820,2126,10728,6152,16023,9040,1430,1567,22495,3740,13926,6467,14933,24138,1283,43879,17894,3982,48030,5006
2017,1,31682,719,3090,49326,12681,4386,16363,22866,2131,10750,6134,16031,9037,1431,1560,22519,3749,13765,6459,14948,24202,1277,43893,17870,3971,48188,4986
2017,2,31757,712,3095,49411,12689,4395,16416,22974,2132,10767,6139,16050,9091,1427,1568,22541,3770,13776,6469,14976,24254,1277,43960,17949,3978,48253,4960
2017,3,31780,714,3105,49443,12697,4424,16493,23076,2140,10752,6137,16082,9091,1424,1563,22621,3793,13887,6494,15000,24263,1281,43983,18012,3980,48356,4934
2017,4,31747,715,3107,49452,12689,4423,16533,23141,2145,10757,6127,16097,9093,1428,1563,22651,3790,13911,6492,14991,24273,1283,44050,18037,3983,48418,4921
