year,month,apportier_stoeber_wasserhunde,dachshunde,gesellschaftsund_begleithunde,hueteund_treibhunde,laufund_schweisshunde,pinscher_schnauzer_molosser,spitzeund_urtyp_hunde,terrier,undefined,vorstehhunde,windhunde
2016,1,53558,6571,89663,52942,14582,43964,15830,58587,141827,10684,4550
2016,2,53506,6598,90014,52844,14586,43963,15928,58579,141829,10691,4543
2016,3,53566,6597,90394,52862,14577,44034,16036,58623,141834,10704,4566
2016,4,53663,6604,90762,52963,14584,44154,16147,58654,141832,10697,4565
2016,5,53712,6612,91190,52991,14687,44095,16263,58581,141877,10726,4574
2016,6,53809,6617,91539,53141,14741,44298,16361,58666,141892,10744,4587
2016,7,53660,6611,91809,53135,14762,44366,16461,58674,141585,10760,4596
2016,8,53646,6607,92205,53157,14780,44445,16609,58702,141552,10767,4609
2016,9,53688,6616,92488,53088,14775,44454,16750,58698,141465,10759,4614
2016,10,53672,6625,92880,53130,14752,44416,16873,58679,141494,10758,4606
2016,11,53576,6603,93276,53134,14733,44440,17023,58676,141623,10737,4583
2016,12,53332,6580,93441,52934,14658,44271,17138,58529,140919,10685,4588
2017,1,53146,6577,93873,52925,14627,44208,17289,58486,140684,10684,4585
2017,2,53153,6560,94182,53026,14612,44289,17513,58595,140692,10698,4607
2017,3,53094,6562,94491,53067,14693,44383,17648,58567,140741,10671,4642
2017,4,53141,6567,94864,53186,14709,44375,17782,58602,140727,10705,4648
2017,5,53296,6556,95274,53312,14787,44550,17928,58623,140842,10716,4664
2017,6,53372,6565,95532,53418,14882,44676,18074,58665,140936,10742,4676
2017,7,53325,6566,95786,53433,14942,44665,18211,58649,141037,10784,4687
2017,8,53410,6589,96211,53519,14939,44697,18401,58788,141306,10793,4691
2017,9,53428,6593,96684,53520,14884,44802,18546,58780,141458,10789,4719
2017,10,53446,6574,97123,53568,14874,44833,18734,58767,141753,10806,4721
2017,11,53378,6584,97489,53654,14841,44865,18881,58776,141837,10837,4718
2017,12,53323,6563,97687,53551,14786,44777,19084,58585,141744,10822,4706
2018,1,53113,6570,97958,53399,14745,44635,19247,58414,141462,10822,4698
2018,2,53109,6580,98278,53392,14724,44584,19393,58424,141559,10824,4697
2018,3,53211,6599,98673,53387,14730,44625,19550,58505,141632,10862,4698
2018,4,53282,6609,98973,53539,14756,44724,19676,58506,141825,10886,4717
2018,5,53171,6594,99214,53642,14776,44740,19865,58466,141703,10893,4734
2018,6,53249,6603,99480,53964,14804,44866,20045,58475,141692,10888,4758
2018,7,53188,6612,99746,54029,14851,44866,20212,58450,141611,10886,4759
2018,8,53233,6632,100165,54058,14853,44821,20371,58451,141744,10924,4788
2018,9,53201,6655,100555,54056,14819,44801,20489,58530,141938,10918,4793
2018,10,53178,6677,100834,54082,14806,44777,20663,58533,142176,10927,4808
2018,11,53184,6690,100992,54037,14754,44767,20781,58483,142281,10935,4796
2018,12,52968,6692,101176,54001,14722,44631,20993,58325,142076,10927,4800
2019,1,52817,6667,101356,53868,14652,44564,21234,58127,141892,10868,4791
2019,2,52882,6684,101635,53904,14670,44638,21427,58073,141928,10885,4788
2019,3,52943,6703,101940,54041,14670,44705,21565,58109,142068,10914,4791
