year,month,breed,n_animals
2016,1,Affenpinscher,67.0
2016,2,Affenpinscher,68.0
2016,3,Affenpinscher,69.0
2016,4,Affenpinscher,69.0
2016,5,Affenpinscher,69.0
2016,6,Affenpinscher,71.0
2016,7,Affenpinscher,72.0
2016,8,Affenpinscher,73.0
2016,9,Affenpinscher,75.0
2016,10,Affenpinscher,76.0
2016,11,Affenpinscher,78.0
2016,12,Affenpinscher,77.0
2017,1,Affenpinscher,81.0
2017,2,Affenpinscher,82.0
2017,3,Affenpinscher,82.0
2017,4,Affenpinscher,83.0
2017,5,Affenpinscher,83.0
2017,6,Affenpinscher,84.0
2017,7,Affenpinscher,84.0
2017,8,Affenpinscher,85.0
2017,9,Affenpinscher,87.0
2017,10,Affenpinscher,87.0
2017,11,Affenpinscher,87.0
2017,12,Affenpinscher,89.0
2018,1,Affenpinscher,90.0
2018,2,Affenpinscher,90.0
2018,3,Affenpinscher,90.0
2018,4,Affenpinscher,92.0
2018,5,Affenpinscher,94.0
2018,6,Affenpinscher,97.0
2018,7,Affenpinscher,98.0
2018,8,Affenpinscher,98.0
2018,9,Affenpinscher,104.0
2018,10,Affenpinscher,104.0
2018,11,Affenpinscher,106.0
2018,12,Affenpinscher,105.0
2019,1,Affenpinscher,105.0
2019,2,Affenpinscher,106.0
2019,3,Affenpinscher,106.0
2019,4,Affenpinscher,104.0
2019,5,Affenpinscher,104.0
2019,6,Affenpinscher,105.0
2019,7,Affenpinscher,106.0
2019,8,Affenpinscher,112.0
2019,9,Affenpinscher,115.0
2019,10,Affenpinscher,116.0
2019,11,Affenpinscher,118.0
2019,12,Affenpinscher,119.0
2020,1,Affenpinscher,120.0
2020,2,Affenpinscher,122.0
2020,3,Affenpinscher,124.0
2020,4,Affenpinscher,123.0
2020,5,Affenpinscher,124.0
2020,6,Affenpinscher,128.0
2020,7,Affenpinscher,129.0
2020,8,Affenpinscher,134.0
2020,9,Affenpinscher,136.0
2020,10,Affenpinscher,139.0
2020,11,Affenpinscher,138.0
2020,12,Affenpinscher,135.0
2021,1,Affenpinscher,137.0
2021,2,Affenpinscher,136.0
2021,3,Affenpinscher,138.0
2021,4,Affenpinscher,137.0
2021,5,Affenpinscher,135.0
2021,6,Affenpinscher,135.0
2021,7,Affenpinscher,140.0
2021,8,Affenpinscher,140.0
2021,9,Affenpinscher,139.0
2021,10,Affenpinscher,140.0
2021,11,Affenpinscher,139.0
2021,12,Affenpinscher,140.0
2022,1,Affenpinscher,141.0
2022,2,Affenpinscher,141.0
2022,3,Affenpinscher,140.0
2022,4,Affenpinscher,139.0
2022,5,Affenpinscher,137.0
2022,6,Affenpinscher,137.0
2022,7,Affenpinscher,138.0
2022,8,Affenpinscher,143.0
2022,9,Affenpinscher,145.0
2022,10,Affenpinscher,145.0
2022,11,Affenpinscher,144.0
2022,12,Affenpinscher,143.0
2023,1,Affenpinscher,147.0
2023,2,Affenpinscher,145.0
2023,3,Affenpinscher,144.0
2023,4,Affenpinscher,145.0
2023,5,Affenpinscher,145.0
2023,6,Affenpinscher,146.0
2023,7,Affenpinscher,144.0
2016,1,Afghan Hound,296.0
2016,2,Afghan Hound,291.0
2016,3,Afghan Hound,290.0
2016,4,Afghan Hound,285.0
2016,5,Afghan Hound,283.0
2016,6,Afghan Hound,284.0
2016,7,Afghan Hound,281.0
2016,8,Afghan Hound,282.0
2016,9,Afghan Hound,284.0
2016,10,Afghan Hound,284.0
2016,11,Afghan Hound,286.0
2016,12,Afghan Hound,285.0
2017,1,Afghan Hound,286.0
2017,2,Afghan Hound,287.0
2017,3,Afghan Hound,291.0
2017,4,Afghan Hound,295.0
2017,5,Afghan Hound,291.0
2017,6,Afghan Hound,290.0
2017,7,Afghan Hound,289.0
2017,8,Afghan Hound,286.0
2017,9,Afghan Hound,284.0
2017,10,Afghan Hound,284.0
2017,11,Afghan Hound,281.0
2017,12,Afghan Hound,280.0
2018,1,Afghan Hound,281.0
2018,2,Afghan Hound,280.0
2018,3,Afghan Hound,279.0
2018,4,Afghan Hound,277.0
2018,5,Afghan Hound,274.0
2018,6,Afghan Hound,277.0
2018,7,Afghan Hound,277.0
2018,8,Afghan Hound,275.0
2018,9,Afghan Hound,272.0
2018,10,Afghan Hound,269.0
2018,11,Afghan Hound,265.0
2018,12,Afghan Hound,264.0
2019,1,Afghan Hound,265.0
2019,2,Afghan Hound,265.0
2019,3,Afghan Hound,264.0
2019,4,Afghan Hound,260.0
2019,5,Afghan Hound,264.0
2019,6,Afghan Hound,260.0
2019,7,Afghan Hound,261.0
2019,8,Afghan Hound,258.0
2019,9,Afghan Hound,256.0
2019,10,Afghan Hound,255.0
2019,11,Afghan Hound,255.0
2019,12,Afghan Hound,253.0
2020,1,Afghan Hound,256.0
2020,2,Afghan Hound,255.0
