year,month,breed,n_animals
2016,1,American Bull Terrier,10.0
2016,2,American Bull Terrier,10.0
2016,3,American Bull Terrier,11.0
2016,4,American Bull Terrier,11.0
2016,5,American Bull Terrier,11.0
2016,6,American Bull Terrier,12.0
2016,7,American Bull Terrier,13.0
2016,8,American Bull Terrier,13.0
2016,9,American Bull Terrier,13.0
2016,10,American Bull Terrier,13.0
2016,11,American Bull Terrier,13.0
2016,12,American Bull Terrier,14.0
2017,1,American Bull Terrier,12.0
2017,2,American Bull Terrier,12.0
2017,3,American Bull Terrier,12.0
2017,4,American Bull Terrier,12.0
2017,5,American Bull Terrier,13.0
2017,6,American Bull Terrier,14.0
2017,7,American Bull Terrier,13.0
2017,8,American Bull Terrier,17.0
2017,9,American Bull Terrier,18.0
2017,10,American Bull Terrier,19.0
2017,11,American Bull Terrier,19.0
2017,12,American Bull Terrier,25.0
2018,1,American Bull Terrier,25.0
2018,2,American Bull Terrier,25.0
2018,3,American Bull Terrier,25.0
2018,4,American Bull Terrier,26.0
2018,5,American Bull Terrier,26.0
2018,6,American Bull Terrier,26.0
2018,7,American Bull Terrier,25.0
2018,8,American Bull Terrier,25.0
2018,9,American Bull Terrier,24.0
2018,10,American Bull Terrier,24.0
2018,11,American Bull Terrier,25.0
2018,12,American Bull Terrier,24.0
2019,1,American Bull Terrier,24.0
2019,2,American Bull Terrier,24.0
2019,3,American Bull Terrier,23.0
2019,4,American Bull Terrier,23.0
2019,5,American Bull Terrier,23.0
2019,6,American Bull Terrier,23.0
2019,7,American Bull Terrier,23.0
2019,8,American Bull Terrier,23.0
2019,9,American Bull Terrier,24.0
2019,10,American Bull Terrier,26.0
2019,11,American Bull Terrier,26.0
2019,12,American Bull Terrier,26.0
2020,1,American Bull Terrier,26.0
2020,2,American Bull Terrier,25.0
2020,3,American Bull Terrier,25.0
2020,4,American Bull Terrier,25.0
2020,5,American Bull Terrier,25.0
2020,6,American Bull Terrier,24.0
2020,7,American Bull Terrier,24.0
2020,8,American Bull Terrier,24.0
2020,9,American Bull Terrier,24.0
2020,10,American Bull Terrier,24.0
2020,11,American Bull Terrier,24.0
2020,12,American Bull Terrier,24.0
2021,1,American Bull Terrier,25.0
2021,2,American Bull Terrier,26.0
2021,3,American Bull Terrier,26.0
2021,4,American Bull Terrier,26.0
2021,5,American Bull Terrier,26.0
2021,6,American Bull Terrier,26.0
2021,7,American Bull Terrier,26.0
2021,8,American Bull Terrier,26.0
2021,9,American Bull Terrier,26.0
2021,10,American Bull Terrier,26.0
2021,11,American Bull Terrier,26.0
2021,12,American Bull Terrier,26.0
2022,1,American Bull Terrier,26.0
2022,2,American Bull Terrier,25.0
2022,3,American Bull Terrier,25.0
2022,4,American Bull Terrier,25.0
2022,5,American Bull Terrier,25.0
2022,6,American Bull Terrier,25.0
2022,7,American Bull Terrier,25.0
2022,8,American Bull Terrier,25.0
2022,9,American Bull Terrier,25.0
2022,10,American Bull Terrier,25.0
2022,11,American Bull Terrier,25.0
2022,12,American Bull Terrier,25.0
2023,1,American Bull Terrier,25.0
2023,2,American Bull Terrier,25.0
2023,3,American Bull Terrier,25.0
2023,4,American Bull Terrier,25.0
2023,5,American Bull Terrier,25.0
2023,6,American Bull Terrier,25.0
2023,7,American Bull Terrier,25.0
2016,1,American Bulldog,427.0
2016,2,American Bulldog,424.0
2016,3,American Bulldog,426.0
2016,4,American Bulldog,428.0
2016,5,American Bulldog,426.0
2016,6,American Bulldog,430.0
2016,7,American Bulldog,438.0
2016,8,American Bulldog,441.0
2016,9,American Bulldog,443.0
2016,10,American Bulldog,446.0
2016,11,American Bulldog,445.0
2016,12,American Bulldog,446.0
2017,1,American Bulldog,445.0
2017,2,American Bulldog,446.0
2017,3,American Bulldog,457.0
2017,4,American Bulldog,457.0
2017,5,American Bulldog,466.0
2017,6,American Bulldog,469.0
2017,7,American Bulldog,470.0
2017,8,American Bulldog,490.0
2017,9,American Bulldog,495.0
2017,10,American Bulldog,500.0
2017,11,American Bulldog,504.0
2017,12,American Bulldog,515.0
2018,1,American Bulldog,514.0
2018,2,American Bulldog,518.0
2018,3,American Bulldog,516.0
2018,4,American Bulldog,514.0
2018,5,American Bulldog,519.0
2018,6,American Bulldog,532.0
2018,7,American Bulldog,532.0
2018,8,American Bulldog,531.0
2018,9,American Bulldog,538.0
2018,10,American Bulldog,542.0
2018,11,American Bulldog,544.0
2018,12,American Bulldog,548.0
2019,1,American Bulldog,551.0
2019,2,American Bulldog,554.0
2019,3,American Bulldog,551.0
2019,4,American Bulldog,559.0
2019,5,American Bulldog,558.0
2019,6,American Bulldog,560.0
2019,7,American Bulldog,558.0
2019,8,American Bulldog,560.0
2019,9,American Bulldog,556.0
2019,10,American Bulldog,555.0
2019,11,American Bulldog,555.0
2019,12,American Bulldog,559.0
2020,1,American Bulldog,553.0
2020,2,American Bulldog,554.0
2020,3,American Bulldog,551.0
2020,4,American Bulldog,552.0
2020,5,American Bulldog,550.0
2020,6,American Bulldog,548.0
2020,7,American Bulldog,544.0
2020,8,American Bulldog,539.0
2020,9,American Bulldog,534.0
2020,10,American Bulldog,530.0
2020,11,American Bulldog,528.0
2020,12,American Bulldog,521.0
2021,1,American Bulldog,523.0
2021,2,American Bulldog,524.0
2021,3,American Bulldog,524.0
2021,4,American Bulldog,521.0
2021,5,American Bulldog,530.0
2021,6,American Bulldog,527.0
2021,7,American Bulldog,532.0
2021,8,American Bulldog,527.0
2021,9,American Bulldog,526.0
2021,10,American Bulldog,524.0
2021,11,American Bulldog,521.0
2021,12,American Bulldog,516.0
2022,1,American Bulldog,515.0
2022,2,American Bulldog,510.0
2022,3,American Bulldog,500.0
2022,4,American Bulldog,498.0
2022,5,American Bulldog,494.0
2022,6,American Bulldog,492.0
2022,7,American Bulldog,491.0
2022,8,American Bulldog,489.0
2022,9,American Bulldog,488.0
2022,10,American Bulldog,483.0
2022,11,American Bulldog,481.0
2022,12,American Bulldog,485.0
2023,1,American Bulldog,481.0
2023,2,American Bulldog,477.0
2023,3,American Bulldog,473.0
2023,4,American Bulldog,471.0
2023,5,American Bulldog,466.0
2023,6,American Bulldog,463.0
2023,7,American Bulldog,459.0
2016,1,American Staffordshire Terrier,1853.0
2016,2,American Staffordshire Terrier,1856.0
2016,3,American Staffordshire Terrier,1878.0
2016,4,American Staffordshire Terrier,1881.0
2016,5,American Staffordshire Terrier,1872.0
2016,6,American Staffordshire Terrier,1872.0
2016,7,American Staffordshire Terrier,1887.0
2016,8,American Staffordshire Terrier,1887.0
2016,9,American Staffordshire Terrier,1892.0
2016,10,American Staffordshire Terrier,1905.0
2016,11,American Staffordshire Terrier,1912.0
2016,12,American Staffordshire Terrier,1919.0
2017,1,American Staffordshire Terrier,1929.0
2017,2,American Staffordshire Terrier,1938.0
2017,3,American Staffordshire Terrier,1956.0
2017,4,American Staffordshire Terrier,1957.0
2017,5,American Staffordshire Terrier,1971.0
2017,6,American Staffordshire Terrier,1977.0
2017,7,American Staffordshire Terrier,1979.0
2017,8,American Staffordshire Terrier,1991.0
2017,9,American Staffordshire Terrier,2002.0
2017,10,American Staffordshire Terrier,2012.0
2017,11,American Staffordshire Terrier,2021.0
2017,12,American Staffordshire Terrier,2030.0
2018,1,American Staffordshire Terrier,2035.0
2018,2,American Staffordshire Terrier,2048.0
2018,3,American Staffordshire Terrier,2062.0
2018,4,American Staffordshire Terrier,2075.0
2018,5,American Staffordshire Terrier,2091.0
2018,6,American Staffordshire Terrier,2103.0
2018,7,American Staffordshire Terrier,2112.0
2018,8,American Staffordshire Terrier,2110.0
2018,9,American Staffordshire Terrier,2116.0
2018,10,American Staffordshire Terrier,2121.0
2018,11,American Staffordshire Terrier,2112.0
2018,12,American Staffordshire Terrier,2125.0
2019,1,American Staffordshire Terrier,2127.0
