year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,38636,865,3662,61412,16025,4734,20023,26737,2464,12442,8319,18945,10814,1621,1772,26842,4526,17501,7540,18253,28591,1472,53429,21317,4428,55225,25163
2016,2,38646,868,3673,61411,16038,4719,20091,26782,2459,12444,8330,19048,10846,1628,1781,26894,4526,17529,7528,18264,28611,1468,53353,21385,4442,55241,25076
2016,3,38775,878,3697,61505,16048,4710,20142,26840,2444,12477,8336,19068,10865,1640,1795,27008,4526,17545,7549,18314,28658,1473,53411,21435,4451,55300,24903
2016,4,38807,887,3722,61677,16027,4698,20146,26961,2445,12475,8337,19141,10875,1646,1798,27064,4548,17519,7575,18322,28730,1472,53409,21483,4449,55459,24953
2016,5,38836,880,3705,61800,16068,4684,20195,26986,2454,12472,8379,19220,10860,1649,1785,27087,4551,17570,7589,18349,28734,1479,53448,21509,4458,55528,25033
2016,6,38913,888,3726,61880,16119,4681,20225,26999,2469,12499,8353,19295,10835,1653,1777,27232,4546,17612,7614,18407,28784,1481,53575,21592,4490,55574,25176
2016,7,38911,889,3739,61787,16056,4667,20237,27011,2451,12524,8365,19276,10852,1648,1762,27252,4550,17605,7612,18413,28785,1492,53614,21627,4491,55595,25208
2016,8,38978,887,3740,61835,15946,4661,20297,27066,2454,12557,8410,19320,10858,1650,1777,27247,4561,17622,7629,18526,28777,1498,53744,21734,4511,55701,25093
2016,9,39020,878,3715,61885,15925,4676,20337,27191,2441,12572,8439,19308,10857,1661,1782,27287,4571,17675,7635,18596,28879,1491,53825,21761,4529,55847,24612
2016,10,39140,873,3720,61903,15889,4694,20374,27243,2441,12557,8502,19328,10890,1653,1783,27330,4584,17741,7636,18617,28903,1502,53913,21781,4529,55878,24481
2016,11,39193,888,3736,62005,15869,4712,20344,27282,2464,12600,8542,19330,10912,1666,1774,27389,4563,17747,7636,18651,28931,1512,53997,21779,4580,56059,24243
2016,12,39124,880,3734,61215,15754,4712,20188,27273,2460,12567,8363,19201,10813,1654,1759,27424,4560,17536,7611,18585,28936,1499,53853,21655,4575,56019,25125
2017,1,39209,872,3727,61141,15748,4714,20082,27342,2460,12589,8283,19185,10785,1651,1757,27385,4557,17264,7609,18606,29007,1489,53752,21576,4556,56143,25595
2017,2,39312,859,3738,61297,15783,4733,20124,27450,2487,12592,8293,19247,10805,1659,1776,27394,4575,17306,7640,18599,29085,1486,53834,21682,4558,56203,25410
2017,3,39431,883,3756,61368,15731,4767,20192,27566,2492,12635,8300,19235,10780,1650,1777,27444,4587,17431,7645,18704,29082,1505,53853,21789,4563,56343,25050
2017,4,39445,874,3739,61465,15728,4771,20246,27675,2492,12645,8265,19284,10781,1652,1783,27556,4586,17435,7653,18735,29116,1511,53945,21803,4575,56389,25157
2017,5,39543,895,3718,61513,15797,4787,20344,27749,2490,12621,8316,19430,10773,1654,1782,27685,4592,17516,7696,18752,29142,1501,54075,21868,4583,56597,25129
2017,6,39559,903,3761,61667,15796,4789,20263,27730,2511,12669,8335,19486,10763,1664,1788,27692,4655,17580,7743,18815,29138,1502,54262,21831,4602,56684,25350
2017,7,39525,890,3774,61619,15852,4775,20262,27827,2502,12709,8348,19495,10759,1648,1809,27795,4682,17603,7733,18796,29211,1500,54345,21868,4612,56686,25460
2017,8,39612,880,3782,61764,15861,4797,20313,27949,2506,12727,8396,19520,10781,1651,1799,27923,4699,17635,7735,18819,29240,1511,54389,21856,4605,56845,25749
2017,9,39657,877,3781,61834,15862,4818,20401,28047,2490,12778,8407,19486,10804,1658,1793,27965,4704,17656,7767,18843,29317,1510,54458,21788,4594,57068,25840
