year,month,count
2016,1,5839
2016,2,2606
2016,3,2871
2016,4,2795
2016,5,2971
2016,6,2943
2016,7,3192
2016,8,3124
2016,9,2869
2016,10,2865
2016,11,2857
2016,12,4671
2017,1,3588
2017,2,2717
2017,3,3063
2017,4,2866
2017,5,3057
2017,6,3232
2017,7,3004
2017,8,3044
2017,9,2885
2017,10,2813
2017,11,2681
2017,12,3798
2018,1,3335
2018,2,2657
2018,3,3133
2018,4,3045
2018,5,3165
2018,6,3003
2018,7,3097
2018,8,3058
2018,9,2802
2018,10,2896
2018,11,2783
2018,12,3597
2019,1,3108
2019,2,2616
2019,3,2847
2019,4,2946
2019,5,3122
2019,6,3176
2019,7,3364
2019,8,2990
2019,9,2741
2019,10,2929
2019,11,2871
2019,12,3611
2020,1,3431
2020,2,2710
2020,3,2839
2020,4,2761
2020,5,2927
2020,6,3123
2020,7,3388
2020,8,2901
2020,9,2912
2020,10,2860
2020,11,2710
2020,12,3338
2021,1,2942
2021,2,2588
2021,3,3044
2021,4,2853
2021,5,3087
2021,6,3214
2021,7,3208
2021,8,3120
2021,9,2978
2021,10,2986
2021,11,2838
2021,12,3449
2022,1,3078
2022,2,2715
2022,3,3065
2022,4,2937
2022,5,3070
2022,6,3120
2022,7,3280
2022,8,3126
2022,9,2833
2022,10,2872
2022,11,2864
2022,12,3167
2023,1,2921
2023,2,2700
2023,3,2943
2023,4,2567
2023,5,2752
2023,6,2636
2023,7,2270
