year,month,,ad,ae,af,ag,al,am,an,ao,ar,as,at,au,az,ba,be,bg,bj,bl,bm,bo,br,bs,by,ca,cd,cf,cg,ci,cl,cm,cn,co,cr,cu,cv,cy,cz,de,dj,dk,dm,do,dz,ec,ee,eg,es,fi,fj,fr,ga,gb,gd,ge,gf,gg,gh,gi,gl,gm,gn,gp,gr,gt,hk,hn,hr,ht,hu,id,ie,il,in,ir,is,it,je,jo,jp,ke,kh,kn,ko,kr,kw,ky,kz,lb,lk,lt,lu,lv,ly,ma,mc,md,me,mf,mg,mk,ml,mm,mn,mq,mt,mu,mw,mx,my,mz,na,ng,ni,nl,no,np,nz,om,pa,pe,pf,ph,pk,pl,pr,pt,py,qa,re,ro,rs,ru,rw,sa,sc,sd,se,sg,si,sk,sn,sv,sz,tc,td,tg,th,tn,tr,tt,tv,tw,tz,ua,ug,us,uy,uz,ve,vg,vi,vn,za,zm,zw
2016,1,57.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,113,0.0,,0.0,,0.0,,0.0,0.0,33.0,,,90,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,53,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,35,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,0.0,5,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2,8.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,9,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,76,0.0,,0.0,,0.0,0.0,0.0,0.0,23.0,0.0,0.0,54,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,,0.0,13.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2016,3,30.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,119,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,60,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,17,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,4,28.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,97,0.0,,0.0,0.0,0.0,0.0,,0.0,18.0,,0.0,63,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,,13.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0.0,0.0,,0.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,5,39.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,94,0.0,,0.0,0.0,,0.0,,0.0,19.0,0.0,0.0,58,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,43,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,30,6.0,,0.0,,,,,,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,6,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,121,0.0,,0.0,0.0,0.0,0.0,0.0,,22.0,,0.0,69,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,32,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43,0.0,0.0,0.0,5.0,,7.0,0.0,0.0,0.0,0.0,5.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0.0,0.0,,0.0,38.0,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0
2016,7,43.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,22,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,135,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,23.0,,0.0,56,0.0,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,48,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,39,0.0,0.0,0.0,,7.0,,0.0,0.0,0.0,0.0,,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0,,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
2016,8,56.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,14,,0.0,,7.0,,0.0,0.0,,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,6.0,117,0.0,,0.0,,0.0,0.0,0.0,0.0,26.0,,0.0,115,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,8.0,,0.0,,,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,41,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,9,55.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,32,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,102,0.0,,0.0,,0.0,,0.0,0.0,38.0,6.0,0.0,70,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,36,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,27,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,10,28.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,93,0.0,,0.0,0.0,0.0,,0.0,0.0,18.0,5.0,0.0,90,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,25,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,15.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
