year,month,is_guardian_dog,is_official_livestock_guardian_dog
2016,1,1176,286
2016,2,1180,286
2016,3,1195,283
2016,4,1199,282
2016,5,1206,287
2016,6,1225,292
2016,7,1236,290
2016,8,1237,288
2016,9,1262,286
2016,10,1268,285
2016,11,1277,286
2016,12,1279,291
2017,1,1288,289
2017,2,1294,299
2017,3,1303,303
2017,4,1316,299
2017,5,1326,307
2017,6,1334,309
2017,7,1348,308
2017,8,1370,321
2017,9,1384,328
2017,10,1390,328
2017,11,1400,327
2017,12,1405,342
2018,1,1411,344
2018,2,1422,334
2018,3,1433,336
2018,4,1447,353
2018,5,1459,351
2018,6,1479,350
2018,7,1488,352
2018,8,1501,348
2018,9,1501,347
2018,10,1509,353
2018,11,1519,347
2018,12,1530,353
2019,1,1540,352
2019,2,1554,358
2019,3,1570,361
2019,4,1587,363
2019,5,1596,360
2019,6,1604,355
2019,7,1618,357
2019,8,1628,366
2019,9,1647,365
2019,10,1644,367
2019,11,1649,368
2019,12,1658,369
2020,1,1667,377
2020,2,1672,386
2020,3,1684,386
2020,4,1690,386
2020,5,1704,382
2020,6,1706,379
2020,7,1725,376
2020,8,1731,375
2020,9,1737,376
2020,10,1737,380
2020,11,1738,387
2020,12,1742,389
2021,1,1747,400
2021,2,1748,412
2021,3,1759,417
2021,4,1770,415
2021,5,1789,423
2021,6,1787,422
2021,7,1800,419
2021,8,1806,418
2021,9,1820,415
2021,10,1821,415
2021,11,1826,410
2021,12,1829,415
2022,1,1832,426
2022,2,1825,428
2022,3,1819,426
2022,4,1816,445
2022,5,1810,443
2022,6,1816,443
2022,7,1814,440
2022,8,1810,458
2022,9,1810,455
2022,10,1807,453
2022,11,1804,473
2022,12,1793,475
2023,1,1790,481
2023,2,1783,481
2023,3,1771,478
2023,4,1766,477
2023,5,1765,482
2023,6,1754,480
2023,7,1735,480
