year,month,ad,ae,af,ag,ai,al,am,an,ao,ar,as,at,au,aw,ax,az,ba,bb,bd,be,bf,bg,bh,bi,bj,bl,bm,bn,bo,br,bs,bt,bw,by,ca,cd,cf,cg,ci,ck,cl,cm,cn,co,cr,cu,cv,cy,cz,de,dk,dm,do,dz,ec,ee,eg,eh,es,et,fi,fj,fk,fr,gb,gd,ge,gf,gh,gi,gl,gm,gp,gq,gr,gt,hk,hn,hr,ht,hu,id,ie,il,im,in,iq,ir,is,it,je,jm,jo,jp,ke,kg,kh,kn,ko,kp,kr,kw,ky,kz,la,lb,lc,li,lk,lt,lu,lv,ma,mc,md,me,mf,mg,mk,ml,mm,mn,mo,mq,mt,mu,mw,mx,my,mz,na,nc,ne,ng,ni,nl,no,np,nz,om,pa,pe,pf,ph,pk,pl,pr,pt,py,qa,re,ro,rs,ru,rw,sa,sb,sc,sd,se,sg,si,sk,sl,sm,sn,so,sv,sy,sz,tg,th,tj,tl,tm,tn,tr,tt,tw,tz,ua,ug,us,uy,uz,va,vc,ve,vg,vi,vn,ye,za,zm,zw
2016,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,43,,0.0,0.0,0.0,22.0,0.0,0.0,8.0,0.0,50,0.0,0.0,0.0,,0.0,0.0,,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,,25,425,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,193,,12.0,0.0,0.0,373,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,,0.0,27.0,0.0,123,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,264,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,,229,0.0,0.0,,113,22.0,24.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,52,,0.0,0.0,0.0,18.0,0.0,0.0,12.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,21,375,,0.0,,,0.0,,,0.0,195,0.0,,0.0,0.0,332,9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.0,0.0,78,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,206,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12,0.0,108,0.0,0.0,0.0,79,16.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,,12.0,38,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,25.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37,5.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,27,375,0.0,0.0,,0.0,0.0,0.0,,0.0,209,,,0.0,0.0,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,15.0,0.0,121,,5.0,,0.0,0.0,,0.0,0.0,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32,0.0,91,0.0,0.0,,133,8.0,18.0,0.0,0.0,0.0,0.0,0.0,,,7.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,35,6.0,0.0,0.0,0.0,14.0,0.0,,9.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,18,389,,0.0,,0.0,0.0,0.0,0.0,0.0,172,0.0,5.0,0.0,0.0,405,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,32.0,0.0,99,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,,0.0,,0.0,0.0,,,0.0,0.0,27,0.0,106,,0.0,,84,6.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2016,5,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,35,,0.0,0.0,0.0,15.0,0.0,0.0,14.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,26,436,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,0.0,,0.0,0.0,396,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,25.0,0.0,115,0.0,,0.0,0.0,,0.0,0.0,,235,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,,0.0,0.0,,0.0,,0.0,26,0.0,111,0.0,0.0,,96,20.0,27.0,0.0,,0.0,0.0,0.0,,0.0,11.0,51,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,23.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,6,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,,0.0,0.0,,5.0,0.0,0.0,14.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,19,413,,0.0,0.0,0.0,,0.0,0.0,0.0,184,0.0,,0.0,0.0,354,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,0.0,14.0,0.0,128,,,0.0,0.0,0.0,0.0,0.0,0.0,241,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,,0.0,0.0,,,0.0,0.0,0.0,30,,85,0.0,0.0,,97,12.0,24.0,0.0,0.0,0.0,0.0,0.0,,,5.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,37.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2016,7,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,67,,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,58,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,5.0,9.0,,0.0,0.0,0.0,0.0,,0.0,8.0,,0.0,0.0,0.0,,20,468,,0.0,,0.0,,0.0,0.0,0.0,160,0.0,,0.0,0.0,414,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,0.0,0.0,0.0,17.0,0.0,87,0.0,,,0.0,0.0,0.0,,,305,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,23,0.0,112,0.0,0.0,,86,11.0,17.0,0.0,0.0,0.0,0.0,0.0,,6.0,,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,63.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2016,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,54,,0.0,0.0,0.0,29.0,0.0,0.0,17.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,26,479,7.0,0.0,,0.0,0.0,0.0,,0.0,227,0.0,9.0,0.0,0.0,376,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,24.0,0.0,126,,7.0,,0.0,,0.0,0.0,0.0,338,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,6.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,29,0.0,366,0.0,0.0,0.0,108,21.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,,10.0,40,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,59.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,42,,0.0,0.0,0.0,14.0,0.0,,12.0,0.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,20,371,,0.0,0.0,0.0,0.0,,,0.0,230,0.0,,0.0,0.0,352,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,18.0,0.0,118,0.0,,,0.0,,0.0,0.0,0.0,295,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,32,0.0,152,0.0,0.0,0.0,87,11.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,,11.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,5.0,0.0,0.0
2016,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36,,0.0,0.0,0.0,8.0,0.0,0.0,14.0,0.0,104,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,20,452,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,0.0,,0.0,0.0,386,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,,0.0,17.0,0.0,103,0.0,,0.0,0.0,0.0,0.0,0.0,,258,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,0.0,0.0,,0.0,0.0,0.0,26,0.0,135,0.0,0.0,,98,19.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,,8.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
