year,month,imports,exports
2016,1,2200,520
2016,2,1745,306
2016,3,1966,390
2016,4,1896,424
2016,5,2072,421
2016,6,1902,490
2016,7,2167,530
2016,8,2585,550
2016,9,2079,482
2016,10,2163,476
2016,11,2018,394
2016,12,2259,618
2017,1,2688,492
2017,2,1993,330
2017,3,2147,499
2017,4,2129,400
2017,5,2120,440
2017,6,2217,542
2017,7,2411,516
2017,8,2881,512
2017,9,2525,477
2017,10,2464,384
2017,11,2136,409
2017,12,2425,698
2018,1,2665,462
2018,2,2111,353
2018,3,2357,449
2018,4,2326,421
2018,5,2155,398
2018,6,2198,627
2018,7,2196,528
2018,8,2797,503
2018,9,2387,472
2018,10,2407,421
2018,11,2147,442
2018,12,2322,624
2019,1,2768,393
2019,2,2126,295
2019,3,2375,410
2019,4,2221,396
2019,5,2170,364
2019,6,2261,508
2019,7,2220,547
2019,8,2902,508
2019,9,2308,497
2019,10,2419,391
2019,11,2366,352
2019,12,2406,633
2020,1,2791,361
2020,2,2282,370
2020,3,1644,355
2020,4,962,177
2020,5,2169,243
2020,6,3009,408
2020,7,3133,564
2020,8,3489,583
2020,9,2972,482
2020,10,3486,441
2020,11,2807,345
2020,12,3208,552
2021,1,3190,328
2021,2,2744,301
2021,3,2957,390
2021,4,2878,397
2021,5,3170,354
2021,6,2867,502
2021,7,3385,573
2021,8,3930,555
2021,9,3050,482
2021,10,3250,430
2021,11,2783,363
2021,12,3114,654
2022,1,3161,386
2022,2,2685,354
2022,3,3279,490
2022,4,3075,418
2022,5,2804,386
2022,6,2543,565
2022,7,2791,647
2022,8,3369,568
2022,9,2750,535
2022,10,2866,467
2022,11,2377,353
2022,12,2507,601
2023,1,2698,394
2023,2,2138,405
2023,3,2312,424
2023,4,2176,342
2023,5,2152,338
2023,6,1843,395
2023,7,1529,294
