year,month,total
2016,1,394558
2016,2,394152
2016,3,394104
2016,4,394264
2016,5,394228
2016,6,394303
2016,7,394147
2016,8,394396
2016,9,394870
2016,10,395168
2016,11,395505
2016,12,393826
2017,1,394013
2017,2,394785
2017,3,395524
2017,4,395816
2017,5,396402
2017,6,396638
2017,7,396876
2017,8,397690
2017,9,398407
2017,10,399275
2017,11,399981
2017,12,399336
2018,1,399386
2018,2,400130
2018,3,400805
2018,4,401390
2018,5,401856
2018,6,402193
2018,7,402573
2018,8,403386
2018,9,403975
2018,10,404812
2018,11,405259
2018,12,404669
2019,1,404678
2019,2,405347
2019,3,406015
2019,4,406346
2019,5,406777
2019,6,406776
2019,7,407172
2019,8,407994
2019,9,408859
2019,10,409594
2019,11,410075
2019,12,409554
2020,1,409807
2020,2,410456
2020,3,410932
2020,4,410882
2020,5,411419
2020,6,412608
2020,7,413828
2020,8,415197
2020,9,416827
2020,10,418411
2020,11,419818
2020,12,420632
2021,1,422289
2021,2,423945
2021,3,425612
2021,4,427175
2021,5,428498
2021,6,429582
2021,7,431170
2021,8,433190
2021,9,434968
2021,10,436139
2021,11,437397
2021,12,437732
2022,1,439181
2022,2,440292
2022,3,440526
2022,4,441373
2022,5,442525
2022,6,443710
2022,7,444395
2022,8,445891
2022,9,447301
2022,10,448308
2022,11,449103
2022,12,449522
2023,1,450695
2023,2,451442
2023,3,452413
2023,4,453089
2023,5,453915
2023,6,454786
2023,7,455799
