year,month,woman,man
2016,1,0.566,0.434
2016,2,0.567,0.433
2016,3,0.568,0.432
2016,4,0.569,0.431
2016,5,0.57,0.43
2016,6,0.572,0.428
2016,7,0.573,0.427
2016,8,0.574,0.426
2016,9,0.575,0.425
2016,10,0.577,0.423
2016,11,0.578,0.422
2016,12,0.58,0.42
2017,1,0.581,0.419
2017,2,0.582,0.418
2017,3,0.583,0.417
2017,4,0.584,0.416
2017,5,0.585,0.415
2017,6,0.586,0.414
2017,7,0.587,0.413
2017,8,0.588,0.412
2017,9,0.589,0.411
2017,10,0.59,0.41
2017,11,0.591,0.409
2017,12,0.593,0.407
2018,1,0.594,0.406
2018,2,0.595,0.405
2018,3,0.596,0.404
2018,4,0.597,0.403
2018,5,0.599,0.401
2018,6,0.6,0.4
2018,7,0.6,0.4
2018,8,0.601,0.399
2018,9,0.602,0.398
2018,10,0.603,0.397
2018,11,0.604,0.396
2018,12,0.605,0.395
2019,1,0.606,0.394
2019,2,0.607,0.393
2019,3,0.608,0.392
2019,4,0.608,0.392
2019,5,0.609,0.391
2019,6,0.61,0.39
2019,7,0.611,0.389
2019,8,0.612,0.388
2019,9,0.612,0.388
2019,10,0.613,0.387
2019,11,0.614,0.386
2019,12,0.615,0.385
2020,1,0.616,0.384
2020,2,0.616,0.384
2020,3,0.617,0.383
2020,4,0.617,0.383
2020,5,0.618,0.382
2020,6,0.619,0.381
2020,7,0.62,0.38
2020,8,0.62,0.38
2020,9,0.621,0.379
2020,10,0.622,0.378
2020,11,0.622,0.378
2020,12,0.623,0.377
2021,1,0.624,0.376
2021,2,0.624,0.376
2021,3,0.625,0.375
2021,4,0.626,0.374
2021,5,0.626,0.374
2021,6,0.627,0.373
2021,7,0.628,0.372
2021,8,0.628,0.372
2021,9,0.629,0.371
2021,10,0.629,0.371
2021,11,0.63,0.37
2021,12,0.63,0.37
2022,1,0.631,0.369
2022,2,0.631,0.369
2022,3,0.632,0.368
2022,4,0.633,0.367
2022,5,0.633,0.367
2022,6,0.634,0.366
2022,7,0.634,0.366
2022,8,0.635,0.365
2022,9,0.635,0.365
2022,10,0.635,0.365
2022,11,0.636,0.364
2022,12,0.636,0.364
2023,1,0.637,0.363
2023,2,0.637,0.363
2023,3,0.637,0.363
2023,4,0.638,0.362
2023,5,0.638,0.362
2023,6,0.638,0.362
2023,7,0.639,0.361
