canton,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Graubünden,14921,2.1,7.5,"Kreuzung  3765, Border Collie  791, Labrador Retriever  758, Chihuahueno  593, Golden Retriever  336","Luna  216, Kira  119, Rocky  89, Nala  85, Mia  69"
Bern,66810,11.4,6.4,"Kreuzung  17852, Labrador Retriever  3452, Chihuahueno  2777, Border Collie  2062, Jack Russell Terrier  1987","Luna  906, Kira  443, Rocky  400, Nala  327, Bella  298"
Valais,26386,5.1,7.6,"Kreuzung  4058, Chihuahueno  1675, Yorkshire Terrier  1387, Border Collie  1200, Labrador Retriever  987","Luna  334, Lucky  170, Rocky  164, Nala  139, Maya  130"
Vaud,59754,21.2,7.3,"Kreuzung  9682, Chihuahueno  3415, Yorkshire Terrier  3107, Labrador Retriever  2691, Jack Russell Terrier  2322","Luna  681, Lola  362, Lucky  347, Nala  323, Maya  286"
Ticino,34154,12.5,9.7,"Kreuzung  8886, Chihuahueno  2258, Labrador Retriever  1357, Zwergpudel  1218, Jack Russell Terrier  1173","Luna  452, Kira  359, Mia  327, Jack  210, Leo  205"
St. Gallen,30980,15.9,6.0,"Kreuzung  9023, Chihuahueno  1504, Labrador Retriever  1235, Zwergspitz / Pomeranian  807, Border Collie  783","Luna  456, Rocky  217, Bella  206, Kira  206, Nala  201"
Zürich,69301,41.7,4.5,"Kreuzung  18136, Labrador Retriever  3294, Chihuahueno  3185, Zwergpudel  2230, Franzosische Bulldogge  2204","Luna  830, Rocky  377, Nala  354, Kira  345, Bella  337"
Fribourg,23658,14.8,7.3,"Kreuzung  4255, Chihuahueno  1386, Jack Russell Terrier  994, Labrador Retriever  954, Border Collie  951","Luna  303, Nala  156, Rocky  145, Lucky  141, Maya  128"
Luzern,22105,15.5,5.3,"Kreuzung  5905, Labrador Retriever  1257, Chihuahueno  891, Zwergpudel  686, Jack Russell Terrier  541","Luna  372, Kira  191, Rocky  180, Bella  128, Nala  120"
Aargau,46534,33.4,6.7,"Kreuzung  12061, Labrador Retriever  2226, Chihuahueno  2144, Franzosische Bulldogge  1414, Zwergpudel  1336","Luna  635, Rocky  302, Kira  283, Nala  229, Amy  223"
Uri,1788,1.7,4.9,"Kreuzung  500, Border Collie  97, Labrador Retriever  85, Chihuahueno  75, Zwergspitz / Pomeranian  48","Luna  28, Kira  16, Rocky  15, Nero  14, Bäri  11"
Thurgau,21423,24.8,7.6,"Kreuzung  5894, Chihuahueno  1035, Labrador Retriever  803, Zwergpudel  720, Franzosische Bulldogge  585","Luna  276, Kira  131, Rocky  126, Nala  122, Bella  107"
Schwyz,9164,10.8,5.7,"Kreuzung  2420, Labrador Retriever  513, Chihuahueno  366, Border Collie  323, Zwergspitz / Pomeranian  246","Luna  132, Kira  79, Rocky  64, Nala  51, Bella  49"
Jura,8793,10.5,11.9,"Kreuzung  1865, Border Collie  459, Jack Russell Terrier  409, Yorkshire Terrier  375, Chihuahueno  302","Nala  61, Luna  57, Lucky  52, Snoopy  51, Lola  48"
Neuchâtel,11830,16.5,6.7,"Kreuzung  1976, Chihuahueno  865, Jack Russell Terrier  612, Yorkshire Terrier  599, Labrador Retriever  508","Luna  177, Lucky  69, Nala  63, Nina  57, Rocky  56"
Solothurn,19789,25.0,7.1,"Kreuzung  5015, Chihuahueno  1074, Labrador Retriever  904, Jack Russell Terrier  580, Franzosische Bulldogge  555","Luna  251, Rocky  139, Nala  133, Kira  113, Amy  105"
Glarus,2822,4.1,6.9,"Kreuzung  895, Chihuahueno  126, Labrador Retriever  114, Border Collie  83, Yorkshire Terrier  61","Luna  31, Rocky  26, Kira  24, Bella  22, Mia  19"
Basel-Landschaft,17973,34.7,6.2,"Kreuzung  4798, Labrador Retriever  998, Chihuahueno  858, Zwergpudel  531, Franzosische Bulldogge  462","Luna  243, Kira  126, Nala  105, Rocky  105, Bella  96"
Obwalden,2169,4.5,5.7,"Kreuzung  540, Labrador Retriever  123, Appenzeller Sennenhund  118, Border Collie  83, Chihuahueno  79","Luna  30, Kira  28, Bella  17, Leika  16, Jimmy  13"
Nidwalden,1978,8.2,4.5,"Kreuzung  469, Labrador Retriever  104, Border Collie  71, Zwergpudel  64, Chihuahueno  63","Luna  20, Kira  14, Bella  11, Amy  10, Gina  10"
Genève,33580,136.6,6.6,"Kreuzung  5684, Yorkshire Terrier  2099, Chihuahueno  2026, Jack Russell Terrier  1387, Franzosische Bulldogge  1266","Luna  420, Nala  220, Lucky  199, Max  186, Lola  176"
Schaffhausen,5386,18.1,6.5,"Kreuzung  1444, Labrador Retriever  254, Chihuahueno  252, Franzosische Bulldogge  150, Zwergpudel  150","Luna  64, Nala  34, Rocky  32, Bella  31, Amy  24"
Appenzell Ausserrhoden,4138,17.0,7.5,"Kreuzung  1236, Appenzeller Sennenhund  300, Labrador Retriever  146, Chihuahueno  125, Zwergpudel  101","Luna  55, Bläss  36, Kira  32, Bella  29, Nala  26"
Zug,5981,28.9,4.6,"Kreuzung  1403, Labrador Retriever  310, Chihuahueno  210, Zwergpudel  205, Yorkshire Terrier  189","Luna  83, Rocky  47, Kira  36, Nala  29, Bella  28"
Appenzell Innerrhoden,1070,6.2,6.6,"Kreuzung  309, Appenzeller Sennenhund  124, Labrador Retriever  43, Berner Sennenhund  26, Border Collie  23","Bläss  30, Luna  18, Bella  8, Kira  8, Prinz  8"
Basel-Stadt,5955,161.2,3.0,"Kreuzung  1701, Chihuahueno  320, Labrador Retriever  287, Zwergpudel  200, Yorkshire Terrier  189","Luna  77, Kira  35, Nala  34, Mia  33, Leo  32"
Liechtenstein,2660,16.6,6.8,"Kreuzung  709, Chihuahueno  151, Labrador Retriever  118, Maltese  75, Jack Russell Terrier  73","Luna  50, Kira  26, Bella  18, Amy  17, Balu  17"
