commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Scuol,415.0,0.9,9.0,"Kreuzung  100, Border Collie  29, Schweizer Laufhund  22, Labrador Retriever  18, Chihuahueno  12",Luna  7
Glarus Süd,845.0,2.0,8.9,"Kreuzung  269, Border Collie  34, Chihuahueno  32, Labrador Retriever  30, Siberian Husky  28","Kira  11, Gina  8, Luna  7, Charly  5"
Zernez,160.0,0.5,10.6,"Kreuzung  36, Border Collie  8, Labrador Retriever  8, Australian Shepherd  6, Zwergpudel  6",Luna  5
Surses,237.0,0.7,10.0,"Kreuzung  49, Labrador Retriever  17, Border Collie  15, Australian Shepherd  10, Deutscher Schaferhund  8",Luna  6
Val de Bagnes,848.0,2.8,8.2,"Kreuzung  112, Border Collie  79, Australian Shepherd  39, Labrador Retriever  35, Golden Retriever  29","Luna  7, Rocky  6, Maya  5, Nala  5, Sky  5"
Davos,618.0,2.2,5.7,"Kreuzung  166, Labrador Retriever  39, Golden Retriever  21, Border Collie  19, Chihuahueno  14, Jack Russell Terrier  14","Luna  12, Nala  6, Kaya  5, Lucky  5"
Bregaglia,135.0,0.5,8.7,"Kreuzung  30, Border Collie  17, Zwergpudel  7, Australian Shepherd  5",Luna  5
Anniviers,214.0,0.9,7.8,"Kreuzung  37, Border Collie  17, Australian Shepherd  8, Jack Russell Terrier  8, Chihuahueno  7, Schweizer Laufhund  7",
Zermatt,294.0,1.2,5.1,"Kreuzung  49, Chihuahueno  18, Labrador Retriever  16, Zwergspitz / Pomeranian  10, Border Collie  9",Luna  6
Innertkirchen,110.0,0.5,10.3,"Kreuzung  32, Border Collie  8, Berner Sennenhund  5, Siberian Husky  5",
Klosters,335.0,1.5,7.6,"Kreuzung  78, Border Collie  17, Labrador Retriever  17, Kleiner Munsterlander  15, Yorkshire Terrier  10",Luna  7
Verzasca,114.0,0.5,14.3,"Kreuzung  37, Border Collie  10, Australian Shepherd  5",
Evolène,203.0,1.0,12.3,"Border Collie  40, Kreuzung  37, Maltese  6, Australian Shepherd  5, Berner Sennenhund  5, Golden Retriever  5, Schweizer Laufhund  5, Weisser Schweizer Schaferhund  5, Yorkshire Terrier  5, Zwergspitz / Pomeranian  5",
Blenio,249.0,1.2,14.1,"Kreuzung  80, Border Collie  22, Chihuahueno  11, Labrador Retriever  11, Zwerg-Dachshund  11",
Guttannen,10.0,0.0,4.1,,
Val Müstair,154.0,0.8,10.8,"Kreuzung  41, Border Collie  26, Schweizer Laufhund  5",
Poschiavo,341.0,1.8,9.9,"Kreuzung  58, Border Collie  42, Labrador Retriever  30, Schweizer Laufhund  19, Segugio italiano, kurzhaarig  13","Kira  7, Zara  6"
Bergün Filisur,78.0,0.4,8.5,"Kreuzung  22, Labrador Retriever  6, Cane da Pastore Maremmano Abruzzese  5",
Lavizzara,63.0,0.3,12.6,"Kreuzung  22, Border Collie  6",
Vals,58.0,0.3,6.1,"Kreuzung  11, Border Collie  7, Chien de Montagne des Pyrenees  5",
Fieschertal,23.0,0.1,7.1,,
Muotathal,305.0,1.8,8.8,"Kreuzung  79, Border Collie  61, Siberian Husky  38, Schweizer Laufhund  16, Labrador Retriever  8","Nora  9, Luna  8, Kira  7, Nero  7, Senta  7"
Grindelwald,216.0,1.3,5.7,"Kreuzung  58, Labrador Retriever  19, Berner Sennenhund  12, Beagle  9, Border Collie  8, Chihuahueno  8",Luna  6
