year,month,n_owners,1,2,3,4,5,6,7,8
2016,1,394559,343975,40024,6390,1873,723,412,282,879
2016,2,394153,343446,40019,6429,1874,739,446,289,910
2016,3,394105,343185,40119,6444,1887,764,459,293,953
2016,4,394265,343087,40316,6450,1891,790,466,300,964
2016,5,394229,342900,40407,6475,1897,796,451,306,996
2016,6,394304,342740,40538,6490,1923,813,454,319,1026
2016,7,394148,342429,40650,6515,1936,809,464,312,1032
2016,8,394397,342355,40895,6534,1980,802,486,320,1024
2016,9,394871,342623,41052,6560,2006,826,481,309,1013
2016,10,395169,342779,41103,6632,1991,831,496,307,1029
2016,11,395506,342947,41226,6644,1995,842,511,314,1026
2016,12,393827,341706,40883,6567,1965,836,511,309,1049
2017,1,394014,341961,40901,6534,1982,826,501,288,1020
2017,2,394786,342534,41047,6604,1965,818,514,285,1018
2017,3,395525,343077,41225,6621,1949,842,497,280,1033
2017,4,395817,343229,41339,6606,1953,867,492,296,1034
2017,5,396403,343666,41394,6613,1969,874,508,294,1084
2017,6,396639,343744,41502,6627,1986,869,496,314,1100
2017,7,396877,343807,41632,6629,2025,884,502,306,1091
2017,8,397691,344265,41935,6713,2045,852,493,325,1062
2017,9,398408,344791,42104,6771,2033,860,471,330,1047
2017,10,399276,345459,42291,6792,2018,874,459,327,1055
2017,11,399982,346025,42407,6805,2036,853,497,304,1054
2017,12,399337,345460,42366,6763,2010,863,490,319,1065
2018,1,399387,345582,42389,6712,2023,869,478,312,1021
2018,2,400131,346217,42495,6733,2032,859,462,307,1025
2018,3,400806,346631,42727,6755,2028,823,510,293,1038
2018,4,401391,347084,42834,6769,2046,809,485,311,1052
2018,5,401857,347348,43004,6813,2054,808,461,314,1054
2018,6,402194,347477,43172,6788,2061,821,483,309,1082
2018,7,402574,347707,43292,6852,2053,833,480,299,1057
2018,8,403387,348231,43569,6885,2113,831,449,306,1002
2018,9,403976,348716,43683,6928,2061,845,460,291,991
2018,10,404813,349365,43824,6972,2072,862,460,281,976
2018,11,405260,349694,43928,6976,2087,854,470,304,946
2018,12,404670,349307,43776,6916,2088,842,470,300,970
2019,1,404679,349354,43797,6899,2081,814,484,306,943
2019,2,405348,349879,43936,6901,2110,793,469,315,944
2019,3,406016,350367,44061,6937,2089,850,452,290,969
2019,4,406347,350633,44051,6949,2096,840,458,308,1011
2019,5,406778,350884,44196,6938,2094,859,455,313,1038
2019,6,406777,350833,44253,6945,2073,846,452,330,1044
2019,7,407173,351117,44328,6966,2092,844,480,329,1016
2019,8,407995,351740,44497,6999,2146,853,458,320,981
2019,9,408860,352427,44681,7051,2148,840,451,313,948
2019,10,409595,353067,44759,7081,2170,837,440,308,932
2019,11,410076,353483,44805,7101,2127,853,446,316,944
2019,12,409555,353102,44672,7096,2133,833,446,329,943
2020,1,409808,353376,44722,7086,2112,834,437,308,932
2020,2,410457,353941,44806,7078,2103,843,450,290,945
2020,3,410933,354297,44899,7111,2094,832,447,305,947
2020,4,410883,354237,44913,7068,2106,809,475,297,977
2020,5,411420,354730,44984,7015,2103,834,482,281,990
2020,6,412609,355765,45077,7112,2111,836,429,293,985
2020,7,413829,356843,45192,7179,2101,817,449,293,954
2020,8,415198,358038,45416,7145,2088,819,443,285,963
2020,9,416828,359547,45542,7154,2084,813,429,304,954
2020,10,418412,360981,45658,7170,2119,827,430,297,929
2020,11,419819,362270,45747,7191,2104,835,433,285,953
2020,12,420633,363113,45767,7165,2090,833,453,293,918
2021,1,422290,364719,45893,7126,2117,819,449,288,878
2021,2,423946,366248,46063,7092,2104,821,435,294,888
2021,3,425613,367769,46104,7106,2102,836,472,288,935
2021,4,427176,369210,46165,7116,2101,869,468,300,946
2021,5,428499,370340,46232,7137,2087,890,501,290,1021
2021,6,429583,371335,46278,7164,2071,897,491,298,1048
2021,7,431171,372675,46491,7199,2077,890,505,304,1029
2021,8,433191,374434,46718,7281,2109,920,477,297,954
2021,9,434969,376019,46958,7295,2129,893,485,267,922
2021,10,436140,377061,47079,7315,2137,881,477,267,922
2021,11,437398,378077,47271,7290,2161,888,494,262,954
2021,12,437733,378364,47292,7291,2166,871,484,273,991
2022,1,439182,379575,47560,7306,2171,866,469,271,963
2022,2,440293,380553,47676,7372,2140,884,477,259,931
2022,3,440527,380640,47782,7407,2120,876,478,275,948
2022,4,441374,381298,47903,7359,2141,865,471,314,1022
2022,5,442526,382230,48010,7352,2164,901,488,324,1056
2022,6,443711,383173,48170,7429,2175,895,508,340,1020
2022,7,444396,383648,48313,7530,2166,882,521,338,997
2022,8,445892,384846,48596,7614,2158,908,494,318,957
2022,9,447302,386010,48788,7655,2200,896,510,317,925
2022,10,448309,386820,48953,7681,2205,904,494,312,939
2022,11,449104,387441,49044,7711,2207,920,495,310,975
2022,12,449523,387864,49054,7695,2220,902,507,316,964
2023,1,450696,388670,49366,7777,2212,906,500,313,951
2023,2,451443,389243,49508,7788,2244,903,502,316,938
2023,3,452414,390033,49622,7838,2212,882,523,301,1002
2023,4,453090,390544,49726,7825,2214,917,531,316,1016
2023,5,453916,391108,49891,7854,2232,913,545,341,1031
2023,6,454787,391801,50105,7884,2235,896,553,345,967
2023,7,455800,392531,50409,7943,2260,922,539,315,880
