year,month,imports,standard_registrations,late_registrations,re_registrations,deaths_euthanasia,exports
2016,1,2200,1192,120,0,5839,520
2016,2,1745,1380,189,0,2606,306
2016,3,1966,1784,212,0,2871,390
2016,4,1896,1462,188,0,2795,424
2016,5,2072,1812,179,0,2971,421
2016,6,1902,1900,155,0,2943,490
2016,7,2167,1837,186,0,3192,530
2016,8,2585,2240,198,0,3124,550
2016,9,2079,1683,191,0,2869,482
2016,10,2163,1521,114,0,2865,476
2016,11,2018,1578,136,0,2857,394
2016,12,2259,1507,135,0,4671,618
2017,1,2688,1648,163,0,3588,492
2017,2,1993,1640,136,0,2717,330
2017,3,2147,1665,149,0,3063,499
2017,4,2129,1698,105,17,2866,400
2017,5,2120,2023,118,28,3057,440
2017,6,2217,1829,117,38,3232,542
2017,7,2411,2063,125,36,3004,516
2017,8,2881,2476,160,17,3044,512
2017,9,2525,1751,159,23,2885,477
2017,10,2464,1756,102,20,2813,384
2017,11,2136,1633,96,15,2681,409
2017,12,2425,1641,83,15,3798,698
2018,1,2665,1725,92,21,3335,462
2018,2,2111,1567,111,14,2657,353
2018,3,2357,1779,180,8,3133,449
2018,4,2326,1501,127,21,3045,421
2018,5,2155,2180,118,35,3165,398
2018,6,2198,2152,91,28,3003,627
2018,7,2196,1901,112,26,3097,528
2018,8,2797,2501,111,23,3058,503
2018,9,2387,1889,84,23,2802,472
2018,10,2407,1736,81,17,2896,421
2018,11,2147,1654,124,22,2783,442
2018,12,2322,1531,102,8,3597,624
2019,1,2768,1631,121,28,3108,393
2019,2,2126,1512,88,30,2616,295
2019,3,2375,1531,115,20,2847,410
2019,4,2221,1519,88,45,2946,396
2019,5,2170,1947,119,26,3122,364
2019,6,2261,2140,114,31,3176,508
2019,7,2220,2451,79,22,3364,547
2019,8,2902,2146,113,20,2990,508
2019,9,2308,1727,84,20,2741,497
2019,10,2419,1765,92,31,2929,391
2019,11,2366,1303,50,18,2871,352
2019,12,2406,1522,90,14,3611,633
2020,1,2791,1862,72,24,3431,361
2020,2,2282,1516,92,25,2710,370
2020,3,1644,1619,70,20,2839,355
2020,4,962,1638,57,22,2761,177
2020,5,2169,2035,95,30,2927,243
2020,6,3009,2409,84,31,3123,408
2020,7,3133,2050,88,24,3388,564
2020,8,3489,1940,59,37,2901,583
2020,9,2972,1945,101,17,2912,482
2020,10,3486,1900,66,29,2860,441
2020,11,2807,1790,87,14,2710,345
2020,12,3208,1771,109,23,3338,552
2021,1,3190,1904,73,25,2942,328
2021,2,2744,1577,51,28,2588,301
2021,3,2957,1935,68,42,3044,390
2021,4,2878,1776,91,28,2853,397
2021,5,3170,2273,91,21,3087,354
2021,6,2867,2331,83,30,3214,502
2021,7,3385,2939,84,33,3208,573
2021,8,3930,2465,69,26,3120,555
2021,9,3050,2102,87,33,2978,482
2021,10,3250,1583,77,27,2986,430
2021,11,2783,1586,27,21,2838,363
2021,12,3114,1927,50,19,3449,654
2022,1,3161,2023,69,25,3078,386
2022,2,2685,1675,53,32,2715,354
2022,3,3279,1913,47,26,3065,490
2022,4,3075,1455,73,24,2937,418
2022,5,2804,2213,76,28,3070,386
2022,6,2543,2719,88,36,3120,565
2022,7,2791,2621,76,29,3280,647
2022,8,3369,2331,96,32,3126,568
2022,9,2750,2103,71,36,2833,535
2022,10,2866,1461,65,28,2872,467
2022,11,2377,1779,31,30,2864,353
2022,12,2507,1750,70,25,3167,601
2023,1,2698,1974,85,28,2921,394
2023,2,2138,1595,56,32,2700,405
2023,3,2312,1797,55,29,2943,424
2023,4,2176,1698,31,15,2567,342
2023,5,2152,2001,51,32,2752,338
2023,6,1843,2279,60,25,2636,395
2023,7,1529,2278,59,41,2270,294
