year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1516_years_old,1617_years_old,1718_years_old,1819_years_old,1920_years_old
2016,1,Male,17234,19680,19349,19131,18879,19112,18294,17963,16363,15633,14341,13059,10692,8110,5625,3718,2654,2181,845,38
2016,2,Male,17091,19651,19474,19107,19153,18768,18442,17896,16549,15637,14305,12856,10831,8101,5633,3747,2670,2199,915,42
2016,3,Male,16957,19491,19433,19314,19142,18921,18331,17683,16825,15667,14275,12962,10897,8073,5719,3773,2689,2176,1040,51
2016,4,Male,16788,19427,19654,19363,18791,19127,18427,17479,17099,15614,14383,12809,11086,7995,5878,3816,2691,2173,1152,59
2016,5,Male,16107,19579,19856,19152,19208,18833,18587,17555,17101,15820,14233,12797,11072,8200,5947,3807,2752,2191,1262,67
2016,6,Male,16162,19695,19878,19016,19299,18515,18811,17823,17090,15654,14299,12798,11240,8254,5991,3826,2781,2177,1375,68
2016,7,Male,15927,19945,19464,19367,19342,18390,18848,17727,17249,15530,14379,12784,11222,8306,5942,3850,2783,2163,1471,73
2016,8,Male,16154,19812,19560,19488,19381,18339,18838,17876,17166,15446,14480,12799,11124,8295,5946,3819,2828,2116,1548,77
2016,9,Male,16134,19767,19582,19630,19180,18476,18888,17751,17155,15606,14466,12771,11112,8316,5938,3806,2817,2136,1632,82
2016,10,Male,16115,19648,19784,19438,19343,18479,18878,17736,17299,15631,14443,12768,11095,8312,5955,3769,2857,2158,1691,88
2016,11,Male,16238,19548,19899,19472,19312,18673,18717,17871,17287,15577,14420,12853,10972,8378,5944,3739,2885,2171,1748,96
2016,12,Male,16454,19413,19982,19358,19190,18657,18630,17807,17219,15546,14343,12620,10990,8262,5854,3816,2522,1972,1784,671
2017,1,Male,16532,19492,20016,19412,19109,18675,18723,17749,17291,15470,14358,12667,10917,8208,5759,3807,2504,1934,1764,707
2017,2,Male,16901,19372,20051,19542,19008,18933,18423,17896,17182,15629,14372,12665,10782,8269,5724,3807,2533,1937,1787,766
2017,3,Male,16902,19373,19889,19500,19200,18923,18584,17777,16988,15892,14397,12668,10840,8299,5716,3856,2524,1935,1780,870
2017,4,Male,16745,19363,19814,19740,19265,18590,18775,17898,16803,16110,14390,12760,10723,8487,5637,3951,2550,1946,1780,960
2017,5,Male,16942,18822,19960,19927,19073,19013,18476,18085,16870,16134,14578,12647,10764,8525,5735,3976,2568,1973,1785,1060
2017,6,Male,16874,18972,20068,19970,18939,19089,18178,18327,17137,16127,14391,12671,10772,8669,5734,3990,2591,1996,1760,1164
