year,month,ch,fl
2016,1,492758,2088
2016,2,493081,2095
2016,3,493793,2102
2016,4,494625,2111
2016,5,495308,2110
2016,6,496395,2117
2016,7,496419,2119
2016,8,497079,2116
2016,9,497395,2124
2016,10,497885,2126
2016,11,498404,2131
2016,12,497075,2123
2017,1,497084,2123
2017,2,497927,2143
2017,3,498559,2152
2017,4,499306,2162
2017,5,500548,2190
2017,6,501538,2207
2017,7,502085,2200
2017,8,503344,2199
2017,9,504203,2193
2017,10,505199,2199
2017,11,505860,2209
2017,12,505628,2194
2018,1,505063,2203
2018,2,505564,2211
2018,3,506472,2218
2018,4,507493,2222
2018,5,507798,2227
2018,6,508824,2229
2018,7,509210,2230
2018,8,510040,2247
2018,9,510755,2245
2018,10,511461,2249
2018,11,511700,2266
2018,12,511311,2270
2019,1,510836,2285
2019,2,511514,2279
2019,3,512449,2294
2019,4,513529,2300
2019,5,514384,2297
2019,6,514781,2300
2019,7,514796,2312
2019,8,515743,2322
2019,9,516042,2330
2019,10,516643,2332
2019,11,517324,2334
2019,12,516979,2328
2020,1,516801,2342
2020,2,517422,2361
2020,3,517907,2359
2020,4,518194,2360
2020,5,519058,2372
2020,6,520361,2382
2020,7,521356,2393
2020,8,523096,2393
2020,9,524403,2398
2020,10,526207,2415
2020,11,527638,2427
2020,12,528399,2437
2021,1,529800,2446
2021,2,531154,2466
2021,3,532850,2471
2021,4,534643,2494
2021,5,537296,2497
2021,6,538515,2494
2021,7,540048,2499
2021,8,541751,2500
2021,9,542644,2507
2021,10,544061,2513
2021,11,545614,2516
2021,12,546233,2522
2022,1,547240,2532
2022,2,548016,2551
2022,3,547426,2558
2022,4,549715,2563
2022,5,551504,2581
2022,6,552366,2582
2022,7,552993,2600
2022,8,554064,2596
2022,9,555020,2602
2022,10,556188,2614
2022,11,557026,2624
2022,12,557029,2615
2023,1,557802,2633
2023,2,558156,2638
2023,3,559136,2654
2023,4,560300,2656
2023,5,561036,2659
2023,6,559996,2663
2023,7,558730,2660
