year,month,male,female
2016,1,242901,249857
2016,2,243067,250014
2016,3,243419,250374
2016,4,243811,250814
2016,5,244126,251182
2016,6,244753,251642
2016,7,244762,251657
2016,8,245092,251987
2016,9,245245,252150
2016,10,245487,252398
2016,11,245800,252604
2016,12,245117,251958
2017,1,245094,251990
2017,2,245580,252347
2017,3,245916,252643
2017,4,246287,253019
2017,5,246913,253635
2017,6,247420,254118
2017,7,247735,254350
2017,8,248426,254918
2017,9,248894,255309
2017,10,249419,255780
2017,11,249750,256110
2017,12,249575,256053
2018,1,249229,255834
2018,2,249460,256104
2018,3,249940,256532
2018,4,250477,257016
2018,5,250667,257131
2018,6,251137,257687
2018,7,251363,257847
2018,8,251760,258280
2018,9,252057,258698
2018,10,252406,259055
2018,11,252571,259129
2018,12,252407,258904
2019,1,252218,258618
2019,2,252637,258877
2019,3,253124,259325
2019,4,253690,259839
2019,5,254114,260270
2019,6,254352,260429
2019,7,254314,260482
2019,8,254805,260938
2019,9,254979,261063
2019,10,255325,261318
2019,11,255669,261655
2019,12,255601,261378
2020,1,255463,261338
2020,2,255807,261615
2020,3,256129,261778
2020,4,256351,261843
2020,5,256792,262266
2020,6,257539,262822
2020,7,258124,263232
2020,8,259062,264034
2020,9,259714,264689
2020,10,260620,265587
2020,11,261478,266160
2020,12,261912,266487
2021,1,262719,267081
2021,2,263452,267702
2021,3,264325,268525
2021,4,265307,269336
2021,5,266710,270586
2021,6,267350,271165
2021,7,268230,271818
2021,8,269197,272554
2021,9,269737,272907
2021,10,270447,273614
2021,11,271248,274366
2021,12,271519,274714
2022,1,272072,275168
2022,2,272495,275521
2022,3,272185,275241
2022,4,273348,276367
2022,5,274301,277203
2022,6,274857,277509
2022,7,275199,277794
2022,8,275760,278304
2022,9,276215,278805
2022,10,276752,279436
2022,11,277180,279846
2022,12,277147,279882
2023,1,277517,280285
2023,2,277770,280386
2023,3,278269,280867
2023,4,278890,281410
2023,5,279223,281813
2023,6,278712,281284
2023,7,278037,280693
