year,month,small,medium,large,x_large,unknown
2016,1,205664,86486,132895,9090,58623
2016,2,206304,86735,132799,9064,58179
2016,3,207039,87088,132963,9077,57626
2016,4,207785,87471,133192,9109,57068
2016,5,208570,87712,133389,9110,56527
2016,6,209309,88147,133790,9099,56050
2016,7,209750,88309,133831,9100,55429
2016,8,210553,88551,133909,9144,54922
2016,9,211190,88694,133936,9145,54430
2016,10,211874,88973,133957,9139,53942
2016,11,212509,89371,133915,9122,53487
2016,12,212644,89337,133460,9107,52527
2017,1,213357,89481,133275,9089,51882
2017,2,214049,89818,133501,9115,51444
2017,3,214602,90203,133643,9136,50975
2017,4,215228,90548,133881,9104,50545
2017,5,216005,91051,134313,9137,50042
2017,6,216630,91555,134715,9140,49498
2017,7,217152,91911,134789,9149,49084
2017,8,218202,92310,134983,9146,48703
2017,9,218954,92674,135063,9181,48331
2017,10,219770,93018,135251,9176,47984
2017,11,220416,93284,135334,9162,47664
2017,12,220687,93540,135165,9140,47096
2018,1,221116,93745,134792,9093,46317
2018,2,221713,94010,134829,9079,45933
2018,3,222553,94400,134979,9056,45484
2018,4,223233,94827,135252,9070,45111
2018,5,223692,95026,135385,9070,44625
2018,6,224238,95473,135839,9090,44184
2018,7,224687,95826,135886,9106,43705
2018,8,225487,96078,136010,9075,43390
2018,9,226271,96411,135961,9087,43025
2018,10,226946,96747,136022,9097,42649
2018,11,227395,96952,136037,9058,42258
2018,12,227620,97065,135836,9043,41747
2019,1,227905,97189,135511,9042,41189
2019,2,228435,97519,135631,9055,40874
2019,3,229138,97928,135824,9046,40513
2019,4,229789,98377,136183,9085,40095
2019,5,230314,98759,136515,9084,39712
2019,6,230615,99163,136605,9113,39285
2019,7,230931,99382,136588,9112,38783
2019,8,231609,99687,136854,9113,38480
2019,9,232176,99840,136784,9075,38167
2019,10,232729,100121,136813,9081,37899
2019,11,233142,100359,137103,9084,37636
2019,12,233156,100439,136994,9072,37318
2020,1,233618,100602,136726,9037,36818
2020,2,234204,100797,136818,9015,36588
2020,3,234564,101019,137070,8986,36268
2020,4,234894,101160,137246,8992,35902
2020,5,235357,101682,137488,8966,35565
2020,6,236018,102219,137784,8969,35371
2020,7,236599,102668,137961,8995,35133
2020,8,237691,103058,138348,9019,34980
2020,9,238524,103455,138647,8993,34784
2020,10,239576,103939,139012,9039,34641
2020,11,240382,104267,139392,9082,34515
2020,12,240880,104456,139610,9095,34358
2021,1,241617,104957,139992,9118,34116
2021,2,242257,105317,140405,9161,34014
2021,3,243087,105884,140829,9199,33851
2021,4,243935,106337,141409,9224,33738
2021,5,244998,107175,142124,9297,33702
2021,6,245579,107604,142489,9334,33509
2021,7,246275,108055,143006,9306,33406
2021,8,247171,108461,143454,9312,33353
2021,9,247743,108737,143648,9280,33236
2021,10,248580,109030,144035,9252,33164
2021,11,249258,109490,144391,9284,33191
2021,12,249675,109737,144449,9277,33095
2022,1,250359,110000,144657,9291,32933
2022,2,250818,110207,144847,9292,32852
2022,3,250942,110357,144561,9276,32290
2022,4,251897,111055,145219,9300,32244
2022,5,252662,111700,145681,9303,32158
2022,6,253083,111943,146007,9300,32033
2022,7,253321,112082,146297,9323,31970
2022,8,254183,112190,146423,9345,31923
2022,9,254624,112372,146780,9370,31874
2022,10,255192,112623,147046,9434,31893
2022,11,255724,112839,147153,9467,31843
2022,12,255815,112830,147160,9464,31760
2023,1,256305,113007,147262,9498,31730
2023,2,256540,113095,147291,9545,31685
2023,3,256956,113270,147688,9574,31648
2023,4,257427,113581,148048,9628,31616
2023,5,257744,113781,148283,9638,31590
2023,6,257252,113590,148115,9597,31442
2023,7,256790,113359,147673,9562,31346
