owner_language,name,rank_language,count_language,rank_overall,count_total
de,Luna,1,4791,1,7245
fr,Luna,1,1798,1,7245
it,Luna,1,556,1,7245
de,Kira,2,2278,2,3144
it,Kira,2,415,2,3144
fr,Kira,10,404,2,3144
fr,Nala,2,901,3,3031
de,Nala,3,1915,3,3031
it,Nala,5,198,3,3031
de,Bella,4,1737,4,2538
fr,Bella,6,632,4,2538
it,Mia,3,369,5,2221
de,Mia,5,1381,5,2221
fr,Mia,7,444,5,2221
fr,Lola,3,841,6,1805
it,Lola,8,185,6,1805
it,Stella,6,194,7,1607
de,Stella,9,1002,7,1607
de,Lucy,7,1280,8,1503
de,Amy,6,1371,9,1489
fr,Maya,4,750,10,1379
it,Maya,4,202,10,1379
fr,Nina,5,644,11,1280
it,Nina,7,193,11,1280
de,Gina,8,1138,12,1278
de,Lilly,10,917,13,1158
fr,Chanel,9,431,18,973
it,Chanel,10,159,18,973
fr,Naya,8,440,43,511
it,Zoe,9,181,48,491
