owner_language,name,rank_language,count_language,rank_overall,count_total
de,Rocky,1,2206,1,3290
fr,Rocky,2,788,1,3290
it,Rocky,3,216,1,3290
fr,Lucky,1,843,2,2480
de,Lucky,3,1401,2,2480
it,Lucky,4,191,2,2480
fr,Max,3,663,3,1854
de,Max,6,1028,3,1854
it,Max,6,134,3,1854
it,Jack,1,247,4,1691
fr,Jack,5,518,4,1691
de,Jack,10,901,4,1691
it,Leo,2,234,5,1673
de,Leo,4,1242,5,1673
de,Milo,5,1111,6,1506
it,Milo,8,121,6,1506
de,Balu,2,1417,7,1487
fr,Snoopy,4,659,8,1455
de,Buddy,7,997,9,1185
de,Charly,9,920,10,1176
de,Nero,8,957,12,1060
fr,Tyson,7,314,13,1051
fr,Django,10,291,16,921
it,Paco,10,109,24,815
fr,Marley,6,334,27,739
it,Zeus,5,136,28,642
fr,Cookie,9,304,35,606
fr,Kiko,8,307,36,599
it,Thor,9,114,53,462
it,Pepe,7,130,66,381
