year,month,total
2016,1,106569
2016,2,106874
2016,3,107897
2016,4,109265
2016,5,110183
2016,6,110533
2016,7,110493
2016,8,110308
2016,9,109933
2016,10,109707
2016,11,108893
2016,12,108561
2017,1,109033
2017,2,109371
2017,3,110336
2017,4,111714
2017,5,112532
2017,6,112906
2017,7,112805
2017,8,112535
2017,9,112064
2017,10,111803
2017,11,111032
2017,12,110471
2018,1,110543
2018,2,110866
2018,3,111796
2018,4,112809
2018,5,113563
2018,6,113764
2018,7,113777
2018,8,113665
2018,9,113216
2018,10,112742
2018,11,111901
2018,12,111290
2019,1,111311
2019,2,111442
2019,3,112090
2019,4,113145
2019,5,113700
2019,6,113856
2019,7,113713
2019,8,113607
2019,9,113229
2019,10,112642
2019,11,111998
2019,12,111310
2020,1,111183
2020,2,111298
2020,3,111907
2020,4,112778
2020,5,113348
2020,6,113539
2020,7,113533
2020,8,113543
2020,9,113247
2020,10,112684
2020,11,112078
2020,12,111611
2021,1,111565
2021,2,111618
2021,3,112296
2021,4,113233
2021,5,113886
2021,6,114002
2021,7,113918
2021,8,113880
2021,9,113362
2021,10,113176
2021,11,112464
2021,12,111961
2022,1,111994
2022,2,112134
2022,3,112775
2022,4,113733
2022,5,114298
2022,6,114409
2022,7,114249
2022,8,114167
2022,9,113670
2022,10,113230
2022,11,112647
2022,12,112139
2023,1,112047
2023,2,112025
2023,3,112513
2023,4,113324
2023,5,113795
2023,6,113753
2023,7,113613
