name,count,rank,year,owner_language
Elvis,9,1,2016,__all__
Nico,8,2,2016,__all__
Nero,7,3,2016,__all__
Nino,7,3,2016,__all__
Lucky,6,5,2016,__all__
Balou,6,5,2016,__all__
Miro,6,5,2016,__all__
Harry,5,8,2016,__all__
Lotus,5,8,2016,__all__
Diego,5,8,2016,__all__
Nino,10,1,2017,__all__
Lars,7,2,2017,__all__
Leo,7,2,2017,__all__
Nando,6,4,2017,__all__
Nemo,6,4,2017,__all__
Lino,6,4,2017,__all__
Elvis,6,4,2017,__all__
Harry,5,8,2017,__all__
Hercule,5,8,2017,__all__
Nello,5,8,2017,__all__
Enzo,9,1,2018,__all__
Nino,9,1,2018,__all__
Nando,7,3,2018,__all__
Leo,7,3,2018,__all__
Milo,6,5,2018,__all__
Amigo,6,5,2018,__all__
Happy,6,5,2018,__all__
Domino,6,5,2018,__all__
Hector,6,5,2018,__all__
Max,6,5,2018,__all__
Nemo,11,1,2019,__all__
Nino,11,1,2019,__all__
Nero,8,3,2019,__all__
Rocky,6,4,2019,__all__
Leo,6,4,2019,__all__
Lucky,6,4,2019,__all__
Pablo,6,4,2019,__all__
Merlin,5,8,2019,__all__
Nesquik,5,8,2019,__all__
Nevio,5,8,2019,__all__
Emilio,6,1,2020,__all__
Enzo,6,1,2020,__all__
Nino,6,1,2020,__all__
Max,5,4,2020,__all__
Henry,5,4,2020,__all__
Enzo,7,1,2021,__all__
Leo,5,2,2021,__all__
Nemo,5,2,2021,__all__
Caramel,5,2,2021,__all__
Nino,5,2,2021,__all__
Charly,5,2,2021,__all__
Eclair,5,2,2021,__all__
Leo,11,1,2022,__all__
Nino,9,2,2022,__all__
Harry,6,3,2022,__all__
Lucky,6,3,2022,__all__
Henry,6,3,2022,__all__
Nemo,5,6,2022,__all__
Spirit,5,6,2022,__all__
Enzo,7,1,2023,__all__
Nico,6,2,2023,__all__
Elvis,6,2,2023,__all__
Elio,5,4,2023,__all__
Nico,8,1,2016,de
Elvis,6,2,2016,de
Nero,6,2,2016,de
Nino,6,2,2016,de
Carlo,5,5,2016,de
Linus,5,5,2016,de
Nino,9,1,2017,de
Lars,7,2,2017,de
Nando,6,3,2017,de
Nemo,6,3,2017,de
Leo,5,5,2017,de
Rocky,5,5,2017,de
Nando,7,1,2018,de
Nino,7,1,2018,de
Amigo,6,3,2018,de
Domino,5,4,2018,de
Max,5,4,2018,de
Navaro,5,4,2018,de
Leo,5,4,2018,de
Milo,5,4,2018,de
Nemo,9,1,2019,de
Nero,7,2,2019,de
Pablo,6,3,2019,de
Nevio,5,4,2019,de
Rocky,5,4,2019,de
Linus,5,4,2019,de
Henry,5,1,2020,de
Emilio,5,1,2020,de
Leo,8,1,2022,de
Nino,7,2,2022,de
Henry,6,3,2022,de
Nico,5,1,2023,de
Elvis,5,1,2023,de
Hercule,5,1,2017,fr
Volcan,5,1,2017,fr
Happy,6,1,2018,fr
Enzo,5,2,2018,fr
Nino,7,1,2019,fr
Caramel,5,1,2021,fr
Eclair,5,1,2021,fr
