year,month,zone_valley,zone_hills,zone_mountain01,zone_mountain02,zone_mountain03,zone_mountain04,zone_summering,zone_unknown
2016,1,53712,12489,8189,9547,4426,2548,285,15373
2016,2,53862,12501,8219,9581,4458,2535,280,15438
2016,3,54240,12625,8352,9748,4502,2535,296,15599
2016,4,54732,12811,8484,10046,4589,2534,307,15762
2016,5,55064,12797,8350,10085,4479,2540,1007,15861
2016,6,54780,12670,8198,9875,4041,2317,2830,15822
2016,7,54637,12614,8132,9819,4003,2299,3222,15767
2016,8,54494,12602,8162,9805,4037,2311,3095,15802
2016,9,54547,12826,8255,10034,4285,2434,1774,15778
2016,10,54877,12959,8411,9984,4598,2564,530,15784
2016,11,54668,12899,8467,9748,4608,2561,267,15675
2016,12,54488,12796,8382,9648,4573,2592,210,15872
2017,1,54738,12867,8356,9658,4581,2596,206,16031
2017,2,54892,12922,8387,9656,4597,2614,204,16099
2017,3,55226,13053,8511,9930,4633,2614,204,16165
2017,4,55813,13200,8606,10196,4746,2612,256,16285
2017,5,55932,13126,8449,9382,4633,2594,2239,16177
2017,6,55732,12943,8209,9090,4159,2377,4278,16118
2017,7,55541,12901,8202,9015,4140,2329,4665,16012
2017,8,55437,12885,8199,8967,4153,2344,4459,16091
2017,9,55630,13075,8318,9177,4447,2496,2793,16128
2017,10,55979,13108,8480,9795,4754,2584,798,16305
2017,11,55760,13174,8439,9749,4751,2629,310,16220
2017,12,55437,13163,8353,9691,4734,2637,280,16176
2018,1,55545,13198,8323,9659,4719,2640,259,16200
2018,2,55670,13221,8371,9682,4699,2652,252,16319
2018,3,55975,13330,8531,9887,4731,2649,247,16446
2018,4,56342,13407,8686,10169,4763,2663,285,16494
2018,5,56355,13297,8410,9194,4647,2574,2676,16410
2018,6,55875,13054,8268,8834,4026,2405,4959,16343
2018,7,55701,12960,8262,8786,4040,2350,5324,16354
2018,8,55803,12971,8293,8791,4018,2335,5156,16298
2018,9,56169,13073,8425,9078,4374,2541,3197,16359
2018,10,56434,13139,8596,9901,4784,2682,670,16536
2018,11,56106,13163,8555,9820,4836,2692,224,16505
2018,12,55707,13132,8541,9719,4831,2695,196,16469
2019,1,55866,13083,8532,9667,4785,2675,184,16519
2019,2,55869,13103,8547,9656,4795,2683,178,16611
2019,3,56017,13236,8661,9785,4833,2679,174,16705
2019,4,56286,13443,8799,10082,4886,2664,178,16807
2019,5,56242,13403,8536,9123,4659,2713,2372,16652
2019,6,55708,13099,8312,8764,3989,2398,5065,16521
2019,7,55305,13065,8223,8700,3943,2312,5684,16481
2019,8,55322,13082,8212,8676,3956,2306,5554,16499
2019,9,55604,13208,8353,8935,4345,2531,3614,16639
2019,10,55904,13350,8538,9749,4734,2715,822,16830
2019,11,55809,13408,8491,9758,4806,2707,209,16810
2019,12,55518,13354,8479,9679,4761,2698,180,16641
2020,1,55481,13349,8445,9619,4767,2690,175,16657
2020,2,55518,13398,8464,9589,4759,2686,173,16711
2020,3,55686,13454,8590,9688,4807,2699,175,16808
2020,4,55893,13578,8711,9885,4869,2711,251,16880
2020,5,55853,13410,8424,8921,4608,2603,2947,16582
2020,6,55436,13180,8189,8573,4084,2371,5162,16544
2020,7,55354,13089,8141,8559,4031,2370,5487,16502
2020,8,55506,13153,8120,8550,4070,2357,5213,16574
2020,9,55947,13293,8337,8884,4423,2573,3159,16631
2020,10,56094,13455,8531,9628,4851,2673,654,16798
2020,11,55929,13475,8472,9595,4935,2668,213,16791
2020,12,55756,13425,8459,9507,4870,2664,165,16765
2021,1,55790,13441,8460,9476,4786,2657,151,16804
2021,2,55766,13420,8463,9472,4793,2678,147,16879
2021,3,56120,13464,8518,9673,4793,2697,147,16884
2021,4,56480,13612,8617,9873,4796,2700,202,16953
2021,5,56637,13500,8373,8994,4651,2746,2272,16713
2021,6,56164,13288,8124,8562,4159,2399,4674,16632
2021,7,55858,13229,8129,8476,4084,2359,5197,16586
2021,8,56016,13198,8148,8471,4086,2344,4965,16652
2021,9,56104,13346,8298,8761,4386,2482,3328,16657
2021,10,56441,13518,8505,9638,4841,2705,685,16843
2021,11,56322,13522,8443,9571,4834,2690,226,16856
2021,12,56095,13490,8394,9522,4793,2702,202,16763
2022,1,56097,13525,8369,9489,4779,2692,190,16853
2022,2,56172,13557,8374,9481,4785,2684,186,16895
2022,3,56306,13651,8518,9640,4840,2695,181,16944
2022,4,56650,13732,8533,9874,4910,2711,224,17099
2022,5,56640,13616,8276,8879,4671,2596,2760,16860
2022,6,56068,13417,8052,8577,4282,2446,4744,16823
2022,7,55832,13378,8001,8489,4230,2434,5175,16710
2022,8,55987,13369,8034,8531,4254,2393,4855,16744
2022,9,56232,13510,8225,8890,4544,2570,2964,16735
2022,10,56435,13518,8345,9638,4898,2713,768,16915
2022,11,56288,13558,8358,9630,4890,2713,246,16964
2022,12,56068,13501,8306,9582,4860,2704,211,16907
2023,1,56147,13454,8291,9580,4862,2687,208,16818
2023,2,56066,13475,8282,9578,4866,2688,203,16867
2023,3,56275,13535,8363,9727,4907,2685,205,16816
2023,4,56517,13623,8417,9924,4984,2699,244,16916
2023,5,56467,13519,8113,8951,4752,2616,2620,16757
2023,6,55849,13243,7917,8647,4338,2483,4520,16756
2023,7,55600,13188,7835,8578,4311,2452,5003,16646
