year,month,esel,hofische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,wildequiden
2016,1,25,0.0,,28.0,0.0,15.0,,,0.0
2016,2,21,0.0,,249.0,,34.0,5.0,24.0,0.0
2016,3,50,,,665.0,5.0,87.0,13.0,128.0,0.0
2016,4,85,,12.0,765.0,,214.0,15.0,188.0,
2016,5,91,,12.0,364.0,,211.0,12.0,240.0,0.0
2016,6,72,,,47.0,0.0,112.0,10.0,111.0,
2016,7,65,0.0,,15.0,,54.0,5.0,32.0,0.0
2016,8,48,0.0,,5.0,0.0,14.0,,6.0,0.0
2016,9,43,0.0,0.0,,0.0,8.0,0.0,0.0,0.0
2016,10,36,,0.0,,0.0,5.0,0.0,,0.0
2016,11,18,0.0,0.0,,0.0,6.0,0.0,0.0,0.0
2016,12,21,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017,1,38,0.0,,40.0,0.0,23.0,,5.0,0.0
2017,2,31,,,221.0,0.0,23.0,,26.0,0.0
2017,3,60,0.0,,634.0,,79.0,8.0,116.0,0.0
2017,4,82,,,761.0,,166.0,14.0,229.0,0.0
2017,5,102,,14.0,310.0,5.0,169.0,10.0,218.0,0.0
2017,6,74,,6.0,61.0,0.0,101.0,5.0,104.0,0.0
2017,7,46,0.0,,10.0,0.0,47.0,5.0,38.0,0.0
2017,8,34,0.0,,,0.0,16.0,,,0.0
2017,9,35,0.0,,,0.0,9.0,,,0.0
2017,10,36,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0
2017,11,23,0.0,0.0,,0.0,9.0,,0.0,0.0
2017,12,24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2018,1,27,0.0,,33.0,0.0,12.0,,5.0,0.0
2018,2,30,0.0,,265.0,0.0,31.0,,40.0,0.0
2018,3,57,,,710.0,,68.0,13.0,130.0,0.0
2018,4,86,,8.0,667.0,6.0,155.0,18.0,196.0,0.0
2018,5,81,,9.0,370.0,,190.0,11.0,228.0,0.0
2018,6,66,,5.0,45.0,,108.0,,112.0,0.0
2018,7,53,,,,0.0,37.0,,24.0,0.0
2018,8,40,,,7.0,,23.0,,8.0,0.0
2018,9,42,0.0,,5.0,0.0,15.0,0.0,,0.0
2018,10,31,0.0,0.0,,0.0,6.0,0.0,,0.0
2018,11,26,0.0,,,0.0,,,0.0,0.0
2018,12,16,0.0,,0.0,0.0,,,0.0,0.0
2019,1,26,0.0,,36.0,0.0,9.0,,,0.0
2019,2,28,0.0,,185.0,,20.0,,12.0,0.0
