year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,,0.0,0.0,10.0,,0.0,7.0,0.0,0.0,6.0,,5.0,,,,13.0,0.0,6.0,,,,0.0,,5.0,0.0,,0.0
2016,2,28.0,,,64.0,,0.0,37.0,,0.0,11.0,61.0,19.0,7.0,,,13.0,,30.0,5.0,7.0,9.0,0.0,7.0,15.0,6.0,8.0,
2016,3,51.0,,10.0,199.0,9.0,0.0,97.0,,,16.0,233.0,55.0,19.0,0.0,,36.0,0.0,53.0,7.0,20.0,23.0,0.0,49.0,31.0,6.0,24.0,6.0
2016,4,59.0,5.0,6.0,263.0,23.0,0.0,107.0,,,45.0,318.0,68.0,38.0,,0.0,55.0,,56.0,11.0,35.0,29.0,,62.0,45.0,,39.0,9.0
2016,5,59.0,,5.0,194.0,16.0,0.0,49.0,12.0,5.0,44.0,183.0,55.0,24.0,0.0,,38.0,,35.0,16.0,25.0,32.0,,54.0,19.0,,41.0,15.0
2016,6,16.0,,,65.0,5.0,0.0,16.0,,,33.0,24.0,28.0,13.0,,,21.0,,16.0,6.0,19.0,14.0,0.0,30.0,19.0,,20.0,
2016,7,7.0,0.0,0.0,25.0,,0.0,14.0,,,21.0,10.0,16.0,5.0,0.0,,8.0,0.0,8.0,,9.0,14.0,0.0,10.0,,0.0,12.0,
2016,8,7.0,0.0,0.0,10.0,,0.0,5.0,0.0,0.0,6.0,,,,0.0,,5.0,0.0,,,,11.0,0.0,7.0,6.0,0.0,,
2016,9,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,,5.0,,0.0,,0.0,0.0,,8.0,,5.0,0.0,,,,0.0,
2016,10,,0.0,,,0.0,0.0,,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,,0.0,,5.0,,6.0,0.0,,7.0,0.0,,
2016,11,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,5.0,0.0,,0.0
2016,12,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.0,0.0,,6.0,0.0,0.0,0.0
2017,1,,0.0,0.0,5.0,,0.0,13.0,0.0,0.0,15.0,6.0,6.0,,0.0,,7.0,0.0,,,,8.0,0.0,15.0,13.0,,,0.0
2017,2,9.0,0.0,,67.0,,0.0,30.0,,0.0,14.0,43.0,24.0,7.0,0.0,,13.0,,27.0,5.0,15.0,12.0,0.0,13.0,9.0,,7.0,0.0
2017,3,41.0,5.0,9.0,213.0,9.0,0.0,93.0,,,27.0,225.0,54.0,11.0,,,29.0,,58.0,9.0,14.0,17.0,0.0,25.0,28.0,,24.0,0.0
2017,4,47.0,0.0,9.0,248.0,24.0,0.0,114.0,6.0,0.0,44.0,326.0,67.0,37.0,,,42.0,,63.0,16.0,35.0,32.0,,57.0,43.0,,43.0,0.0
2017,5,47.0,5.0,,146.0,17.0,0.0,62.0,,7.0,42.0,138.0,53.0,31.0,,,37.0,,40.0,8.0,27.0,43.0,0.0,39.0,40.0,0.0,36.0,
2017,6,27.0,,,44.0,5.0,0.0,25.0,,,27.0,31.0,22.0,11.0,,0.0,22.0,,20.0,6.0,18.0,27.0,0.0,25.0,14.0,0.0,19.0,0.0
2017,7,10.0,0.0,0.0,15.0,,,8.0,,0.0,19.0,13.0,8.0,7.0,,,5.0,0.0,10.0,,5.0,7.0,0.0,8.0,13.0,,10.0,0.0
2017,8,,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,9.0,,5.0,,0.0,0.0,,,,,,,0.0,6.0,5.0,0.0,,0.0
2017,9,0.0,0.0,0.0,8.0,0.0,0.0,,0.0,0.0,,,6.0,0.0,0.0,,,0.0,,6.0,0.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0
2017,10,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,6.0,,,,0.0,0.0,,0.0,,,,,0.0,7.0,5.0,0.0,,0.0
2017,11,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,7.0,0.0,,5.0,0.0,,0.0
2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,,6.0,,,0.0
2018,1,,0.0,0.0,9.0,,0.0,9.0,0.0,0.0,6.0,7.0,,,0.0,0.0,,0.0,,,,12.0,0.0,,8.0,0.0,,0.0
2018,2,26.0,0.0,,73.0,,0.0,40.0,,,10.0,57.0,27.0,5.0,0.0,,19.0,,28.0,,14.0,17.0,0.0,21.0,10.0,,8.0,0.0
2018,3,43.0,,7.0,209.0,14.0,0.0,84.0,,0.0,29.0,264.0,68.0,24.0,,,27.0,,52.0,14.0,28.0,18.0,0.0,37.0,33.0,5.0,24.0,0.0
