year,month,male,female
2016,1,39,34
2016,2,162,177
2016,3,475,479
2016,4,603,684
2016,5,468,467
2016,6,183,177
2016,7,100,75
2016,8,40,38
2016,9,24,28
2016,10,22,24
2016,11,14,12
2016,12,12,11
2017,1,46,63
2017,2,150,156
2017,3,440,461
2017,4,648,613
2017,5,418,414
2017,6,187,166
2017,7,81,67
2017,8,28,30
2017,9,21,28
2017,10,25,26
2017,11,13,21
2017,12,9,16
2018,1,35,45
2018,2,182,191
2018,3,489,498
2018,4,595,544
2018,5,442,455
2018,6,172,173
2018,7,56,69
2018,8,40,42
2018,9,32,33
2018,10,20,19
2018,11,17,16
2018,12,11,8
2019,1,31,45
2019,2,127,122
2019,3,382,405
2019,4,579,547
2019,5,397,370
2019,6,168,151
2019,7,59,60
2019,8,40,38
2019,9,16,18
2019,10,21,18
2019,11,22,22
2019,12,16,15
2020,1,44,41
2020,2,126,151
2020,3,374,406
2020,4,498,548
2020,5,390,351
2020,6,123,119
2020,7,64,68
2020,8,38,40
2020,9,18,33
2020,10,22,16
2020,11,20,21
2020,12,17,18
2021,1,43,50
2021,2,128,140
2021,3,415,405
2021,4,515,550
2021,5,361,367
2021,6,126,132
2021,7,47,48
2021,8,31,28
2021,9,20,23
2021,10,16,21
2021,11,18,18
2021,12,12,12
2022,1,42,39
2022,2,130,156
2022,3,406,415
2022,4,507,526
2022,5,370,371
2022,6,157,143
2022,7,50,60
2022,8,27,23
2022,9,26,24
2022,10,16,9
2022,11,12,12
2022,12,10,9
2023,1,40,41
2023,2,129,139
2023,3,332,324
2023,4,473,440
2023,5,292,314
2023,6,69,79
2023,7,18,22
