year,month,total
2016,1,73
2016,2,339
2016,3,954
2016,4,1287
2016,5,935
2016,6,360
2016,7,175
2016,8,78
2016,9,52
2016,10,46
2016,11,26
2016,12,23
2017,1,109
2017,2,306
2017,3,901
2017,4,1261
2017,5,832
2017,6,353
2017,7,148
2017,8,58
2017,9,49
2017,10,51
2017,11,34
2017,12,25
2018,1,80
2018,2,373
2018,3,987
2018,4,1139
2018,5,897
2018,6,345
2018,7,125
2018,8,82
2018,9,65
2018,10,39
2018,11,33
2018,12,19
2019,1,76
2019,2,249
2019,3,787
2019,4,1126
2019,5,767
2019,6,319
2019,7,119
2019,8,78
2019,9,34
2019,10,39
2019,11,44
2019,12,31
2020,1,85
2020,2,277
2020,3,780
2020,4,1046
2020,5,741
2020,6,242
2020,7,132
2020,8,78
2020,9,51
2020,10,38
2020,11,41
2020,12,35
2021,1,93
2021,2,268
2021,3,820
2021,4,1065
2021,5,728
2021,6,258
2021,7,95
2021,8,59
2021,9,43
2021,10,37
2021,11,36
2021,12,24
2022,1,81
2022,2,286
2022,3,821
2022,4,1033
2022,5,741
2022,6,300
2022,7,110
2022,8,50
2022,9,50
2022,10,25
2022,11,24
2022,12,19
2023,1,81
2023,2,268
2023,3,656
2023,4,913
2023,5,606
2023,6,148
2023,7,40
