year,month,esel,hofische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,wildequiden
2016,1,9379,1134,3273,20092,468,30992,4682,36529,20
2016,2,9392,1137,3289,20245,475,31048,4678,36590,20
2016,3,9465,1144,3310,20818,479,31183,4685,36794,19
2016,4,9547,1147,3353,21511,479,31443,4714,37050,21
2016,5,9634,1148,3394,21769,484,31698,4729,37306,21
2016,6,9713,1156,3395,21747,486,31839,4741,37434,22
2016,7,9773,1158,3395,21688,489,31866,4730,37372,22
2016,8,9844,1153,3393,21609,493,31837,4719,37238,22
2016,9,9882,1148,3383,21494,494,31777,4686,37047,22
2016,10,9906,1152,3412,21039,499,31871,4676,37130,22
2016,11,9901,1152,3408,20541,505,31763,4671,36930,22
2016,12,9944,1158,3388,20360,505,31764,4643,36777,22
2017,1,9995,1160,3445,20331,506,31923,4660,36991,22
2017,2,10023,1162,3458,20472,510,31996,4662,37067,21
2017,3,10100,1162,3474,21030,510,32136,4676,37227,21
2017,4,10184,1167,3514,21707,515,32390,4689,37527,21
2017,5,10281,1175,3544,21911,523,32620,4712,37745,21
2017,6,10335,1183,3571,21904,526,32750,4726,37890,21
2017,7,10363,1180,3572,21836,527,32732,4736,37838,21
2017,8,10376,1173,3570,21777,530,32652,4720,37716,21
2017,9,10398,1171,3559,21635,524,32585,4700,37471,21
2017,10,10441,1184,3576,21160,524,32638,4723,37536,21
2017,11,10423,1179,3550,20796,520,32533,4707,37303,21
2017,12,10419,1178,3540,20593,514,32400,4688,37119,20
2018,1,10407,1191,3560,20515,513,32493,4690,37154,20
2018,2,10416,1191,3572,20710,517,32551,4692,37198,19
2018,3,10457,1197,3591,21320,523,32627,4719,37343,19
2018,4,10535,1202,3627,21886,528,32771,4734,37507,19
2018,5,10595,1201,3655,22142,534,32996,4729,37692,19
2018,6,10628,1206,3672,22101,534,33093,4739,37772,19
2018,7,10689,1205,3675,22040,534,33118,4743,37754,19
2018,8,10711,1201,3669,21961,533,33106,4730,37735,19
2018,9,10736,1195,3654,21845,533,32992,4704,37537,20
2018,10,10752,1197,3662,21366,536,33004,4699,37506,20
2018,11,10745,1189,3643,20918,533,32910,4691,37252,20
2018,12,10709,1179,3639,20721,532,32823,4653,37014,20
2019,1,10683,1174,3665,20646,532,32862,4658,37072,19
2019,2,10682,1166,3678,20747,536,32898,4656,37060,19
2019,3,10724,1171,3692,21200,537,32952,4661,37134,19
2019,4,10789,1171,3708,21794,539,33124,4678,37323,19
2019,5,10856,1167,3712,21984,543,33267,4693,37459,19
2019,6,10918,1167,3721,21934,546,33323,4696,37532,19
2019,7,10948,1172,3723,21858,544,33281,4698,37470,19
2019,8,10984,1170,3730,21782,546,33271,4683,37422,19
2019,9,10982,1165,3723,21665,540,33201,4667,37267,19
2019,10,10973,1161,3736,21186,543,33165,4657,37200,21
2019,11,10976,1157,3734,20809,541,33083,4635,37044,19
2019,12,10952,1152,3716,20597,543,32931,4612,36790,17
2020,1,10945,1148,3716,20522,542,32921,4606,36766,17
2020,2,10957,1144,3718,20605,541,32932,4602,36782,17
2020,3,10983,1139,3738,21042,543,32982,4610,36853,17
2020,4,11002,1140,3753,21628,542,33062,4610,37024,17
2020,5,11051,1142,3780,21821,547,33193,4619,37178,17
2020,6,11068,1149,3791,21761,552,33273,4610,37318,17
2020,7,11102,1148,3807,21670,554,33311,4608,37316,17
2020,8,11153,1147,3816,21603,560,33317,4607,37323,17
2020,9,11171,1142,3818,21476,558,33263,4589,37211,19
2020,10,11176,1141,3828,21003,558,33248,4610,37100,20
2020,11,11184,1137,3821,20689,559,33170,4572,36925,21
2020,12,11166,1131,3816,20526,554,33098,4548,36752,20
2021,1,11074,1127,3832,20488,555,33119,4563,36787,20
2021,2,11069,1122,3834,20588,554,33137,4564,36730,20
2021,3,11091,1124,3849,21062,556,33226,4568,36800,20
2021,4,11105,1123,3882,21582,561,33346,4570,37044,20
2021,5,11147,1128,3909,21775,564,33502,4571,37272,18
2021,6,11162,1132,3928,21702,569,33571,4558,37362,18
2021,7,11175,1137,3939,21632,568,33563,4554,37332,18
2021,8,11196,1135,3959,21559,569,33583,4547,37314,18
2021,9,11196,1129,3943,21458,563,33469,4524,37061,19
2021,10,11207,1129,3971,21129,564,33548,4522,37085,21
2021,11,11176,1124,3961,20765,560,33455,4510,36892,21
2021,12,11157,1121,3948,20625,559,33343,4468,36719,21
2022,1,11139,1117,3964,20596,557,33355,4470,36774,22
2022,2,11121,1118,3974,20721,557,33393,4463,36764,23
2022,3,11145,1107,3981,21217,567,33411,4470,36857,20
2022,4,11193,1109,4020,21758,571,33494,4475,37094,19
2022,5,11239,1106,4043,21948,575,33603,4473,37291,20
2022,6,11277,1102,4059,21916,579,33670,4472,37314,20
2022,7,11305,1097,4061,21848,575,33661,4459,37223,20
2022,8,11325,1086,4063,21785,573,33667,4452,37196,20
2022,9,11322,1088,4048,21661,571,33563,4431,36963,23
2022,10,11296,1090,4055,21305,570,33543,4411,36938,22
2022,11,11258,1086,4050,21044,572,33465,4391,36760,21
2022,12,11213,1081,4036,20916,571,33341,4371,36590,20
2023,1,11193,1083,4039,20888,572,33295,4370,36588,19
2023,2,11165,1079,4038,21018,573,33275,4360,36498,19
2023,3,11139,1074,4048,21459,573,33277,4356,36568,19
2023,4,11140,1074,4068,21973,576,33357,4366,36751,19
2023,5,11153,1068,4079,22202,574,33431,4360,36909,19
2023,6,11153,1066,4096,22153,575,33427,4356,36908,19
2023,7,11159,1064,4094,22091,576,33404,4355,36851,19
