year,month,breed,n_animals
2016,1,Achal-Tekkinger,95.0
2016,2,Achal-Tekkinger,97.0
2016,3,Achal-Tekkinger,97.0
2016,4,Achal-Tekkinger,97.0
2016,5,Achal-Tekkinger,97.0
2016,6,Achal-Tekkinger,96.0
2016,7,Achal-Tekkinger,96.0
2016,8,Achal-Tekkinger,96.0
2016,9,Achal-Tekkinger,96.0
2016,10,Achal-Tekkinger,96.0
2016,11,Achal-Tekkinger,96.0
2016,12,Achal-Tekkinger,96.0
2017,1,Achal-Tekkinger,100.0
2017,2,Achal-Tekkinger,99.0
2017,3,Achal-Tekkinger,98.0
2017,4,Achal-Tekkinger,98.0
2017,5,Achal-Tekkinger,100.0
2017,6,Achal-Tekkinger,103.0
2017,7,Achal-Tekkinger,103.0
2017,8,Achal-Tekkinger,102.0
2017,9,Achal-Tekkinger,101.0
2017,10,Achal-Tekkinger,101.0
2017,11,Achal-Tekkinger,96.0
2017,12,Achal-Tekkinger,96.0
2018,1,Achal-Tekkinger,93.0
2018,2,Achal-Tekkinger,93.0
2018,3,Achal-Tekkinger,93.0
2018,4,Achal-Tekkinger,92.0
2018,5,Achal-Tekkinger,93.0
2018,6,Achal-Tekkinger,94.0
2018,7,Achal-Tekkinger,94.0
2018,8,Achal-Tekkinger,94.0
2018,9,Achal-Tekkinger,94.0
2018,10,Achal-Tekkinger,96.0
2018,11,Achal-Tekkinger,94.0
2018,12,Achal-Tekkinger,93.0
2019,1,Achal-Tekkinger,91.0
2019,2,Achal-Tekkinger,92.0
2019,3,Achal-Tekkinger,91.0
2019,4,Achal-Tekkinger,91.0
2019,5,Achal-Tekkinger,92.0
2019,6,Achal-Tekkinger,92.0
2019,7,Achal-Tekkinger,92.0
2019,8,Achal-Tekkinger,93.0
2019,9,Achal-Tekkinger,95.0
2019,10,Achal-Tekkinger,94.0
2019,11,Achal-Tekkinger,95.0
2019,12,Achal-Tekkinger,95.0
2020,1,Achal-Tekkinger,95.0
2020,2,Achal-Tekkinger,95.0
2020,3,Achal-Tekkinger,94.0
2020,4,Achal-Tekkinger,93.0
2020,5,Achal-Tekkinger,93.0
2020,6,Achal-Tekkinger,96.0
2020,7,Achal-Tekkinger,97.0
2020,8,Achal-Tekkinger,97.0
2020,9,Achal-Tekkinger,96.0
2020,10,Achal-Tekkinger,97.0
2020,11,Achal-Tekkinger,95.0
2020,12,Achal-Tekkinger,95.0
2021,1,Achal-Tekkinger,93.0
2021,2,Achal-Tekkinger,92.0
2021,3,Achal-Tekkinger,92.0
2021,4,Achal-Tekkinger,92.0
2021,5,Achal-Tekkinger,94.0
2021,6,Achal-Tekkinger,94.0
2021,7,Achal-Tekkinger,91.0
2021,8,Achal-Tekkinger,90.0
2021,9,Achal-Tekkinger,90.0
2021,10,Achal-Tekkinger,89.0
2021,11,Achal-Tekkinger,89.0
2021,12,Achal-Tekkinger,88.0
2022,1,Achal-Tekkinger,87.0
2022,2,Achal-Tekkinger,87.0
2022,3,Achal-Tekkinger,87.0
2022,4,Achal-Tekkinger,86.0
2022,5,Achal-Tekkinger,89.0
2022,6,Achal-Tekkinger,89.0
2022,7,Achal-Tekkinger,88.0
2022,8,Achal-Tekkinger,88.0
2022,9,Achal-Tekkinger,89.0
2022,10,Achal-Tekkinger,88.0
2022,11,Achal-Tekkinger,87.0
2022,12,Achal-Tekkinger,87.0
2023,1,Achal-Tekkinger,87.0
2023,2,Achal-Tekkinger,87.0
2023,3,Achal-Tekkinger,87.0
2023,4,Achal-Tekkinger,87.0
2023,5,Achal-Tekkinger,87.0
2023,6,Achal-Tekkinger,88.0
2023,7,Achal-Tekkinger,88.0
2016,1,Aegidienberger,13.0
2016,2,Aegidienberger,13.0
2016,3,Aegidienberger,13.0
2016,4,Aegidienberger,13.0
2016,5,Aegidienberger,13.0
2016,6,Aegidienberger,12.0
2016,7,Aegidienberger,12.0
2016,8,Aegidienberger,12.0
2016,9,Aegidienberger,12.0
2016,10,Aegidienberger,13.0
2016,11,Aegidienberger,13.0
2016,12,Aegidienberger,13.0
2017,1,Aegidienberger,14.0
2017,2,Aegidienberger,15.0
2017,3,Aegidienberger,15.0
2017,4,Aegidienberger,15.0
2017,5,Aegidienberger,15.0
2017,6,Aegidienberger,14.0
2017,7,Aegidienberger,15.0
2017,8,Aegidienberger,15.0
2017,9,Aegidienberger,15.0
2017,10,Aegidienberger,16.0
2017,11,Aegidienberger,16.0
2017,12,Aegidienberger,16.0
2018,1,Aegidienberger,16.0
2018,2,Aegidienberger,16.0
2018,3,Aegidienberger,16.0
2018,4,Aegidienberger,17.0
2018,5,Aegidienberger,17.0
2018,6,Aegidienberger,17.0
2018,7,Aegidienberger,16.0
