year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,8765,227,682,19208,2604,89,6311,1973,408,4637,4973,5608,2373,226,486,6481,1084,4245,1597,5674,2653,169,9030,3830,1119,11778,339
2016,2,8779,227,685,19279,2625,89,6317,1986,400,4625,5007,5623,2378,224,493,6521,1088,4265,1599,5675,2645,166,9038,3874,1128,11802,336
2016,3,8858,228,711,19510,2638,91,6429,1994,403,4636,5168,5699,2387,221,496,6554,1081,4289,1600,5723,2677,165,9089,3910,1136,11877,327
2016,4,8924,226,714,19727,2667,88,6501,2013,404,4683,5425,5798,2434,230,493,6597,1094,4368,1625,5761,2706,169,9186,3949,1144,12005,334
2016,5,9006,225,729,19813,2680,87,6584,2034,403,4756,5493,5841,2480,236,491,6624,1107,4410,1642,5793,2723,168,9234,3981,1142,12086,415
2016,6,9016,218,710,19796,2673,88,6620,2041,409,5110,5464,5826,2521,241,490,6635,1091,4391,1654,5713,2738,169,9280,4022,1125,12076,416
2016,7,8981,220,712,19707,2668,88,6671,2065,409,5171,5448,5822,2511,244,485,6603,1084,4400,1661,5725,2764,169,9236,4082,1120,12033,414
2016,8,8943,217,713,19710,2675,89,6689,2070,414,5108,5401,5825,2501,245,489,6586,1067,4384,1658,5694,2776,172,9239,4082,1115,12042,404
2016,9,8928,223,718,19708,2675,91,6620,2075,420,4862,5353,5844,2473,237,500,6606,1071,4346,1650,5675,2781,175,9251,4074,1130,12082,365
2016,10,8940,226,714,19667,2681,92,6603,2084,422,4770,5131,5814,2441,240,503,6630,1092,4348,1649,5714,2782,180,9338,4053,1122,12130,341
2016,11,8922,223,702,19499,2666,92,6541,2082,412,4702,4943,5758,2414,241,508,6630,1090,4328,1645,5754,2770,177,9278,4013,1112,12108,283
2016,12,8857,213,696,19372,2654,91,6530,2102,407,4664,4874,5732,2392,243,512,6594,1103,4297,1621,5793,2758,174,9457,4011,1108,12049,257
2017,1,8908,214,687,19370,2703,92,6559,2098,409,4687,4795,5746,2382,244,513,6588,1108,4292,1619,5843,2766,174,9754,4018,1134,12115,215
2017,2,8924,214,691,19490,2696,92,6587,2105,411,4688,4807,5763,2384,251,511,6598,1115,4316,1630,5885,2796,172,9769,4025,1139,12109,203
2017,3,9001,216,686,19693,2720,92,6659,2094,413,4701,5037,5819,2389,254,513,6632,1133,4352,1659,5885,2820,175,9816,4061,1138,12191,187
2017,4,9058,217,686,19919,2718,91,6789,2105,418,4730,5332,5889,2410,254,521,6678,1134,4417,1694,5914,2877,173,9906,4131,1162,12305,186
2017,5,9075,217,688,20000,2760,87,6779,2100,427,4803,5411,5912,2470,261,520,6697,1138,4480,1712,5969,2919,176,9953,4172,1155,12374,277
2017,6,9035,218,675,20026,2754,87,6847,2099,413,5159,5372,5952,2474,267,518,6668,1138,4470,1732,5911,2952,177,9937,4251,1154,12338,282
2017,7,9017,216,665,19965,2745,88,6883,2103,400,5239,5362,5952,2475,271,513,6645,1138,4454,1732,5915,2940,173,9887,4282,1161,12305,279
2017,8,8982,215,673,19970,2739,85,6870,2105,393,5188,5330,5951,2467,271,513,6607,1141,4436,1722,5908,2929,175,9864,4269,1178,12277,277
2017,9,8990,216,673,19965,2737,84,6839,2096,387,4900,5309,5947,2466,261,516,6601,1156,4383,1704,5917,2927,170,9861,4222,1184,12314,239
2017,10,9003,213,669,19932,2705,84,6828,2112,406,4794,5148,5953,2434,252,508,6608,1177,4381,1690,5977,2949,171,9914,4184,1198,12344,169
2017,11,8967,213,665,19798,2704,83,6792,2109,392,4765,5001,5915,2383,238,499,6571,1189,4357,1688,5987,2945,170,9855,4150,1178,12272,146
2017,12,8912,212,658,19650,2690,74,6729,2108,396,4745,4932,5908,2381,229,490,6561,1185,4368,1679,5986,2947,169,9815,4140,1165,12203,139
2018,1,8948,214,661,19664,2684,78,6764,2126,401,4729,4871,5913,2374,226,495,6580,1185,4406,1682,5999,2946,167,9801,4123,1168,12207,131
2018,2,8984,213,669,19799,2683,78,6817,2126,404,4747,4899,5931,2373,230,498,6593,1177,4428,1679,5992,2931,168,9819,4121,1189,12189,129
2018,3,9021,209,678,20018,2694,79,6905,2125,408,4769,5135,6002,2386,231,503,6630,1170,4458,1695,5984,2936,174,9846,4149,1189,12277,125
2018,4,9107,207,701,20228,2687,79,7006,2125,412,4797,5389,6049,2423,230,510,6617,1161,4498,1712,6006,2958,176,9860,4211,1189,12351,120
2018,5,9099,213,713,20346,2685,79,7017,2138,405,4905,5478,6085,2505,245,517,6620,1172,4526,1718,6016,2988,179,9934,4271,1190,12384,135
2018,6,9042,210,691,20378,2672,79,6992,2130,406,5256,5465,6080,2490,239,517,6542,1167,4519,1737,5990,2995,179,9888,4376,1185,12344,195
2018,7,8997,210,697,20409,2665,81,6968,2134,411,5319,5474,6103,2489,244,515,6533,1163,4517,1724,5966,3031,177,9914,4389,1180,12282,185
2018,8,9007,207,697,20410,2662,81,6937,2133,412,5239,5433,6091,2490,239,517,6527,1162,4511,1713,5999,3028,178,9929,4380,1189,12310,184
2018,9,9048,211,699,20358,2661,82,7006,2137,416,4962,5374,6066,2478,238,525,6549,1158,4498,1681,6026,3044,175,9892,4310,1194,12302,126
2018,10,9075,205,692,20232,2667,82,6929,2138,429,4860,5187,6074,2460,241,519,6579,1172,4474,1676,6048,3027,172,9862,4294,1187,12353,108
2018,11,9019,200,697,20162,2668,83,6875,2133,436,4803,4978,6013,2404,232,515,6522,1179,4472,1662,6043,3015,169,9801,4257,1157,12310,96
2018,12,8949,202,688,20091,2671,83,6844,2132,436,4786,4910,5993,2401,230,511,6491,1179,4430,1639,6002,3011,169,9727,4245,1149,12227,94
2019,1,8961,189,709,20078,2665,83,6841,2144,431,4764,4857,5988,2403,230,513,6505,1192,4436,1622,6038,3009,170,9725,4248,1138,12280,92
2019,2,8932,188,711,20154,2676,84,6879,2141,430,4753,4859,6005,2415,229,515,6519,1188,4444,1616,6023,3017,169,9708,4270,1151,12280,86
2019,3,8977,189,724,20277,2686,84,6871,2135,432,4771,5057,6043,2435,228,513,6537,1189,4466,1615,6027,3027,169,9755,4276,1144,12378,85
2019,4,9032,190,728,20451,2705,84,6953,2144,431,4781,5317,6086,2460,226,520,6593,1209,4526,1645,6069,3055,171,9792,4301,1117,12475,84
2019,5,9090,190,731,20532,2708,84,6965,2148,430,4853,5391,6103,2514,240,518,6591,1210,4468,1669,6064,3093,176,9804,4345,1144,12505,134
2019,6,9009,193,721,20510,2699,84,6947,2137,425,5195,5373,6116,2520,238,505,6570,1216,4482,1700,5981,3108,179,9823,4393,1143,12435,154
2019,7,8968,189,719,20506,2709,85,6923,2145,415,5343,5347,6093,2517,237,498,6543,1222,4496,1723,5938,3116,184,9793,4386,1138,12328,152
2019,8,8982,188,717,20499,2703,84,6926,2159,418,5263,5315,6104,2507,235,496,6536,1216,4488,1715,5934,3124,185,9786,4374,1136,12366,151
2019,9,8998,184,712,20463,2717,85,6859,2174,427,4981,5265,6116,2496,235,512,6600,1221,4451,1661,5982,3129,177,9780,4354,1142,12367,141
2019,10,9017,183,714,20331,2711,86,6824,2169,437,4830,5130,6084,2437,236,509,6607,1242,4424,1652,6014,3138,178,9806,4280,1134,12364,105
2019,11,9017,178,705,20196,2734,86,6802,2160,432,4792,4958,6054,2389,223,505,6563,1242,4397,1643,6042,3118,168,9736,4273,1121,12380,84
2019,12,8949,175,704,20117,2738,87,6746,2148,427,4754,4866,6013,2374,220,504,6539,1243,4400,1650,6015,3093,168,9612,4250,1107,12338,73
2020,1,8950,175,705,20088,2750,87,6715,2151,428,4742,4819,5986,2366,218,504,6552,1237,4405,1637,6002,3098,167,9629,4247,1108,12348,69
2020,2,8982,175,705,20167,2778,88,6707,2152,426,4743,4820,5999,2349,217,505,6545,1238,4416,1628,5998,3091,167,9629,4248,1119,12340,66
2020,3,8982,176,705,20299,2783,88,6762,2140,424,4772,4962,6025,2354,218,506,6595,1237,4465,1638,6013,3123,169,9637,4278,1125,12369,62
2020,4,9078,184,716,20432,2771,89,6830,2138,417,4808,5243,6045,2372,221,513,6588,1234,4516,1645,6043,3159,173,9639,4303,1141,12418,62
2020,5,9096,185,724,20474,2776,90,6871,2145,405,4933,5294,6081,2476,215,504,6604,1223,4491,1660,6034,3191,177,9626,4359,1155,12453,106
2020,6,9070,179,705,20424,2774,87,6899,2147,396,5350,5219,6074,2466,229,494,6558,1224,4485,1693,5941,3207,180,9650,4426,1146,12400,116
2020,7,9042,174,712,20411,2767,87,6932,2165,395,5430,5170,6021,2448,225,505,6556,1218,4478,1684,5942,3217,185,9666,4432,1163,12391,117
2020,8,9046,167,712,20420,2778,85,6931,2161,389,5374,5167,6003,2440,227,511,6606,1219,4480,1665,5925,3234,186,9660,4430,1174,12436,117
2020,9,9079,172,737,20416,2776,87,6906,2164,393,4991,5138,5997,2417,226,525,6634,1220,4457,1630,5998,3251,182,9651,4418,1180,12501,101
2020,10,9077,172,727,20272,2787,85,6810,2173,397,4881,5005,5976,2372,229,525,6634,1228,4459,1602,6036,3275,183,9672,4359,1195,12487,66
2020,11,9058,174,715,20169,2804,85,6753,2176,397,4826,4846,5952,2374,217,515,6593,1234,4465,1595,6017,3252,183,9658,4351,1186,12422,61
