year,month,total,esel,hfische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,n_total,n_esel,n_hfische_rasse,n_iberer,n_kaltblut,n_maultier_maulesel,n_ponysund_kleinpferde,n_vollblut,n_warmblut
2016,1,0.4128,0.3352,0.5291,0.6184,0.1993,0.3184,0.4722,0.582,0.4575,43994,3144,600,2024,4004,149,14634,2725,16713
2016,2,0.4136,0.3361,0.5356,0.6193,0.1992,0.3116,0.4734,0.5844,0.4587,44201,3157,609,2037,4032,148,14698,2734,16785
2016,3,0.4118,0.3372,0.5358,0.6181,0.1945,0.309,0.4739,0.5846,0.4584,44433,3192,613,2046,4049,148,14779,2739,16866
2016,4,0.4095,0.3363,0.5388,0.6177,0.1894,0.309,0.4723,0.5859,0.4589,44739,3211,618,2071,4075,148,14852,2762,17001
2016,5,0.4083,0.3335,0.5401,0.6158,0.1895,0.3058,0.4711,0.587,0.4578,44988,3213,620,2090,4126,148,14934,2776,17080
2016,6,0.4091,0.3323,0.5407,0.6162,0.1903,0.3066,0.4719,0.5883,0.4586,45215,3228,625,2092,4138,149,15024,2789,17169
2016,7,0.4096,0.3302,0.5415,0.6174,0.1909,0.3067,0.4723,0.5886,0.4597,45254,3227,627,2096,4140,150,15049,2784,17180
2016,8,0.4108,0.3295,0.5412,0.6186,0.1922,0.3083,0.4728,0.5887,0.4621,45313,3244,624,2099,4154,152,15054,2778,17207
2016,9,0.4117,0.3285,0.5436,0.6205,0.1935,0.3077,0.4739,0.5892,0.4633,45263,3246,624,2099,4159,152,15058,2761,17163
2016,10,0.4144,0.3276,0.5408,0.6228,0.1974,0.3086,0.4753,0.5907,0.4648,45467,3245,623,2125,4153,154,15147,2762,17257
2016,11,0.4194,0.3304,0.546,0.6268,0.2026,0.305,0.479,0.5947,0.4692,45673,3271,629,2136,4162,154,15213,2778,17329
2016,12,0.4229,0.3332,0.5475,0.6266,0.206,0.305,0.4822,0.6003,0.4729,45914,3313,634,2123,4194,154,15316,2787,17392
2017,1,0.4262,0.337,0.5517,0.6293,0.2081,0.3083,0.4841,0.6019,0.477,46467,3368,640,2168,4230,156,15454,2805,17645
2017,2,0.4273,0.3393,0.5525,0.6319,0.2076,0.3039,0.4855,0.6025,0.4792,46738,3401,642,2185,4249,155,15534,2809,17762
2017,3,0.4261,0.3403,0.5551,0.6367,0.2029,0.302,0.4861,0.605,0.4794,47013,3437,645,2212,4266,154,15622,2829,17847
2017,4,0.4236,0.3397,0.5553,0.6383,0.1975,0.301,0.4856,0.6059,0.4785,47319,3459,648,2243,4287,155,15727,2841,17958
2017,5,0.423,0.3373,0.5566,0.6369,0.1969,0.2983,0.4853,0.6059,0.4787,47606,3468,654,2257,4315,156,15830,2855,18070
2017,6,0.4231,0.3354,0.5554,0.6382,0.1976,0.2966,0.4848,0.606,0.4789,47773,3466,657,2279,4329,156,15876,2864,18145
2017,7,0.4244,0.3352,0.5559,0.6366,0.1985,0.2979,0.4864,0.609,0.4804,47879,3474,656,2274,4335,157,15921,2884,18177
2017,8,0.4254,0.3353,0.5575,0.6373,0.199,0.2962,0.4879,0.6104,0.4816,47877,3479,654,2275,4334,157,15932,2881,18164
