year,month,breedtype,age1year,age1year,tot
2016,1,Esel,,13.0,13.0
2016,1,Hofische Rasse,,,
2016,1,Iberer,,,
2016,1,Kaltblut,,17.0,17.0
2016,1,Maultier-Maulesel,,,
2016,1,Ponys und Kleinpferde,,41.0,41.0
2016,1,Vollblut,,,
2016,1,Warmblut,,44.0,44.0
2016,1,Wildequiden,,,
2016,2,Esel,,17.0,17.0
2016,2,Hofische Rasse,,,
2016,2,Iberer,,,
2016,2,Kaltblut,11.0,15.0,26.0
2016,2,Maultier-Maulesel,,,
2016,2,Ponys und Kleinpferde,,19.0,19.0
2016,2,Vollblut,,7.0,7.0
2016,2,Warmblut,,23.0,23.0
2016,2,Wildequiden,,,
2016,3,Esel,,17.0,17.0
2016,3,Hofische Rasse,,,
2016,3,Iberer,,,
2016,3,Kaltblut,14.0,9.0,23.0
2016,3,Maultier-Maulesel,,,
2016,3,Ponys und Kleinpferde,,25.0,25.0
2016,3,Vollblut,,,
2016,3,Warmblut,,24.0,24.0
2016,3,Wildequiden,,,
2016,4,Esel,,18.0,18.0
2016,4,Hofische Rasse,,,
2016,4,Iberer,,,
2016,4,Kaltblut,7.0,18.0,25.0
2016,4,Maultier-Maulesel,,,
2016,4,Ponys und Kleinpferde,,28.0,28.0
2016,4,Vollblut,,,
2016,4,Warmblut,,25.0,25.0
2016,4,Wildequiden,,,
2016,5,Esel,,24.0,24.0
2016,5,Hofische Rasse,,,
2016,5,Iberer,,,
2016,5,Kaltblut,13.0,16.0,29.0
2016,5,Maultier-Maulesel,,,
2016,5,Ponys und Kleinpferde,,36.0,36.0
2016,5,Vollblut,,8.0,8.0
2016,5,Warmblut,,22.0,22.0
2016,5,Wildequiden,,,
2016,6,Esel,,18.0,18.0
2016,6,Hofische Rasse,,,
2016,6,Iberer,,,
2016,6,Kaltblut,11.0,13.0,24.0
2016,6,Maultier-Maulesel,,,
2016,6,Ponys und Kleinpferde,,25.0,25.0
2016,6,Vollblut,,,
2016,6,Warmblut,,32.0,32.0
2016,6,Wildequiden,,,
2016,7,Esel,,14.0,14.0
2016,7,Hofische Rasse,,,
2016,7,Iberer,,,
2016,7,Kaltblut,,9.0,9.0
2016,7,Maultier-Maulesel,,,
2016,7,Ponys und Kleinpferde,,20.0,20.0
2016,7,Vollblut,,6.0,6.0
2016,7,Warmblut,,27.0,27.0
2016,7,Wildequiden,,,
2016,8,Esel,,11.0,11.0
2016,8,Hofische Rasse,,,
2016,8,Iberer,,,
2016,8,Kaltblut,,12.0,12.0
2016,8,Maultier-Maulesel,,,
2016,8,Ponys und Kleinpferde,,32.0,32.0
2016,8,Vollblut,,,
2016,8,Warmblut,,36.0,36.0
2016,8,Wildequiden,,,
2016,9,Esel,,14.0,14.0
2016,9,Hofische Rasse,,,
2016,9,Iberer,,,
2016,9,Kaltblut,,11.0,11.0
2016,9,Maultier-Maulesel,,,
2016,9,Ponys und Kleinpferde,,25.0,25.0
2016,9,Vollblut,,6.0,6.0
2016,9,Warmblut,,30.0,30.0
2016,9,Wildequiden,,,
2016,10,Esel,,13.0,13.0
2016,10,Hofische Rasse,,,
2016,10,Iberer,,,
2016,10,Kaltblut,,11.0,11.0
2016,10,Maultier-Maulesel,,,
2016,10,Ponys und Kleinpferde,,29.0,29.0
2016,10,Vollblut,,,
2016,10,Warmblut,,49.0,49.0
2016,10,Wildequiden,,,
2016,11,Esel,,20.0,20.0
2016,11,Hofische Rasse,,,
2016,11,Iberer,,,
2016,11,Kaltblut,10.0,12.0,22.0
2016,11,Maultier-Maulesel,,,
2016,11,Ponys und Kleinpferde,,30.0,30.0
2016,11,Vollblut,,7.0,7.0
2016,11,Warmblut,,38.0,38.0
2016,11,Wildequiden,,,
2016,12,Esel,,34.0,34.0
2016,12,Hofische Rasse,,,
2016,12,Iberer,,6.0,6.0
2016,12,Kaltblut,6.0,32.0,38.0
2016,12,Maultier-Maulesel,,,
2016,12,Ponys und Kleinpferde,,53.0,53.0
2016,12,Vollblut,,,
2016,12,Warmblut,,65.0,65.0
2016,12,Wildequiden,,,
2017,1,Esel,,33.0,33.0
2017,1,Hofische Rasse,,,
2017,1,Iberer,,,
2017,1,Kaltblut,6.0,34.0,40.0
2017,1,Maultier-Maulesel,,,
2017,1,Ponys und Kleinpferde,,47.0,47.0
2017,1,Vollblut,,10.0,10.0
2017,1,Warmblut,,59.0,59.0
2017,1,Wildequiden,,,
2017,2,Esel,,21.0,21.0
2017,2,Hofische Rasse,,,
2017,2,Iberer,,6.0,6.0
2017,2,Kaltblut,,16.0,16.0
2017,2,Maultier-Maulesel,,,
2017,2,Ponys und Kleinpferde,,34.0,34.0
2017,2,Vollblut,,,
2017,2,Warmblut,,31.0,31.0
2017,2,Wildequiden,,,
2017,3,Esel,,26.0,26.0
2017,3,Hofische Rasse,,,
2017,3,Iberer,,,
2017,3,Kaltblut,11.0,23.0,34.0
2017,3,Maultier-Maulesel,,,
2017,3,Ponys und Kleinpferde,,20.0,20.0
2017,3,Vollblut,,9.0,9.0
2017,3,Warmblut,,33.0,33.0
2017,3,Wildequiden,,,
2017,4,Esel,,13.0,13.0
2017,4,Hofische Rasse,,,
2017,4,Iberer,,,
2017,4,Kaltblut,22.0,16.0,38.0
2017,4,Maultier-Maulesel,,,
2017,4,Ponys und Kleinpferde,,23.0,23.0
2017,4,Vollblut,,,
2017,4,Warmblut,,26.0,26.0
2017,4,Wildequiden,,,
2017,5,Esel,,23.0,23.0
2017,5,Hofische Rasse,,,
2017,5,Iberer,,,
2017,5,Kaltblut,12.0,20.0,32.0
2017,5,Maultier-Maulesel,,,
2017,5,Ponys und Kleinpferde,,22.0,22.0
2017,5,Vollblut,,,
2017,5,Warmblut,,24.0,24.0
2017,5,Wildequiden,,,
2017,6,Esel,,10.0,10.0
2017,6,Hofische Rasse,,,
2017,6,Iberer,,,
2017,6,Kaltblut,9.0,11.0,20.0
2017,6,Maultier-Maulesel,,,
2017,6,Ponys und Kleinpferde,,22.0,22.0
2017,6,Vollblut,,,
2017,6,Warmblut,,25.0,25.0
2017,6,Wildequiden,,,
2017,7,Esel,,10.0,10.0
2017,7,Hofische Rasse,,,
2017,7,Iberer,,,
2017,7,Kaltblut,,10.0,10.0
2017,7,Maultier-Maulesel,,,
2017,7,Ponys und Kleinpferde,,34.0,34.0
2017,7,Vollblut,,,
2017,7,Warmblut,,38.0,38.0
2017,7,Wildequiden,,,
2017,8,Esel,,14.0,14.0
2017,8,Hofische Rasse,,,
2017,8,Iberer,,,
2017,8,Kaltblut,,9.0,9.0
2017,8,Maultier-Maulesel,,,
2017,8,Ponys und Kleinpferde,,22.0,22.0
2017,8,Vollblut,,7.0,7.0
2017,8,Warmblut,,26.0,26.0
2017,8,Wildequiden,,,
2017,9,Esel,,12.0,12.0
2017,9,Hofische Rasse,,,
2017,9,Iberer,,,
2017,9,Kaltblut,7.0,21.0,28.0
2017,9,Maultier-Maulesel,,,
2017,9,Ponys und Kleinpferde,,19.0,19.0
2017,9,Vollblut,,,
2017,9,Warmblut,,15.0,15.0
2017,9,Wildequiden,,,
2017,10,Esel,,16.0,16.0
2017,10,Hofische Rasse,,,
2017,10,Iberer,,,
2017,10,Kaltblut,,,
2017,10,Maultier-Maulesel,,,
2017,10,Ponys und Kleinpferde,,26.0,26.0
2017,10,Vollblut,,,
2017,10,Warmblut,,33.0,33.0
2017,10,Wildequiden,,,
2017,11,Esel,7.0,16.0,23.0
2017,11,Hofische Rasse,,,
2017,11,Iberer,,,
2017,11,Kaltblut,,14.0,14.0
2017,11,Maultier-Maulesel,,,
2017,11,Ponys und Kleinpferde,,15.0,15.0
2017,11,Vollblut,,,
2017,11,Warmblut,,30.0,30.0
2017,11,Wildequiden,,,
2017,12,Esel,,19.0,19.0
2017,12,Hofische Rasse,,,
2017,12,Iberer,,,
2017,12,Kaltblut,,11.0,11.0
2017,12,Maultier-Maulesel,,,
2017,12,Ponys und Kleinpferde,,33.0,33.0
2017,12,Vollblut,,,
2017,12,Warmblut,,42.0,42.0
2017,12,Wildequiden,,,
2018,1,Esel,,39.0,39.0
2018,1,Hofische Rasse,,,
2018,1,Iberer,,,
2018,1,Kaltblut,,25.0,25.0
2018,1,Maultier-Maulesel,,,
2018,1,Ponys und Kleinpferde,,44.0,44.0
2018,1,Vollblut,,7.0,7.0
2018,1,Warmblut,,42.0,42.0
2018,1,Wildequiden,,,
2018,2,Esel,,21.0,21.0
2018,2,Hofische Rasse,,,
2018,2,Iberer,,,
2018,2,Kaltblut,7.0,17.0,24.0
2018,2,Maultier-Maulesel,,,
2018,2,Ponys und Kleinpferde,,34.0,34.0
2018,2,Vollblut,,7.0,7.0
2018,2,Warmblut,,26.0,26.0
2018,2,Wildequiden,,,
2018,3,Esel,,29.0,29.0
2018,3,Hofische Rasse,,,
2018,3,Iberer,,,
2018,3,Kaltblut,16.0,14.0,30.0
2018,3,Maultier-Maulesel,,,
2018,3,Ponys und Kleinpferde,,35.0,35.0
2018,3,Vollblut,,7.0,7.0
2018,3,Warmblut,,26.0,26.0
2018,3,Wildequiden,,,
2018,4,Esel,,18.0,18.0
2018,4,Hofische Rasse,,,
2018,4,Iberer,,,
2018,4,Kaltblut,18.0,10.0,28.0
2018,4,Maultier-Maulesel,,,
2018,4,Ponys und Kleinpferde,,31.0,31.0
2018,4,Vollblut,,,
2018,4,Warmblut,,21.0,21.0
2018,4,Wildequiden,,,
2018,5,Esel,,24.0,24.0
2018,5,Hofische Rasse,,,
2018,5,Iberer,,,
2018,5,Kaltblut,10.0,6.0,16.0
2018,5,Maultier-Maulesel,,,
2018,5,Ponys und Kleinpferde,,29.0,29.0
2018,5,Vollblut,,,
2018,5,Warmblut,,25.0,25.0
2018,5,Wildequiden,,,
2018,6,Esel,,13.0,13.0
2018,6,Hofische Rasse,,,
2018,6,Iberer,,,
2018,6,Kaltblut,14.0,18.0,32.0
2018,6,Maultier-Maulesel,,,
2018,6,Ponys und Kleinpferde,,22.0,22.0
2018,6,Vollblut,,,
2018,6,Warmblut,,31.0,31.0
2018,6,Wildequiden,,,
2018,7,Esel,,12.0,12.0
2018,7,Hofische Rasse,,,
2018,7,Iberer,,,
2018,7,Kaltblut,6.0,10.0,16.0
2018,7,Maultier-Maulesel,,,
2018,7,Ponys und Kleinpferde,,23.0,23.0
2018,7,Vollblut,,7.0,7.0
2018,7,Warmblut,,28.0,28.0
2018,7,Wildequiden,,,
2018,8,Esel,,19.0,19.0
2018,8,Hofische Rasse,,,
2018,8,Iberer,,,
2018,8,Kaltblut,,13.0,13.0
2018,8,Maultier-Maulesel,,,
2018,8,Ponys und Kleinpferde,,23.0,23.0
2018,8,Vollblut,,,
2018,8,Warmblut,,21.0,21.0
2018,8,Wildequiden,,,
2018,9,Esel,,13.0,13.0
2018,9,Hofische Rasse,,,
2018,9,Iberer,,,
2018,9,Kaltblut,,13.0,13.0
2018,9,Maultier-Maulesel,,,
2018,9,Ponys und Kleinpferde,,23.0,23.0
2018,9,Vollblut,,,
2018,9,Warmblut,,30.0,30.0
2018,9,Wildequiden,,,
2018,10,Esel,,14.0,14.0
2018,10,Hofische Rasse,,,
2018,10,Iberer,,,
2018,10,Kaltblut,14.0,14.0,28.0
2018,10,Maultier-Maulesel,,,
2018,10,Ponys und Kleinpferde,,27.0,27.0
2018,10,Vollblut,,,
2018,10,Warmblut,,31.0,31.0
2018,10,Wildequiden,,,
2018,11,Esel,,,
2018,11,Hofische Rasse,,,
2018,11,Iberer,,,
2018,11,Kaltblut,,17.0,17.0
2018,11,Maultier-Maulesel,,,
2018,11,Ponys und Kleinpferde,,40.0,40.0
2018,11,Vollblut,,,
2018,11,Warmblut,,31.0,31.0
2018,11,Wildequiden,,,
2018,12,Esel,,26.0,26.0
2018,12,Hofische Rasse,,,
2018,12,Iberer,,,
2018,12,Kaltblut,10.0,18.0,28.0
2018,12,Maultier-Maulesel,,,
2018,12,Ponys und Kleinpferde,,33.0,33.0
2018,12,Vollblut,,,
2018,12,Warmblut,,45.0,45.0
2018,12,Wildequiden,,,
2019,1,Esel,,30.0,30.0
2019,1,Hofische Rasse,,,
2019,1,Iberer,,,
2019,1,Kaltblut,,16.0,16.0
2019,1,Maultier-Maulesel,,,
2019,1,Ponys und Kleinpferde,,40.0,40.0
2019,1,Vollblut,,,
2019,1,Warmblut,,21.0,21.0
2019,1,Wildequiden,,,
2019,2,Esel,,31.0,31.0
2019,2,Hofische Rasse,,,
2019,2,Iberer,,,
2019,2,Kaltblut,8.0,10.0,18.0
2019,2,Maultier-Maulesel,,,
2019,2,Ponys und Kleinpferde,,19.0,19.0
2019,2,Vollblut,,,
2019,2,Warmblut,,22.0,22.0
2019,2,Wildequiden,,,
2019,3,Esel,,13.0,13.0
2019,3,Hofische Rasse,,,
2019,3,Iberer,,,
2019,3,Kaltblut,12.0,23.0,35.0
2019,3,Maultier-Maulesel,,,
2019,3,Ponys und Kleinpferde,,29.0,29.0
2019,3,Vollblut,,6.0,6.0
2019,3,Warmblut,,27.0,27.0
2019,3,Wildequiden,,,
2019,4,Esel,,14.0,14.0
2019,4,Hofische Rasse,,,
2019,4,Iberer,,,
2019,4,Kaltblut,17.0,14.0,31.0
2019,4,Maultier-Maulesel,,,
2019,4,Ponys und Kleinpferde,,20.0,20.0
2019,4,Vollblut,,6.0,6.0
2019,4,Warmblut,,24.0,24.0
2019,4,Wildequiden,,,
2019,5,Esel,,21.0,21.0
2019,5,Hofische Rasse,,,
2019,5,Iberer,,,
2019,5,Kaltblut,8.0,15.0,23.0
2019,5,Maultier-Maulesel,,,
2019,5,Ponys und Kleinpferde,,31.0,31.0
2019,5,Vollblut,,,
2019,5,Warmblut,,29.0,29.0
2019,5,Wildequiden,,,
2019,6,Esel,,6.0,6.0
2019,6,Hofische Rasse,,,
2019,6,Iberer,,,
2019,6,Kaltblut,,9.0,9.0
2019,6,Maultier-Maulesel,,,
2019,6,Ponys und Kleinpferde,,31.0,31.0
2019,6,Vollblut,,6.0,6.0
2019,6,Warmblut,,18.0,18.0
2019,6,Wildequiden,,,
2019,7,Esel,,12.0,12.0
2019,7,Hofische Rasse,,,
2019,7,Iberer,,,
2019,7,Kaltblut,6.0,7.0,13.0
2019,7,Maultier-Maulesel,,,
2019,7,Ponys und Kleinpferde,,22.0,22.0
2019,7,Vollblut,,,
2019,7,Warmblut,,24.0,24.0
2019,7,Wildequiden,,,
2019,8,Esel,,13.0,13.0
2019,8,Hofische Rasse,,,
2019,8,Iberer,,,
2019,8,Kaltblut,,11.0,11.0
2019,8,Maultier-Maulesel,,,
2019,8,Ponys und Kleinpferde,,38.0,38.0
2019,8,Vollblut,,,
2019,8,Warmblut,,31.0,31.0
2019,8,Wildequiden,,,
2019,9,Esel,,18.0,18.0
2019,9,Hofische Rasse,,,
2019,9,Iberer,,,
2019,9,Kaltblut,,14.0,14.0
2019,9,Maultier-Maulesel,,,
2019,9,Ponys und Kleinpferde,,23.0,23.0
2019,9,Vollblut,,,
2019,9,Warmblut,,23.0,23.0
2019,9,Wildequiden,,,
2019,10,Esel,,17.0,17.0
2019,10,Hofische Rasse,,,
2019,10,Iberer,,,
2019,10,Kaltblut,,11.0,11.0
2019,10,Maultier-Maulesel,,,
2019,10,Ponys und Kleinpferde,,23.0,23.0
2019,10,Vollblut,,,
2019,10,Warmblut,,32.0,32.0
2019,10,Wildequiden,,,
2019,11,Esel,6.0,17.0,23.0
2019,11,Hofische Rasse,,,
2019,11,Iberer,,,
2019,11,Kaltblut,,7.0,7.0
2019,11,Maultier-Maulesel,,,
2019,11,Ponys und Kleinpferde,,30.0,30.0
2019,11,Vollblut,,7.0,7.0
2019,11,Warmblut,,37.0,37.0
2019,11,Wildequiden,,,
2019,12,Esel,,28.0,28.0
2019,12,Hofische Rasse,,,
2019,12,Iberer,,,
2019,12,Kaltblut,6.0,16.0,22.0
2019,12,Maultier-Maulesel,,,
2019,12,Ponys und Kleinpferde,,32.0,32.0
2019,12,Vollblut,,,
2019,12,Warmblut,,30.0,30.0
2019,12,Wildequiden,,,
2020,1,Esel,,24.0,24.0
2020,1,Hofische Rasse,,,
2020,1,Iberer,,,
2020,1,Kaltblut,,10.0,10.0
2020,1,Maultier-Maulesel,,,
2020,1,Ponys und Kleinpferde,,30.0,30.0
2020,1,Vollblut,,,
2020,1,Warmblut,,31.0,31.0
2020,1,Wildequiden,,,
2020,2,Esel,,16.0,16.0
2020,2,Hofische Rasse,,,
2020,2,Iberer,,,
2020,2,Kaltblut,6.0,19.0,25.0
2020,2,Maultier-Maulesel,,,
2020,2,Ponys und Kleinpferde,,34.0,34.0
2020,2,Vollblut,,,
2020,2,Warmblut,,16.0,16.0
2020,2,Wildequiden,,,
2020,3,Esel,,26.0,26.0
2020,3,Hofische Rasse,,,
2020,3,Iberer,,,
2020,3,Kaltblut,20.0,14.0,34.0
2020,3,Maultier-Maulesel,,,
2020,3,Ponys und Kleinpferde,,25.0,25.0
2020,3,Vollblut,,6.0,6.0
2020,3,Warmblut,,29.0,29.0
2020,3,Wildequiden,,,
2020,4,Esel,,26.0,26.0
2020,4,Hofische Rasse,,,
2020,4,Iberer,,,
2020,4,Kaltblut,13.0,10.0,23.0
2020,4,Maultier-Maulesel,,,
2020,4,Ponys und Kleinpferde,,12.0,12.0
2020,4,Vollblut,,,
2020,4,Warmblut,,20.0,20.0
2020,4,Wildequiden,,,
2020,5,Esel,,20.0,20.0
2020,5,Hofische Rasse,,,
2020,5,Iberer,,,
2020,5,Kaltblut,9.0,18.0,27.0
2020,5,Maultier-Maulesel,,,
2020,5,Ponys und Kleinpferde,,15.0,15.0
2020,5,Vollblut,,,
2020,5,Warmblut,,28.0,28.0
2020,5,Wildequiden,,,
2020,6,Esel,,14.0,14.0
2020,6,Hofische Rasse,,,
2020,6,Iberer,,,
2020,6,Kaltblut,,10.0,10.0
2020,6,Maultier-Maulesel,,,
2020,6,Ponys und Kleinpferde,,17.0,17.0
2020,6,Vollblut,,,
2020,6,Warmblut,,20.0,20.0
2020,6,Wildequiden,,,
2020,7,Esel,,19.0,19.0
2020,7,Hofische Rasse,,,
2020,7,Iberer,,,
2020,7,Kaltblut,7.0,14.0,21.0
2020,7,Maultier-Maulesel,,,
2020,7,Ponys und Kleinpferde,,24.0,24.0
2020,7,Vollblut,,,
2020,7,Warmblut,,16.0,16.0
2020,7,Wildequiden,,,
2020,8,Esel,,12.0,12.0
2020,8,Hofische Rasse,,,
2020,8,Iberer,,,
2020,8,Kaltblut,,11.0,11.0
2020,8,Maultier-Maulesel,,,
2020,8,Ponys und Kleinpferde,,20.0,20.0
2020,8,Vollblut,,,
2020,8,Warmblut,,20.0,20.0
2020,8,Wildequiden,,,
2020,9,Esel,,16.0,16.0
2020,9,Hofische Rasse,,,
2020,9,Iberer,,,
2020,9,Kaltblut,,15.0,15.0
2020,9,Maultier-Maulesel,,,
2020,9,Ponys und Kleinpferde,,20.0,20.0
2020,9,Vollblut,,,
2020,9,Warmblut,,22.0,22.0
2020,9,Wildequiden,,,
2020,10,Esel,7.0,16.0,23.0
2020,10,Hofische Rasse,,,
2020,10,Iberer,,,
2020,10,Kaltblut,,15.0,15.0
2020,10,Maultier-Maulesel,,,
2020,10,Ponys und Kleinpferde,,25.0,25.0
2020,10,Vollblut,,,
2020,10,Warmblut,,28.0,28.0
2020,10,Wildequiden,,,
2020,11,Esel,,15.0,15.0
2020,11,Hofische Rasse,,,
2020,11,Iberer,,,
2020,11,Kaltblut,,14.0,14.0
2020,11,Maultier-Maulesel,,,
2020,11,Ponys und Kleinpferde,,35.0,35.0
2020,11,Vollblut,,,
2020,11,Warmblut,,27.0,27.0
2020,11,Wildequiden,,,
2020,12,Esel,6.0,27.0,33.0
2020,12,Hofische Rasse,,,
2020,12,Iberer,,,
2020,12,Kaltblut,,14.0,14.0
2020,12,Maultier-Maulesel,,,
2020,12,Ponys und Kleinpferde,,39.0,39.0
2020,12,Vollblut,,,
2020,12,Warmblut,,24.0,24.0
2020,12,Wildequiden,,,
2021,1,Esel,6.0,30.0,36.0
2021,1,Hofische Rasse,,,
2021,1,Iberer,,,
2021,1,Kaltblut,,16.0,16.0
2021,1,Maultier-Maulesel,,,
2021,1,Ponys und Kleinpferde,,34.0,34.0
2021,1,Vollblut,,,
2021,1,Warmblut,,22.0,22.0
2021,1,Wildequiden,,,
2021,2,Esel,,25.0,25.0
2021,2,Hofische Rasse,,,
2021,2,Iberer,,,
2021,2,Kaltblut,,11.0,11.0
2021,2,Maultier-Maulesel,,,
2021,2,Ponys und Kleinpferde,,30.0,30.0
2021,2,Vollblut,,,
2021,2,Warmblut,,15.0,15.0
2021,2,Wildequiden,,,
2021,3,Esel,,16.0,16.0
2021,3,Hofische Rasse,,,
2021,3,Iberer,,,
2021,3,Kaltblut,15.0,15.0,30.0
2021,3,Maultier-Maulesel,,,
