year,month,esel,hofische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,wildequiden
2016,1,,,,19,0.0,10.0,,42,
2016,2,0.0,0.0,6.0,12,0.0,9.0,,33,
2016,3,0.0,,,10,0.0,6.0,,31,0.0
2016,4,,,0.0,27,0.0,9.0,9.0,33,0.0
2016,5,,,,24,0.0,6.0,,24,0.0
2016,6,0.0,,,16,0.0,10.0,,25,0.0
2016,7,0.0,0.0,,18,0.0,6.0,,20,0.0
2016,8,0.0,,,26,0.0,,,33,0.0
2016,9,0.0,0.0,,26,0.0,7.0,,32,0.0
2016,10,,,0.0,80,0.0,9.0,8.0,48,0.0
2016,11,,0.0,,69,,24.0,0.0,62,0.0
2016,12,,0.0,8.0,61,,12.0,,73,0.0
2017,1,0.0,0.0,,15,,14.0,,43,0.0
2017,2,,0.0,,14,0.0,8.0,,40,0.0
2017,3,0.0,,,9,,25.0,,46,0.0
2017,4,0.0,0.0,,27,0.0,5.0,,53,0.0
2017,5,,0.0,,25,0.0,10.0,,45,0.0
2017,6,0.0,,,26,0.0,17.0,,45,0.0
2017,7,,0.0,,15,0.0,8.0,,28,0.0
2017,8,,0.0,0.0,16,0.0,13.0,,44,0.0
2017,9,,0.0,,40,0.0,9.0,,46,0.0
2017,10,0.0,0.0,,94,0.0,25.0,9.0,58,0.0
2017,11,,0.0,5.0,73,0.0,11.0,,55,0.0
2017,12,,,0.0,61,0.0,5.0,,62,
2018,1,,,0.0,12,0.0,13.0,,45,0.0
2018,2,,,,20,0.0,10.0,,43,
2018,3,0.0,,,20,,6.0,6.0,44,0.0
2018,4,0.0,,,14,,8.0,5.0,30,0.0
2018,5,,0.0,0.0,24,0.0,15.0,,54,0.0
2018,6,,,,17,0.0,10.0,6.0,38,0.0
2018,7,0.0,0.0,,16,0.0,15.0,,38,0.0
2018,8,0.0,,,18,0.0,15.0,5.0,49,0.0
2018,9,0.0,,,17,0.0,8.0,,35,0.0
2018,10,,,6.0,100,,48.0,5.0,71,0.0
2018,11,,,10.0,80,0.0,16.0,5.0,62,0.0
2018,12,0.0,,0.0,44,0.0,6.0,8.0,60,0.0
2019,1,,,,25,0.0,10.0,,57,0.0
2019,2,0.0,5.0,,11,0.0,12.0,6.0,27,0.0
2019,3,0.0,0.0,,11,0.0,8.0,,41,0.0
2019,4,,0.0,,22,0.0,12.0,5.0,55,0.0
2019,5,,0.0,,18,0.0,18.0,,51,0.0
2019,6,0.0,0.0,,46,,18.0,7.0,38,0.0
2019,7,,0.0,,18,0.0,12.0,,46,0.0
2019,8,0.0,0.0,,23,0.0,7.0,,44,0.0
2019,9,,0.0,,39,0.0,8.0,,40,0.0
2019,10,0.0,0.0,,82,0.0,20.0,5.0,58,0.0
2019,11,,0.0,,79,0.0,14.0,,45,0.0
2019,12,,,7.0,58,0.0,37.0,6.0,102,0.0
2020,1,,,,24,0.0,8.0,,49,0.0
2020,2,0.0,0.0,6.0,15,0.0,9.0,,34,0.0
2020,3,0.0,0.0,,19,0.0,18.0,,53,0.0
2020,4,,0.0,,11,0.0,,,12,0.0
2020,5,0.0,0.0,,18,0.0,12.0,,45,0.0
2020,6,,,,30,0.0,10.0,,39,0.0
2020,7,0.0,0.0,0.0,46,0.0,8.0,,43,0.0
2020,8,0.0,0.0,,24,0.0,13.0,,57,0.0
2020,9,0.0,,0.0,49,0.0,16.0,5.0,49,0.0
2020,10,9.0,,,157,0.0,24.0,,71,0.0
2020,11,,,,90,0.0,17.0,,53,0.0
2020,12,0.0,0.0,0.0,60,,9.0,,39,0.0
2021,1,,0.0,,8,0.0,16.0,,54,0.0
2021,2,0.0,0.0,,33,0.0,,,34,0.0
2021,3,5.0,,,22,0.0,12.0,5.0,28,0.0
2021,4,0.0,0.0,0.0,42,0.0,5.0,,36,0.0
2021,5,,0.0,,44,0.0,5.0,,34,
2021,6,,0.0,,30,,18.0,6.0,42,0.0
2021,7,0.0,0.0,,28,0.0,16.0,,30,0.0
2021,8,,0.0,,33,,31.0,,37,0.0
2021,9,13.0,0.0,,30,,20.0,9.0,52,0.0
2021,10,0.0,,,168,0.0,11.0,,46,0.0
2021,11,,0.0,,136,,21.0,9.0,30,0.0
2021,12,0.0,0.0,,33,0.0,12.0,21.0,36,0.0
2022,1,,0.0,,25,0.0,16.0,,47,0.0
2022,2,,,,24,0.0,8.0,,37,0.0
2022,3,,,9.0,22,0.0,17.0,,34,0.0
2022,4,,0.0,,35,0.0,13.0,,34,0.0
2022,5,,0.0,,28,0.0,6.0,,24,0.0
2022,6,0.0,0.0,,30,0.0,8.0,,42,0.0
2022,7,0.0,0.0,6.0,21,,11.0,0.0,35,0.0
2022,8,0.0,0.0,,25,0.0,20.0,,27,0.0
2022,9,0.0,0.0,,34,0.0,8.0,,57,0.0
2022,10,,,7.0,146,,27.0,9.0,35,0.0
2022,11,0.0,,,92,,9.0,,62,0.0
2022,12,,0.0,,37,0.0,12.0,5.0,43,0.0
2023,1,0.0,0.0,0.0,16,0.0,7.0,,30,0.0
2023,2,,0.0,,15,0.0,12.0,,89,0.0
2023,3,0.0,0.0,7.0,15,0.0,8.0,0.0,35,0.0
2023,4,,0.0,,16,0.0,9.0,,21,0.0
2023,5,5.0,0.0,,30,,10.0,,25,0.0
2023,6,0.0,0.0,,8,0.0,9.0,0.0,18,0.0
2023,7,,0.0,,16,0.0,,,19,0.0
