year,month,ag,ai,ar,be,bl,bs,fl,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,71.0
2016,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,60.0
2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,41.0
2016,4,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,68.0
2016,5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,52.0
2016,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,39.0
2016,7,,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,27.0
2016,8,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,52.0
2016,9,,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,51.0
2016,10,,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,110.0
2016,11,0.0,0.0,0.0,8.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,134.0
2016,12,,5.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,8.0,0.0,0.0,,121.0
2017,1,0.0,0.0,,7.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,5.0,37.0
2017,2,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,8.0,0.0,0.0,7.0,23.0
2017,3,,0.0,7.0,9.0,0.0,0.0,0.0,5.0,,0.0,,,7.0,0.0,0.0,0.0,,0.0,,,,,0.0,8.0,0.0,0.0,9.0,27.0
2017,4,,0.0,0.0,6.0,,0.0,0.0,0.0,,0.0,0.0,14.0,,5.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,10.0,,0.0,,34.0
2017,5,6.0,0.0,0.0,6.0,,,0.0,6.0,,0.0,,,7.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,7.0,31.0
2017,6,,0.0,0.0,11.0,,0.0,0.0,6.0,,0.0,,6.0,,,0.0,0.0,,0.0,,,7.0,,0.0,6.0,0.0,0.0,,33.0
2017,7,5.0,0.0,,5.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,16.0
2017,8,,0.0,0.0,9.0,0.0,,0.0,5.0,0.0,0.0,,8.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,10.0,,,5.0,20.0
2017,9,6.0,0.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,,7.0,,0.0,0.0,0.0,5.0,0.0,5.0,0.0,7.0,,0.0,7.0,,0.0,,27.0
