year,month,male,female
2016,1,42,41
2016,2,38,27
2016,3,29,21
2016,4,42,40
2016,5,22,37
2016,6,29,30
2016,7,29,18
2016,8,33,33
2016,9,32,38
2016,10,73,74
2016,11,78,83
2016,12,93,69
2017,1,46,30
2017,2,31,34
2017,3,48,38
2017,4,42,47
2017,5,52,32
2017,6,49,46
2017,7,24,32
2017,8,45,34
2017,9,54,47
2017,10,96,92
2017,11,69,81
2017,12,63,71
2018,1,42,35
2018,2,43,39
2018,3,38,42
2018,4,41,22
2018,5,51,46
2018,6,41,38
2018,7,40,35
2018,8,50,39
2018,9,34,32
2018,10,121,114
2018,11,85,90
2018,12,70,50
2019,1,53,45
2019,2,32,32
2019,3,26,40
2019,4,48,48
2019,5,53,40
2019,6,59,56
2019,7,41,40
2019,8,42,39
2019,9,49,45
2019,10,72,95
2019,11,79,66
2019,12,116,99
2020,1,49,40
2020,2,40,28
2020,3,54,43
2020,4,14,21
2020,5,37,41
2020,6,49,39
2020,7,44,56
2020,8,50,50
2020,9,61,59
2020,10,127,140
2020,11,89,78
2020,12,65,45
2021,1,39,43
2021,2,40,37
2021,3,39,36
2021,4,46,38
2021,5,45,46
2021,6,64,41
2021,7,39,38
2021,8,48,60
2021,9,67,60
2021,10,115,116
2021,11,119,85
2021,12,46,57
2022,1,58,37
2022,2,38,37
2022,3,45,44
2022,4,50,39
2022,5,32,29
2022,6,50,35
2022,7,46,28
2022,8,45,35
2022,9,60,45
2022,10,119,111
2022,11,79,91
2022,12,60,42
2023,1,30,25
2023,2,47,77
2023,3,37,28
2023,4,27,25
2023,5,50,27
2023,6,18,18
2023,7,26,18
