year,month,total
2016,1,83
2016,2,65
2016,3,50
2016,4,82
2016,5,59
2016,6,59
2016,7,47
2016,8,66
2016,9,70
2016,10,147
2016,11,161
2016,12,162
2017,1,76
2017,2,65
2017,3,86
2017,4,89
2017,5,84
2017,6,95
2017,7,56
2017,8,79
2017,9,101
2017,10,188
2017,11,150
2017,12,134
2018,1,77
2018,2,82
2018,3,80
2018,4,63
2018,5,97
2018,6,79
2018,7,75
2018,8,89
2018,9,66
2018,10,235
2018,11,175
2018,12,120
2019,1,98
2019,2,64
2019,3,66
2019,4,96
2019,5,93
2019,6,115
2019,7,81
2019,8,81
2019,9,94
2019,10,167
2019,11,145
2019,12,215
2020,1,89
2020,2,68
2020,3,97
2020,4,35
2020,5,78
2020,6,88
2020,7,100
2020,8,100
2020,9,120
2020,10,267
2020,11,167
2020,12,110
2021,1,82
2021,2,77
2021,3,75
2021,4,84
2021,5,91
2021,6,105
2021,7,77
2021,8,108
2021,9,127
2021,10,231
2021,11,204
2021,12,103
2022,1,95
2022,2,75
2022,3,89
2022,4,89
2022,5,61
2022,6,85
2022,7,74
2022,8,80
2022,9,105
2022,10,230
2022,11,170
2022,12,102
2023,1,55
2023,2,124
2023,3,65
2023,4,52
2023,5,77
2023,6,36
2023,7,44
