year,month,median_animals_per_holding,n_total_holding,median_top10_percent_animals_per_holding,n_holding_median_top10_percent,median_bottom10_percent_animals_per_holding,n_holding_median_bottom10_percent
2016,1,3.0,19100.0,19.0,1953,1.0,1882
2016,2,3.0,19138.0,20.0,1951,1.0,1887
2016,3,3.0,19182.0,20.0,1985,1.0,1884
2016,4,3.0,19247.0,20.0,2023,1.0,1858
2016,5,3.0,19367.0,20.0,2049,1.0,1892
2016,6,3.0,19422.0,20.0,2069,1.0,1922
2016,7,3.0,19444.0,19.5,2080,1.0,1882
2016,8,3.0,19492.0,19.0,2075,1.0,1898
2016,9,3.0,19550.0,19.0,2063,1.0,1858
2016,10,3.0,19544.0,19.0,2051,1.0,1869
2016,11,3.0,19525.0,19.0,2020,1.0,1844
2016,12,3.0,19591.0,19.0,1992,1.0,1806
2017,1,3.0,19645.0,19.0,2007,1.0,1753
2017,2,3.0,19659.0,19.0,2017,1.0,1719
2017,3,3.0,19713.0,19.0,2053,1.0,1697
2017,4,3.0,19762.0,19.0,2080,1.0,1674
2017,5,3.0,19823.0,20.0,2083,1.0,1681
2017,6,3.0,19860.0,19.0,2116,1.0,1707
2017,7,3.0,19869.0,19.0,2109,1.0,1717
2017,8,3.0,19889.0,19.0,2083,1.0,1718
2017,9,3.0,19912.0,19.0,2045,1.0,1684
2017,10,3.0,19926.0,19.0,2046,1.0,1661
2017,11,3.0,19903.0,20.0,2021,1.0,1638
2017,12,3.0,19883.0,20.0,2002,1.0,1625
2018,1,3.0,19874.0,20.0,2001,1.0,1582
2018,2,3.0,19895.0,20.0,2005,1.0,1560
2018,3,3.0,19932.0,20.0,2036,1.0,1528
2018,4,3.0,19980.0,19.0,2076,1.0,1528
2018,5,3.0,20038.0,20.0,2077,1.0,1538
2018,6,3.0,20054.0,19.0,2117,1.0,1572
2018,7,3.0,20030.0,19.0,2117,1.0,1560
2018,8,3.0,20063.0,19.0,2113,1.0,1546
2018,9,3.0,20090.0,19.0,2098,1.0,1550
2018,10,3.0,20082.0,19.5,2062,1.0,1545
2018,11,3.0,20023.0,19.0,2032,1.0,1514
2018,12,3.0,19995.0,20.0,2002,1.0,1501
2019,1,3.0,19972.0,19.0,2202,1.0,1484
2019,2,3.0,19979.0,20.0,1999,1.0,1459
2019,3,3.0,19974.0,20.0,2022,1.0,1442
2019,4,3.0,19997.0,20.0,2044,1.0,1416
2019,5,3.0,20012.0,20.0,2056,1.0,1429
2019,6,3.0,20020.0,20.0,2071,1.0,1469
2019,7,3.0,19983.0,20.0,2101,1.0,1452
2019,8,3.0,20019.0,20.0,2087,1.0,1433
2019,9,3.0,20068.0,20.0,2060,1.0,1437
2019,10,3.0,20081.0,20.0,2019,1.0,1429
2019,11,3.0,20004.0,18.0,2216,1.0,1386
2019,12,3.0,19943.0,19.0,2178,1.0,1378
2020,1,3.0,19915.0,19.0,2189,1.0,1355
2020,2,3.0,19900.0,19.0,2185,1.0,1319
2020,3,3.0,19926.0,19.0,2212,1.0,1318
2020,4,3.0,19962.0,20.0,2013,1.0,1329
2020,5,3.0,20016.0,20.0,2039,1.0,1353
2020,6,3.0,19982.0,20.0,2079,1.0,1346
2020,7,3.0,19969.0,20.0,2085,1.0,1341
2020,8,3.0,20026.0,20.0,2080,1.0,1339
2020,9,3.0,20064.0,20.0,2032,1.0,1319
2020,10,3.0,20065.0,19.0,2230,1.0,1299
2020,11,3.0,20011.0,18.0,2207,1.0,1288
2020,12,3.0,19946.0,19.0,2195,1.0,1263
2021,1,3.0,19936.0,18.0,2212,1.0,1238
2021,2,3.0,19906.0,18.0,2212,1.0,1223
2021,3,3.0,19904.0,20.0,2009,1.0,1199
2021,4,3.0,19942.0,20.0,2055,1.0,1210
2021,5,3.0,19984.0,20.0,2054,1.0,1224
2021,6,3.0,19955.0,20.0,2071,1.0,1266
2021,7,3.0,19890.0,20.0,2078,1.0,1260
2021,8,3.0,19907.0,20.0,2082,1.0,1256
2021,9,3.0,19954.0,20.0,2033,1.0,1236
2021,10,3.0,19968.0,20.0,2025,1.0,1244
2021,11,3.0,19859.0,20.0,2021,1.0,1222
2021,12,3.0,19820.0,20.0,2010,1.0,1223
2022,1,3.0,19793.0,20.0,2007,1.0,1220
2022,2,3.0,19793.0,20.0,2006,1.0,1200
2022,3,3.0,19802.0,20.0,2025,1.0,1196
2022,4,3.0,19813.0,20.0,2050,1.0,1199
2022,5,3.0,19853.0,20.0,2073,1.0,1217
2022,6,3.0,19806.0,20.0,2113,1.0,1243
2022,7,3.0,19759.0,20.0,2111,1.0,1253
2022,8,3.0,19769.0,20.0,2098,1.0,1255
2022,9,3.0,19785.0,20.0,2083,1.0,1263
2022,10,3.0,19774.0,20.0,2042,1.0,1249
2022,11,3.0,19704.0,20.0,2021,1.0,1249
2022,12,3.0,19661.0,20.0,2003,1.0,1240
2023,1,3.0,19611.0,20.0,1994,1.0,1208
2023,2,3.0,19579.0,20.0,2020,1.0,1205
2023,3,3.0,19564.0,20.0,2048,1.0,1204
2023,4,3.0,19584.0,20.0,2077,1.0,1208
2023,5,3.0,19619.0,20.0,2078,1.0,1224
2023,6,3.0,19587.0,20.0,2103,1.0,1272
2023,7,3.0,19553.0,20.0,2109,1.0,1291
