year,month,n_total_holding,15_equids,611_equids,12_equids
2016,1,19100,14548,2599,1953
2016,2,19138,14582,2605,1951
2016,3,19182,14561,2636,1985
2016,4,19247,14566,2658,2023
2016,5,19367,14623,2695,2049
2016,6,19422,14612,2741,2069
2016,7,19444,14625,2739,2080
2016,8,19492,14674,2743,2075
2016,9,19550,14776,2711,2063
2016,10,19544,14843,2650,2051
2016,11,19525,14876,2629,2020
2016,12,19591,14984,2615,1992
2017,1,19645,15025,2613,2007
2017,2,19659,15017,2625,2017
2017,3,19713,15016,2644,2053
2017,4,19762,14967,2715,2080
2017,5,19823,15017,2723,2083
2017,6,19860,15003,2741,2116
2017,7,19869,15029,2731,2109
2017,8,19889,15043,2763,2083
2017,9,19912,15092,2775,2045
2017,10,19926,15144,2736,2046
2017,11,19903,15194,2688,2021
2017,12,19883,15209,2672,2002
2018,1,19874,15198,2675,2001
2018,2,19895,15216,2674,2005
2018,3,19932,15175,2721,2036
2018,4,19980,15180,2724,2076
2018,5,20038,15210,2751,2077
2018,6,20054,15192,2745,2117
2018,7,20030,15158,2755,2117
2018,8,20063,15190,2760,2113
2018,9,20090,15251,2741,2098
2018,10,20082,15320,2700,2062
2018,11,20023,15300,2691,2032
2018,12,19995,15298,2695,2002
2019,1,19972,15275,2703,1994
2019,2,19979,15298,2682,1999
2019,3,19974,15242,2710,2022
2019,4,19997,15192,2761,2044
2019,5,20012,15173,2783,2056
2019,6,20020,15141,2808,2071
2019,7,19983,15123,2759,2101
2019,8,20019,15170,2762,2087
2019,9,20068,15240,2768,2060
2019,10,20081,15328,2734,2019
2019,11,20004,15301,2711,1992
2019,12,19943,15273,2700,1970
2020,1,19915,15272,2675,1968
2020,2,19900,15249,2681,1970
2020,3,19926,15231,2703,1992
2020,4,19962,15186,2763,2013
2020,5,20016,15197,2780,2039
2020,6,19982,15144,2759,2079
2020,7,19969,15151,2733,2085
2020,8,20026,15216,2730,2080
2020,9,20064,15298,2734,2032
2020,10,20065,15351,2721,1993
2020,11,20011,15338,2696,1977
2020,12,19946,15298,2668,1980
2021,1,19936,15294,2656,1986
2021,2,19906,15262,2666,1978
2021,3,19904,15191,2704,2009
2021,4,19942,15178,2709,2055
2021,5,19984,15205,2725,2054
2021,6,19955,15130,2754,2071
2021,7,19890,15061,2751,2078
2021,8,19907,15083,2742,2082
2021,9,19954,15174,2747,2033
2021,10,19968,15254,2689,2025
2021,11,19859,15157,2681,2021
2021,12,19820,15150,2660,2010
2022,1,19793,15134,2652,2007
2022,2,19793,15137,2650,2006
2022,3,19802,15094,2683,2025
2022,4,19813,15050,2713,2050
2022,5,19853,15043,2737,2073
2022,6,19806,14983,2710,2113
2022,7,19759,14930,2718,2111
2022,8,19769,14941,2730,2098
2022,9,19785,15001,2701,2083
2022,10,19774,15053,2679,2042
2022,11,19704,15024,2659,2021
2022,12,19661,15016,2642,2003
2023,1,19611,14978,2639,1994
2023,2,19579,14949,2610,2020
2023,3,19564,14913,2603,2048
2023,4,19584,14884,2623,2077
2023,5,19619,14892,2649,2078
2023,6,19587,14839,2645,2103
2023,7,19553,14810,2634,2109
