year,month,esel,hofische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,wildequiden
2016,1,10.0,7.0,38.0,50.0,0.0,259,54.0,399,0.0
2016,2,,7.0,21.0,14.0,7.0,78,17.0,174,0.0
2016,3,,,26.0,16.0,,126,22.0,227,0.0
2016,4,9.0,5.0,32.0,40.0,,111,29.0,221,0.0
2016,5,14.0,,37.0,9.0,,113,19.0,189,0.0
2016,6,21.0,10.0,18.0,20.0,,109,21.0,187,0.0
2016,7,,,5.0,12.0,,65,8.0,102,0.0
2016,8,6.0,0.0,5.0,,,33,9.0,76,0.0
2016,9,,,,,,25,10.0,55,0.0
2016,10,6.0,10.0,50.0,54.0,6.0,217,27.0,367,0.0
2016,11,5.0,0.0,,,6.0,30,10.0,79,0.0
2016,12,0.0,0.0,5.0,,0.0,25,,60,0.0
2017,1,16.0,6.0,55.0,54.0,5.0,200,50.0,369,0.0
2017,2,,,21.0,10.0,,111,13.0,185,0.0
2017,3,,6.0,24.0,17.0,0.0,143,25.0,191,0.0
2017,4,13.0,5.0,34.0,41.0,,166,16.0,207,0.0
2017,5,15.0,5.0,31.0,9.0,,129,25.0,207,0.0
2017,6,0.0,6.0,28.0,26.0,,120,26.0,183,0.0
2017,7,,,19.0,,,49,18.0,115,0.0
2017,8,,,,,,22,12.0,57,0.0
2017,9,0.0,,,0.0,0.0,28,10.0,54,0.0
2017,10,28.0,15.0,32.0,37.0,6.0,216,47.0,369,0.0
2017,11,,,0.0,,0.0,13,,48,0.0
2017,12,5.0,0.0,,,0.0,11,,55,0.0
2018,1,,15.0,29.0,36.0,,186,27.0,278,0.0
2018,2,,,13.0,18.0,8.0,80,18.0,178,0.0
2018,3,,6.0,18.0,20.0,6.0,102,23.0,178,0.0
2018,4,10.0,8.0,34.0,11.0,0.0,115,18.0,143,0.0
2018,5,8.0,,35.0,25.0,,121,7.0,156,0.0
2018,6,0.0,5.0,30.0,17.0,,103,27.0,139,0.0
2018,7,7.0,5.0,13.0,12.0,,93,16.0,165,0.0
2018,8,,,9.0,10.0,0.0,66,10.0,159,0.0
2018,9,0.0,,,,0.0,22,,58,
2018,10,5.0,12.0,32.0,53.0,5.0,186,32.0,334,0.0
2018,11,0.0,0.0,5.0,,,42,12.0,91,0.0
2018,12,,,6.0,0.0,0.0,14,5.0,28,0.0
2019,1,,,33.0,15.0,,151,24.0,267,0.0
2019,2,7.0,,22.0,12.0,,80,7.0,153,0.0
2019,3,,6.0,20.0,21.0,,101,20.0,167,0.0
2019,4,5.0,,18.0,22.0,,113,21.0,179,0.0
2019,5,,0.0,19.0,13.0,,84,23.0,159,0.0
2019,6,,5.0,15.0,6.0,0.0,93,19.0,150,0.0
2019,7,,,16.0,7.0,0.0,70,14.0,125,0.0
2019,8,,,14.0,13.0,,91,7.0,154,0.0
2019,9,,,13.0,12.0,0.0,79,12.0,127,0.0
2019,10,8.0,6.0,25.0,19.0,5.0,129,38.0,234,0.0
2019,11,5.0,,13.0,15.0,,64,17.0,158,0.0
2019,12,0.0,0.0,8.0,,0.0,26,,67,0.0
2020,1,6.0,,13.0,7.0,,114,14.0,212,0.0
2020,2,13.0,0.0,13.0,12.0,0.0,96,11.0,134,0.0
2020,3,7.0,,22.0,6.0,,105,24.0,150,0.0
2020,4,,,14.0,13.0,0.0,45,11.0,127,0.0
2020,5,8.0,7.0,20.0,15.0,0.0,104,12.0,123,0.0
2020,6,5.0,8.0,27.0,19.0,,128,19.0,181,0.0
2020,7,,,24.0,19.0,,109,23.0,174,0.0
2020,8,15.0,,23.0,15.0,5.0,123,13.0,208,0.0
2020,9,5.0,,20.0,7.0,0.0,85,7.0,153,0.0
2020,10,14.0,7.0,26.0,27.0,,189,47.0,263,0.0
2020,11,5.0,,9.0,16.0,,81,7.0,117,0.0
2020,12,,,,,0.0,35,5.0,55,0.0
2021,1,7.0,5.0,34.0,15.0,,142,35.0,257,0.0
2021,2,,,16.0,19.0,,100,18.0,133,0.0
2021,3,8.0,,21.0,12.0,0.0,144,13.0,160,0.0
