year,month,,ae,ag,al,aq,ar,as,at,au,ax,az,bb,be,bg,br,bz,ca,cl,co,cz,de,dk,dz,ee,eg,es,et,fi,fr,gb,gf,gr,hr,hu,ie,il,ir,is,it,jo,kp,li,lt,lu,lv,ma,mx,na,ne,ng,nl,no,nz,pl,pt,py,ro,rs,ru,sa,sc,sd,se,sg,si,sk,sz,tn,ua,ug,us,uy,wf
2016,1,0.0,,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,36.0,0.0,,0.0,,0.0,0.0,,322,5.0,0.0,0.0,0.0,28.0,0.0,0.0,163,17.0,0.0,0.0,,,39.0,0.0,0.0,39.0,19.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,,0.0,0.0,0.0,0.0,12.0,0.0,
2016,2,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,0.0,,133,5.0,0.0,0.0,0.0,7.0,0.0,0.0,72,6.0,0.0,0.0,,,10.0,0.0,0.0,,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
2016,3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,167,,0.0,0.0,0.0,16.0,0.0,0.0,65,11.0,0.0,0.0,0.0,5.0,20.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,0.0,0.0
2016,4,,0.0,0.0,0.0,0.0,5.0,0.0,27.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,0.0,0.0,,143,,0.0,0.0,0.0,21.0,0.0,0.0,91,18.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2016,5,,0.0,0.0,0.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,119,,0.0,0.0,0.0,23.0,0.0,0.0,108,,0.0,0.0,0.0,14.0,16.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6.0,0.0,0.0
2016,6,0.0,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,,140,,0.0,0.0,0.0,14.0,0.0,0.0,95,5.0,0.0,0.0,,8.0,20.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,78,0.0,0.0,,0.0,,0.0,0.0,62,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,,49,,0.0,0.0,0.0,6.0,0.0,0.0,38,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,,0.0,0.0,0.0,,0.0,0.0,20,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,10,,0.0,0.0,0.0,0.0,,0.0,17.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,273,8.0,0.0,0.0,0.0,25.0,0.0,0.0,165,11.0,0.0,,0.0,10.0,47.0,0.0,0.0,36.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,,0.0,0.0,0.0,,0.0,0.0,37,,0.0,0.0,0.0,,,0.0,0.0,,5.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2016,12,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,29,,0.0,0.0,0.0,,0.0,0.0,33,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
