year,month,male,female
2016,1,455,362
2016,2,188,134
2016,3,235,191
2016,4,261,187
2016,5,202,183
2016,6,208,180
2016,7,102,96
2016,8,78,58
2016,9,57,40
2016,10,397,340
2016,11,72,63
2016,12,51,43
2017,1,436,319
2017,2,203,147
2017,3,215,193
2017,4,255,228
2017,5,234,189
2017,6,202,189
2017,7,120,87
2017,8,57,46
2017,9,61,36
2017,10,376,374
2017,11,30,39
2017,12,44,33
2018,1,313,264
2018,2,173,147
2018,3,214,140
2018,4,186,153
2018,5,185,174
2018,6,173,151
2018,7,163,149
2018,8,149,110
2018,9,50,39
2018,10,350,309
2018,11,90,63
2018,12,22,34
2019,1,292,208
2019,2,150,135
2019,3,193,149
2019,4,212,151
2019,5,171,132
2019,6,157,134
2019,7,113,125
2019,8,139,145
2019,9,147,100
2019,10,258,206
2019,11,151,125
2019,12,74,34
2020,1,209,161
2020,2,148,131
2020,3,186,135
2020,4,126,87
2020,5,166,123
2020,6,216,175
2020,7,185,176
2020,8,215,188
2020,9,161,120
2020,10,297,277
2020,11,141,98
2020,12,47,55
2021,1,274,222
2021,2,169,122
2021,3,223,139
2021,4,181,152
2021,5,238,162
2021,6,212,147
2021,7,201,159
2021,8,177,173
2021,9,82,41
2021,10,371,277
2021,11,82,68
2021,12,54,25
2022,1,277,235
2022,2,178,141
2022,3,182,156
2022,4,227,138
2022,5,177,134
2022,6,163,145
2022,7,138,99
2022,8,174,161
2022,9,95,68
2022,10,284,209
2022,11,129,109
2022,12,25,25
2023,1,202,183
2023,2,119,91
2023,3,167,118
2023,4,139,109
2023,5,152,106
2023,6,110,79
2023,7,78,58
