year,month,total
2016,1,817
2016,2,322
2016,3,426
2016,4,448
2016,5,385
2016,6,388
2016,7,198
2016,8,136
2016,9,97
2016,10,737
2016,11,135
2016,12,94
2017,1,755
2017,2,350
2017,3,408
2017,4,483
2017,5,423
2017,6,391
2017,7,207
2017,8,103
2017,9,97
2017,10,750
2017,11,69
2017,12,77
2018,1,577
2018,2,320
2018,3,354
2018,4,339
2018,5,359
2018,6,324
2018,7,312
2018,8,259
2018,9,89
2018,10,659
2018,11,153
2018,12,56
2019,1,500
2019,2,285
2019,3,342
2019,4,363
2019,5,303
2019,6,291
2019,7,238
2019,8,284
2019,9,247
2019,10,464
2019,11,276
2019,12,108
2020,1,370
2020,2,279
2020,3,321
2020,4,213
2020,5,289
2020,6,391
2020,7,361
2020,8,403
2020,9,281
2020,10,574
2020,11,239
2020,12,102
2021,1,496
2021,2,291
2021,3,362
2021,4,333
2021,5,400
2021,6,359
2021,7,360
2021,8,350
2021,9,123
2021,10,648
2021,11,150
2021,12,79
2022,1,512
2022,2,319
2022,3,338
2022,4,365
2022,5,311
2022,6,308
2022,7,237
2022,8,335
2022,9,163
2022,10,493
2022,11,238
2022,12,50
2023,1,385
2023,2,210
2023,3,285
2023,4,248
2023,5,258
2023,6,189
2023,7,136
