commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Scuol,199.0,0.5,4.3,"Freiberger  92, Esel Rasse unbekannt  18, Connemara Pony  9, Shetland Pony  9, Noriker  7",
Glarus Süd,138.0,0.3,1.5,"Esel Rasse unbekannt  29, Shetland Pony  23, Freiberger  18, Islandpferd  13, Haflinger  10",
Zernez,37.0,0.1,2.5,"Esel Rasse unbekannt  18, Freiberger  11",
Surses,107.0,0.3,4.5,"Esel Rasse unbekannt  25, Criollo  14, Freiberger  11, Appaloosa  6, Shetland Pony  6",
Val de Bagnes,166.0,0.5,1.6,"Esel Rasse unbekannt  73, Freiberger  33, Shetland Pony  11, Maultier  7, Lusitano  5",
Davos,248.0,0.9,2.3,"Freiberger  53, Islandpferd  36, Esel Rasse unbekannt  20, Shetland Pony  20, Europäisches Sportpferd Deutschland  17",
Bregaglia,59.0,0.2,3.8,Esel Rasse unbekannt  40,
Anniviers,52.0,0.2,1.9,"Esel Rasse unbekannt  29, Freiberger  12",
Zermatt,,,,,
Innertkirchen,42.0,0.2,3.9,"Esel Rasse unbekannt  18, Araber  5",
Klosters,107.0,0.5,2.4,"Freiberger  31, Esel Rasse unbekannt  20, Shetland Pony  6, Araber  5, Islandpferd  5",
Verzasca,17.0,0.1,2.1,Esel Rasse unbekannt  13,
Evolène,42.0,0.2,2.6,Esel Rasse unbekannt  32,
Blenio,54.0,0.3,3.1,"Esel Rasse unbekannt  32, Freiberger  11",
Guttannen,6.0,0.0,2.4,Esel Rasse unbekannt  6,
Val Müstair,127.0,0.6,8.9,"Esel Rasse unbekannt  40, Freiberger  11, Islandpferd  9, Europäisches Sportpferd Schweiz  8, Pura raza española  7",
Poschiavo,191.0,1.0,5.6,"Esel Rasse unbekannt  63, Berber  49, Quarter Horse  17, Haflinger  13, Appaloosa  9",
Bergün Filisur,36.0,0.2,3.9,Esel Rasse unbekannt  11,
Lavizzara,58.0,0.3,11.6,Esel Rasse unbekannt  48,
Vals,33.0,0.2,3.5,"Islandpferd  18, Esel Rasse unbekannt  9",
Fieschertal,27.0,0.2,8.3,"Esel Rasse unbekannt  7, Freiberger  5",
