year,month,ch,fl,abroad
2016,1,0.757,0.802,0.84
2016,2,0.759,0.815,0.846
2016,3,0.756,0.795,0.84
2016,4,0.751,0.788,0.839
2016,5,0.747,0.799,0.838
2016,6,0.748,0.803,0.832
2016,7,0.749,0.808,0.831
2016,8,0.75,0.801,0.83
2016,9,0.752,0.794,0.829
2016,10,0.762,0.796,0.843
2016,11,0.771,0.807,0.857
2016,12,0.776,0.805,0.86
2017,1,0.782,0.803,0.864
2017,2,0.783,0.802,0.865
2017,3,0.78,0.798,0.867
2017,4,0.774,0.802,0.866
2017,5,0.771,0.795,0.865
2017,6,0.771,0.794,0.864
2017,7,0.772,0.796,0.861
2017,8,0.774,0.796,0.861
2017,9,0.777,0.803,0.866
2017,10,0.788,0.807,0.868
2017,11,0.794,0.812,0.866
2017,12,0.8,0.811,0.874
2018,1,0.806,0.826,0.873
2018,2,0.806,0.834,0.874
2018,3,0.803,0.831,0.872
2018,4,0.797,0.832,0.874
2018,5,0.794,0.846,0.871
2018,6,0.793,0.857,0.872
2018,7,0.794,0.856,0.874
2018,8,0.795,0.838,0.877
2018,9,0.797,0.839,0.882
2018,10,0.807,0.837,0.88
2018,11,0.814,0.838,0.883
2018,12,0.819,0.843,0.891
2019,1,0.822,0.844,0.892
2019,2,0.823,0.844,0.892
2019,3,0.82,0.847,0.896
2019,4,0.814,0.845,0.897
2019,5,0.811,0.841,0.899
2019,6,0.81,0.842,0.898
2019,7,0.811,0.83,0.9
2019,8,0.812,0.826,0.902
2019,9,0.816,0.824,0.908
2019,10,0.825,0.82,0.913
2019,11,0.831,0.823,0.917
2019,12,0.834,0.842,0.917
2020,1,0.837,0.843,0.918
2020,2,0.837,0.841,0.922
2020,3,0.833,0.841,0.923
2020,4,0.828,0.835,0.921
2020,5,0.824,0.832,0.923
2020,6,0.824,0.831,0.921
2020,7,0.824,0.832,0.924
2020,8,0.825,0.83,0.923
2020,9,0.831,0.834,0.923
2020,10,0.839,0.846,0.927
2020,11,0.845,0.845,0.926
2020,12,0.847,0.848,0.927
2021,1,0.849,0.849,0.93
2021,2,0.85,0.866,0.928
2021,3,0.846,0.86,0.93
2021,4,0.84,0.854,0.926
2021,5,0.837,0.843,0.927
2021,6,0.838,0.852,0.929
2021,7,0.842,0.854,0.929
2021,8,0.845,0.856,0.929
2021,9,0.852,0.853,0.931
2021,10,0.86,0.868,0.928
2021,11,0.868,0.864,0.931
2021,12,0.871,0.859,0.934
2022,1,0.872,0.857,0.935
2022,2,0.872,0.854,0.933
2022,3,0.868,0.855,0.931
2022,4,0.862,0.838,0.931
2022,5,0.858,0.833,0.929
2022,6,0.856,0.83,0.927
2022,7,0.856,0.829,0.923
2022,8,0.858,0.832,0.921
2022,9,0.862,0.829,0.923
2022,10,0.87,0.838,0.929
2022,11,0.874,0.838,0.93
2022,12,0.878,0.842,0.93
2023,1,0.879,0.851,0.932
2023,2,0.879,0.856,0.932
2023,3,0.875,0.859,0.93
2023,4,0.87,0.85,0.931
2023,5,0.867,0.84,0.93
2023,6,0.867,0.834,0.933
2023,7,0.868,0.832,0.93
