year,month,n_owners,1,2,3,4,5,6,7,8
2016,1,41541,20961,10134,3999,2146,1185,692,481,1942
2016,2,41626,20985,10155,4021,2150,1184,696,471,1963
2016,3,41808,21054,10149,4063,2166,1193,725,450,2007
2016,4,41966,21069,10164,4077,2192,1197,733,468,2065
2016,5,42152,21152,10160,4114,2204,1200,756,470,2095
2016,6,42281,21201,10196,4143,2204,1209,753,475,2099
2016,7,42333,21222,10220,4153,2192,1236,733,489,2087
2016,8,42382,21300,10214,4169,2178,1229,715,486,2090
2016,9,42391,21305,10294,4148,2177,1210,725,477,2054
2016,10,42594,21470,10362,4159,2157,1244,701,473,2027
2016,11,42633,21550,10438,4116,2117,1244,706,468,1993
2016,12,42823,21667,10516,4152,2124,1225,692,464,1982
2017,1,43255,21791,10637,4150,2218,1237,706,487,2028
2017,2,43358,21815,10637,4207,2242,1234,714,455,2053
2017,3,43542,21909,10618,4271,2243,1224,722,479,2075
2017,4,43655,21886,10635,4282,2263,1236,735,487,2130
2017,5,43725,21861,10658,4287,2269,1245,745,492,2167
2017,6,43837,21915,10687,4294,2274,1254,743,499,2170
2017,7,43877,21973,10689,4289,2271,1249,751,487,2167
2017,8,43890,22017,10687,4282,2278,1251,747,480,2147
2017,9,43903,22058,10727,4279,2277,1246,739,475,2101
2017,10,44056,22221,10722,4309,2268,1226,763,486,2060
2017,11,44057,22273,10806,4273,2220,1239,754,481,2010
2017,12,44085,22330,10850,4273,2198,1204,761,479,1989
2018,1,44192,22355,10929,4271,2192,1254,745,456,1989
2018,2,44332,22484,10898,4286,2205,1254,751,465,1988
2018,3,44490,22557,10897,4307,2197,1260,769,491,2011
2018,4,44559,22561,10869,4300,2240,1301,752,472,2063
2018,5,44663,22579,10883,4268,2296,1295,778,470,2093
2018,6,44771,22633,10897,4273,2327,1288,798,467,2087
2018,7,44829,22686,10916,4262,2322,1269,807,487,2079
2018,8,44895,22772,10938,4280,2309,1246,808,481,2060
2018,9,44872,22819,10959,4228,2310,1250,790,481,2034
2018,10,44977,22890,11080,4207,2295,1243,783,472,2006
2018,11,44992,22984,11089,4225,2250,1221,781,475,1966
2018,12,44972,23062,11049,4228,2246,1199,766,487,1934
2019,1,45020,23078,11075,4232,2257,1193,759,480,1945
2019,2,45074,23101,11094,4259,2226,1217,740,499,1937
2019,3,45120,23134,11014,4281,2217,1243,749,517,1964
2019,4,45169,23138,10954,4291,2231,1265,761,490,2038
2019,5,45245,23140,10981,4288,2248,1254,764,506,2063
2019,6,45297,23146,11014,4273,2267,1256,759,521,2060
2019,7,45342,23168,11077,4252,2265,1271,740,516,2052
2019,8,45404,23206,11118,4264,2247,1269,748,518,2033
2019,9,45424,23286,11115,4276,2250,1225,753,515,2003
2019,10,45485,23337,11163,4262,2275,1233,725,522,1967
2019,11,45510,23412,11182,4260,2266,1233,732,484,1940
2019,12,45426,23398,11175,4240,2250,1232,726,484,1920
2020,1,45446,23427,11178,4213,2280,1229,732,477,1909
2020,2,45442,23441,11152,4222,2265,1233,724,468,1936
2020,3,45551,23489,11143,4268,2273,1231,729,458,1959
2020,4,45622,23514,11146,4259,2243,1246,747,464,2002
2020,5,45775,23585,11185,4242,2271,1235,755,481,2020
2020,6,45912,23657,11275,4215,2279,1224,764,478,2019
2020,7,46003,23731,11263,4260,2274,1229,764,473,2008
2020,8,46110,23832,11311,4259,2265,1199,789,481,1973
2020,9,46093,23857,11281,4322,2237,1228,740,477,1950
2020,10,46200,23966,11320,4304,2251,1213,742,466,1937
2020,11,46243,24071,11320,4329,2229,1202,736,452,1903
2020,12,46242,24099,11358,4319,2209,1203,712,438,1903
2021,1,46342,24162,11397,4329,2213,1196,712,450,1882
2021,2,46406,24259,11374,4322,2192,1206,726,448,1878
2021,3,46476,24268,11359,4345,2203,1206,732,451,1911
2021,4,46593,24306,11349,4371,2172,1243,749,453,1949
2021,5,46717,24309,11367,4426,2189,1236,754,468,1967
2021,6,46771,24353,11393,4374,2231,1222,763,470,1964
2021,7,46775,24357,11387,4401,2219,1210,775,468,1957
2021,8,46799,24402,11391,4393,2229,1202,772,470,1939
2021,9,46755,24452,11413,4378,2207,1172,762,476,1894
2021,10,46852,24524,11436,4403,2193,1169,769,463,1894
2021,11,46783,24534,11406,4424,2165,1157,752,475,1869
2021,12,46747,24550,11421,4383,2179,1166,746,466,1835
2022,1,46791,24549,11475,4368,2179,1170,752,472,1825
2022,2,46786,24538,11450,4398,2168,1166,763,469,1833
2022,3,46800,24491,11449,4385,2208,1167,766,470,1863
2022,4,46881,24485,11462,4373,2222,1175,766,489,1908
2022,5,46979,24521,11456,4415,2196,1195,759,486,1950
2022,6,46969,24472,11490,4426,2183,1198,765,471,1963
2022,7,47019,24491,11499,4439,2198,1189,767,471,1964
2022,8,46976,24539,11442,4449,2181,1171,772,479,1942
2022,9,46883,24531,11443,4436,2180,1151,771,467,1903
2022,10,46907,24540,11435,4460,2194,1163,774,460,1880
2022,11,46869,24576,11441,4416,2189,1164,761,465,1856
2022,12,46831,24595,11453,4371,2205,1166,763,447,1830
2023,1,46833,24624,11424,4394,2205,1132,760,463,1830
2023,2,46819,24596,11435,4375,2214,1138,769,450,1841
2023,3,46853,24630,11386,4393,2204,1156,761,452,1871
2023,4,46858,24619,11330,4384,2216,1191,747,467,1904
2023,5,46872,24554,11385,4360,2226,1191,752,465,1939
2023,6,46871,24540,11381,4387,2232,1170,763,472,1926
2023,7,46821,24522,11363,4358,2248,1177,772,466,1915
