year,month,first_registration,import,birth,import_after_export,deaths,euthanasia,ownership_cession_international,slaughter
2016,1,131,817,74,,132,229,83,190
2016,2,190,322,339,0.0,96,195,65,154
2016,3,185,426,964,0.0,92,204,50,153
2016,4,152,448,1293,0.0,106,217,82,117
2016,5,170,385,937,0.0,128,217,59,129
2016,6,128,388,360,,111,195,59,129
2016,7,114,198,175,0.0,89,237,47,103
2016,8,127,136,84,0.0,102,202,66,109
2016,9,130,97,52,,94,206,70,145
2016,10,102,737,46,,119,218,147,508
2016,11,183,135,26,,124,216,161,542
2016,12,426,94,25,,209,202,162,171
2017,1,318,755,109,5.0,200,233,76,148
2017,2,207,350,307,5.0,116,182,65,135
2017,3,212,408,909,,129,221,86,131
2017,4,101,483,1266,,111,224,89,98
2017,5,123,423,841,,108,208,84,113
2017,6,85,391,356,,86,189,95,102
2017,7,93,207,148,6.0,104,240,56,98
2017,8,74,103,60,7.0,87,236,79,98
2017,9,83,97,50,,83,227,101,144
2017,10,84,750,52,14.0,94,243,188,508
2017,11,113,69,35,,91,229,150,425
2017,12,74,77,27,,122,251,134,151
2018,1,116,577,81,14.0,169,257,77,158
2018,2,158,320,373,5.0,126,209,82,114
2018,3,141,354,989,6.0,131,232,80,113
2018,4,89,339,1142,8.0,110,274,63,141
2018,5,103,359,901,,107,244,97,131
2018,6,52,324,345,9.0,112,219,79,100
2018,7,92,312,126,,92,222,75,85
2018,8,66,259,88,5.0,93,243,89,115
2018,9,35,89,65,7.0,97,237,66,121
2018,10,57,659,42,6.0,113,264,235,503
2018,11,80,153,33,,111,255,175,454
2018,12,68,56,19,10.0,147,257,120,178
2019,1,55,500,77,5.0,120,236,98,154
2019,2,104,285,249,5.0,98,258,64,104
2019,3,80,342,788,,114,215,66,152
2019,4,92,363,1131,10.0,104,267,96,125
2019,5,77,303,769,,116,231,93,112
2019,6,46,291,320,7.0,77,192,115,80
2019,7,51,238,124,,82,274,81,90
2019,8,54,284,80,,105,214,81,90
2019,9,36,247,34,9.0,91,247,94,128
2019,10,49,464,40,10.0,103,296,167,454
2019,11,54,276,46,7.0,110,285,145,399
2019,12,49,108,32,8.0,122,276,215,168
2020,1,44,370,85,20.0,104,237,89,166
2020,2,69,279,277,10.0,98,252,68,129
2020,3,54,321,782,11.0,123,262,97,124
2020,4,43,213,1051,8.0,91,286,35,93
2020,5,32,289,744,11.0,102,246,78,83
2020,6,29,391,244,11.0,72,257,88,91
2020,7,25,361,133,7.0,87,246,100,69
2020,8,43,403,79,17.0,74,261,100,89
2020,9,34,281,52,12.0,82,275,120,115
2020,10,18,574,39,17.0,95,297,267,352
2020,11,37,239,44,7.0,105,253,167,319
2020,12,38,102,35,7.0,122,277,110,116
2021,1,34,496,93,7.0,116,289,82,164
2021,2,47,291,268,6.0,98,255,77,94
2021,3,60,362,823,5.0,99,277,75,94
2021,4,39,333,1071,7.0,100,236,84,123
2021,5,33,400,735,9.0,74,240,91,70
2021,6,33,359,261,,91,288,105,82
2021,7,27,360,97,,90,275,77,68
2021,8,39,350,59,9.0,73,245,108,60
2021,9,27,123,44,7.0,66,298,127,76
2021,10,32,648,38,9.0,81,297,231,213
2021,11,21,150,37,,89,285,204,267
2021,12,31,79,25,,109,293,103,117
2022,1,18,512,82,10.0,116,256,95,87
2022,2,21,319,287,15.0,104,235,75,70
2022,3,35,338,822,8.0,92,308,89,75
2022,4,20,365,1044,10.0,84,279,89,58
2022,5,14,311,744,,97,243,61,62
2022,6,22,308,305,5.0,94,245,85,52
2022,7,14,237,113,13.0,83,259,74,51
2022,8,14,335,51,6.0,77,255,80,72
2022,9,8,163,51,5.0,77,277,105,75
2022,10,17,493,26,,93,287,230,246
2022,11,18,238,24,8.0,91,295,170,222
2022,12,24,50,22,5.0,90,305,102,83
2023,1,22,385,81,9.0,70,267,55,116
2023,2,14,210,269,6.0,79,243,124,67
2023,3,26,285,658,8.0,107,245,65,66
2023,4,23,248,918,6.0,84,229,52,51
2023,5,10,258,609,,73,209,77,62
2023,6,16,189,155,11.0,60,227,36,51
2023,7,20,136,40,6.0,48,175,44,45
