year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1516_years_old,1617_years_old,1718_years_old,1819_years_old,1920_years_old,2021_years_old,2122_years_old,2223_years_old,2324_years_old,2425_years_old,2526_years_old,2627_years_old,2728_years_old,2829_years_old,2930_years_old,3031_years_old,3132_years_old,3233_years_old,3334_years_old,3435_years_old,3536_years_old,3637_years_old,3738_years_old,3839_years_old,3940_years_old,4050_years_old
2016,1,Male,1497,1309,1279,1187,1150,756,525,404,358,312,275,267,248,218,181,177,169,164,141,140,118,108,96,89,70,56,40,34,33,15,19,11,7.0,,,,,,0.0,0.0,
2016,2,Male,1529,1334,1255,1171,1139,776,547,403,370,304,279,262,250,221,180,181,169,163,143,140,125,108,91,87,70,57,42,37,32,15,21,10,6.0,5.0,,,,,0.0,0.0,
2016,3,Male,1684,1375,1246,1138,1147,854,589,390,388,315,286,257,257,216,191,178,170,170,152,128,137,96,101,93,68,55,48,36,33,18,21,11,8.0,5.0,,,,,0.0,0.0,
2016,4,Male,1876,1352,1232,1154,1156,974,635,413,387,340,294,269,250,231,189,186,168,178,147,132,139,103,99,95,75,62,48,35,28,28,19,12,10.0,,,,,0.0,,0.0,
2016,5,Male,2004,1294,1234,1147,1166,1095,644,472,401,340,306,265,257,237,201,180,177,173,153,135,135,100,102,103,79,61,51,35,26,30,17,13,12.0,,,,,0.0,,0.0,
2016,6,Male,2036,1264,1213,1181,1152,1153,645,501,403,338,308,274,252,242,199,190,171,170,156,138,136,99,108,98,79,59,52,38,25,30,16,14,11.0,,,,,0.0,,0.0,
2016,7,Male,2064,1251,1217,1177,1140,1173,654,502,407,343,307,271,254,240,202,190,170,169,156,136,133,104,106,96,81,58,49,37,27,29,16,14,10.0,5.0,,,,0.0,,0.0,
2016,8,Male,2062,1232,1213,1163,1139,1167,663,507,403,342,308,276,250,243,205,190,169,166,156,133,133,103,107,96,81,55,50,38,27,29,15,13,10.0,5.0,,,,0.0,,0.0,
2016,9,Male,2047,1218,1198,1156,1144,1149,676,508,397,347,309,278,249,241,206,189,169,165,157,130,135,102,106,95,81,53,48,39,26,27,13,15,10.0,,5.0,0.0,,0.0,,0.0,
2016,10,Male,1817,1223,1185,1155,1135,1145,687,505,405,343,310,279,248,240,205,189,170,163,157,129,134,104,101,96,80,53,49,38,26,26,14,15,10.0,,5.0,0.0,,0.0,,0.0,
2016,11,Male,1555,1198,1176,1147,1126,1128,686,501,404,342,308,279,247,237,203,187,169,161,159,124,137,103,103,94,79,54,49,38,25,24,14,15,10.0,,5.0,0.0,,0.0,,0.0,
2016,12,Male,1452,1180,1161,1131,1112,1089,704,508,399,351,294,272,254,243,204,173,168,158,165,125,135,119,99,93,76,59,51,37,29,25,12,19,8.0,6.0,,,,,,0.0,
2017,1,Male,1462,1148,1133,1123,1102,1087,720,504,406,349,290,276,255,237,210,172,163,161,160,129,137,117,100,91,76,60,51,37,28,24,10,19,8.0,7.0,,,,,,0.0,
2017,2,Male,1489,1132,1128,1104,1075,1081,730,520,401,360,286,276,245,243,215,169,167,162,155,132,134,124,100,85,74,63,51,35,31,22,10,21,7.0,5.0,,,,,,0.0,
2017,3,Male,1626,1131,1138,1089,1036,1087,798,563,385,379,297,283,243,253,207,182,164,159,164,140,124,135,93,92,79,61,51,38,34,20,14,20,10.0,5.0,,,,,,0.0,
2017,4,Male,1886,1171,1108,1069,1036,1077,924,602,409,379,321,287,264,240,224,182,175,157,168,136,127,139,99,91,84,63,57,40,31,22,20,16,12.0,6.0,,,,,0.0,,
2017,5,Male,1981,1152,1072,1045,1017,1086,1043,614,457,393,322,297,265,244,229,195,167,166,164,141,129,137,97,92,90,67,55,43,32,22,20,15,13.0,8.0,,,,,0.0,,
2017,6,Male,2012,1162,1041,1008,1051,1074,1096,627,476,398,320,302,267,240,232,195,173,158,164,147,130,137,97,97,88,67,55,44,33,22,20,14,14.0,8.0,,,,,0.0,,
2017,7,Male,2009,1172,1023,1007,1049,1056,1117,638,475,397,330,301,265,241,227,199,174,160,161,146,127,130,103,97,87,68,54,42,33,23,19,15,14.0,7.0,5.0,,,,0.0,,
2017,8,Male,1993,1162,1020,993,1039,1061,1105,648,481,396,329,299,269,238,227,202,172,158,158,151,125,129,102,96,86,69,52,43,32,22,18,15,14.0,7.0,5.0,,,,0.0,,
2017,9,Male,1960,1146,1006,981,1035,1060,1087,657,482,390,332,302,270,236,227,201,171,159,156,151,121,128,101,97,85,69,52,41,31,20,18,13,17.0,7.0,,,0.0,,0.0,,
2017,10,Male,1697,1133,1009,972,1029,1051,1079,669,479,391,329,302,268,238,225,199,169,159,156,150,120,127,101,96,86,66,52,42,30,20,18,13,17.0,7.0,,,0.0,,0.0,,
2017,11,Male,1497,1123,986,964,1023,1048,1064,669,478,389,331,299,266,240,222,195,167,158,155,149,116,129,101,94,85,66,52,42,29,20,18,13,15.0,7.0,,,0.0,,0.0,,
2017,12,Male,1422,1101,972,953,1016,1035,1032,681,491,386,335,287,258,243,236,190,163,154,155,151,115,126,113,91,83,66,52,43,31,21,17,11,17.0,7.0,5.0,,,,,,
2018,1,Male,1383,1106,952,943,1007,1032,1022,685,490,386,340,281,259,241,228,192,164,151,157,149,119,129,110,91,83,67,54,41,31,21,16,10,17.0,6.0,5.0,,,,,,
2018,2,Male,1452,1104,941,935,997,1015,1025,701,505,384,351,277,264,233,234,196,162,158,153,145,125,128,117,91,78,68,56,43,31,24,16,8,17.0,5.0,,,,,,,
2018,3,Male,1673,1104,946,974,969,975,1025,760,545,375,367,294,270,226,240,191,175,155,146,155,132,118,124,88,87,70,53,43,34,28,16,7,16.0,7.0,,,,,,,
2018,4,Male,1863,1133,956,944,959,955,1029,872,585,391,370,318,275,245,229,208,174,161,144,161,128,119,128,94,83,75,56,52,36,25,16,13,11.0,10.0,5.0,,,,,0.0,
