year,month,ch,fl,abroad
2016,1,106569,476,4118
2016,2,106874,475,4125
2016,3,107897,484,4090
2016,4,109265,496,4048
2016,5,110183,492,4013
2016,6,110533,477,4010
2016,7,110493,475,3977
2016,8,110308,482,3973
2016,9,109933,477,4039
2016,10,109707,470,4125
2016,11,108893,455,4182
2016,12,108561,451,4305
2017,1,109033,452,4240
2017,2,109371,449,4220
2017,3,110336,461,4146
2017,4,111714,469,3983
2017,5,112532,469,3927
2017,6,112906,457,3862
2017,7,112805,452,3823
2017,8,112535,461,3756
2017,9,112064,466,3796
2017,10,111803,461,3799
2017,11,111032,447,3760
2017,12,110471,445,3765
2018,1,110543,448,3740
2018,2,110866,446,3673
2018,3,111796,450,3604
2018,4,112809,452,3472
2018,5,113563,462,3453
2018,6,113764,467,3423
2018,7,113777,471,3399
2018,8,113665,469,3348
2018,9,113216,466,3378
2018,10,112742,460,3415
2018,11,111901,456,3387
2018,12,111290,453,3290
2019,1,111311,443,3247
2019,2,111442,437,3250
2019,3,112090,451,3206
2019,4,113145,458,3103
2019,5,113700,458,3108
2019,6,113856,476,3095
2019,7,113713,471,3102
2019,8,113607,470,3096
2019,9,113229,461,3209
2019,10,112642,460,3264
2019,11,111998,453,3252
2019,12,111310,450,3310
2020,1,111183,445,3327
2020,2,111298,440,3282
2020,3,111907,435,3190
2020,4,112778,437,3072
2020,5,113348,441,3025
2020,6,113539,449,2969
2020,7,113533,452,2968
2020,8,113543,454,2938
2020,9,113247,440,3000
2020,10,112684,442,3068
2020,11,112078,445,3058
2020,12,111611,440,3034
2021,1,111565,443,3007
2021,2,111618,441,3061
2021,3,112296,443,3037
2021,4,113233,445,2972
2021,5,113886,452,2965
2021,6,114002,454,2877
2021,7,113918,458,2872
2021,8,113880,459,2836
2021,9,113362,470,2920
2021,10,113176,461,2941
2021,11,112464,450,2960
2021,12,111961,448,2931
2022,1,111994,448,2937
2022,2,112134,444,2936
2022,3,112775,447,2906
2022,4,113733,456,2873
2022,5,114298,460,2859
2022,6,114409,460,2857
2022,7,114249,467,2869
2022,8,114167,465,2856
2022,9,113670,463,2971
2022,10,113230,469,2980
2022,11,112647,463,3011
2022,12,112139,463,2994
2023,1,112047,462,3027
2023,2,112025,466,2996
2023,3,112513,461,2943
2023,4,113324,466,2830
2023,5,113795,474,2743
2023,6,113753,477,2749
2023,7,113613,477,2722
