year,month,male,male_castrated,female
2016,1,11465,40257,54847
2016,2,11531,40351,54992
2016,3,11870,40536,55491
2016,4,12330,40743,56192
2016,5,12658,40889,56636
2016,6,12764,40975,56794
2016,7,12797,40930,56766
2016,8,12758,40882,56668
2016,9,12697,40775,56461
2016,10,12450,40940,56317
2016,11,12096,40869,55928
2016,12,11922,40897,55742
2017,1,11863,41240,55930
2017,2,11844,41461,56066
2017,3,12112,41667,56557
2017,4,12633,41852,57229
2017,5,12881,42009,57642
2017,6,12980,42106,57820
2017,7,12978,42074,57753
2017,8,12923,41963,57649
2017,9,12821,41865,57378
2017,10,12511,42042,57250
2017,11,12222,41936,56874
2017,12,12067,41843,56561
2018,1,11976,42002,56565
2018,2,12053,42095,56718
2018,3,12402,42262,57132
2018,4,12833,42360,57616
2018,5,13136,42437,57990
2018,6,13232,42439,58093
2018,7,13254,42413,58110
2018,8,13239,42409,58017
2018,9,13170,42269,57777
2018,10,12849,42342,57551
2018,11,12516,42231,57154
2018,12,12373,42068,56849
2019,1,12290,42191,56830
2019,2,12311,42250,56881
2019,3,12571,42327,57192
2019,4,13020,42447,57678
2019,5,13249,42489,57962
2019,6,13346,42483,58027
2019,7,13323,42418,57972
2019,8,13332,42362,57913
2019,9,13273,42272,57684
2019,10,12991,42267,57384
2019,11,12777,42167,57054
2019,12,12625,41966,56719
2020,1,12565,41981,56637
2020,2,12620,41980,56698
2020,3,12853,42051,57003
2020,4,13230,42120,57428
2020,5,13498,42180,57670
2020,6,13552,42215,57772
2020,7,13577,42205,57751
2020,8,13586,42203,57754
2020,9,13517,42125,57605
2020,10,13262,42143,57279
2020,11,13053,42084,56941
2020,12,12957,41946,56708
2021,1,12908,42005,56652
2021,2,12945,41995,56678
2021,3,13248,42075,56973
2021,4,13627,42155,57451
2021,5,13908,42214,57764
2021,6,13959,42237,57806
2021,7,13957,42221,57740
2021,8,13966,42228,57686
2021,9,13914,42060,57388
2021,10,13794,42126,57256
2021,11,13572,41948,56944
2021,12,13478,41826,56657
2022,1,13470,41887,56637
2022,2,13538,41906,56690
2022,3,13818,41947,57010
2022,4,14237,42009,57487
2022,5,14521,42010,57767
2022,6,14618,41977,57814
2022,7,14615,41914,57720
2022,8,14599,41893,57675
2022,9,14561,41731,57378
2022,10,14410,41682,57138
2022,11,14215,41563,56869
2022,12,14104,41383,56652
2023,1,14079,41371,56597
2023,2,14135,41326,56564
2023,3,14403,41321,56789
2023,4,14797,41346,57181
2023,5,15026,41359,57410
2023,6,15062,41317,57374
2023,7,15054,41246,57313
