year,month,greater_than148cm,less_or_equal_than148cm
2016,1,60906,45663
2016,2,61166,45708
2016,3,61997,45900
2016,4,62998,46267
2016,5,63557,46626
2016,6,63708,46825
2016,7,63620,46873
2016,8,63405,46903
2016,9,63095,46838
2016,10,62780,46927
2016,11,62122,46771
2016,12,61829,46732
2017,1,62079,46954
2017,2,62323,47048
2017,3,63075,47261
2017,4,64111,47603
2017,5,64587,47945
2017,6,64785,48121
2017,7,64670,48135
2017,8,64484,48051
2017,9,64079,47985
2017,10,63722,48081
2017,11,63117,47915
2017,12,62739,47732
2018,1,62732,47811
2018,2,63007,47859
2018,3,63808,47988
2018,4,64572,48237
2018,5,65007,48556
2018,6,65074,48690
2018,7,65015,48762
2018,8,64914,48751
2018,9,64576,48640
2018,10,64084,48658
2018,11,63381,48520
2018,12,62919,48371
2019,1,62897,48414
2019,2,63005,48437
2019,3,63591,48499
2019,4,64374,48771
2019,5,64707,48993
2019,6,64760,49096
2019,7,64649,49064
2019,8,64514,49093
2019,9,64231,48998
2019,10,63698,48944
2019,11,63161,48837
2019,12,62695,48615
2020,1,62587,48596
2020,2,62671,48627
2020,3,63184,48723
2020,4,63942,48836
2020,5,64319,49029
2020,6,64402,49137
2020,7,64302,49231
2020,8,64242,49301
2020,9,63999,49248
2020,10,63457,49227
2020,11,62939,49139
2020,12,62578,49033
2021,1,62569,48996
2021,2,62605,49013
2021,3,63159,49137
2021,4,63912,49321
2021,5,64331,49555
2021,6,64363,49639
2021,7,64284,49634
2021,8,64191,49689
2021,9,63798,49564
2021,10,63476,49700
2021,11,62909,49555
2021,12,62572,49389
2022,1,62586,49408
2022,2,62694,49440
2022,3,63265,49510
2022,4,64041,49692
2022,5,64425,49873
2022,6,64396,50013
2022,7,64238,50011
2022,8,64115,50052
2022,9,63739,49931
2022,10,63329,49901
2022,11,62865,49782
2022,12,62545,49594
2023,1,62500,49547
2023,2,62555,49470
2023,3,63060,49453
2023,4,63738,49586
2023,5,64101,49694
2023,6,64044,49709
2023,7,63918,49695
