year,month,age_less_than1y,age_more_than1y
2016,1,24.0,261
2016,2,26.0,254
2016,3,22.0,274
2016,4,18.0,289
2016,5,115.0,892
2016,6,236.0,2594
2016,7,231.0,2991
2016,8,225.0,2870
2016,9,144.0,1630
2016,10,31.0,499
2016,11,9.0,258
2016,12,7.0,203
2017,1,9.0,197
2017,2,7.0,197
2017,3,6.0,198
2017,4,13.0,243
2017,5,393.0,1846
2017,6,539.0,3739
2017,7,537.0,4128
2017,8,530.0,3929
2017,9,405.0,2388
2017,10,74.0,724
2017,11,23.0,287
2017,12,20.0,260
2018,1,15.0,244
2018,2,15.0,237
2018,3,5.0,242
2018,4,16.0,269
2018,5,452.0,2224
2018,6,604.0,4355
2018,7,590.0,4734
2018,8,580.0,4576
2018,9,434.0,2763
2018,10,62.0,608
2018,11,14.0,210
2018,12,12.0,184
2019,1,12.0,172
2019,2,12.0,166
2019,3,11.0,163
2019,4,10.0,168
2019,5,402.0,1970
2019,6,595.0,4470
2019,7,609.0,5075
2019,8,616.0,4938
2019,9,485.0,3129
2019,10,80.0,742
2019,11,13.0,196
2019,12,9.0,171
2020,1,10.0,165
2020,2,10.0,163
2020,3,8.0,167
2020,4,14.0,237
2020,5,410.0,2537
2020,6,537.0,4625
2020,7,533.0,4954
2020,8,519.0,4694
2020,9,389.0,2770
2020,10,54.0,600
2020,11,11.0,202
2020,12,7.0,158
2021,1,7.0,144
2021,2,5.0,142
2021,3,5.0,142
2021,4,13.0,189
2021,5,381.0,1891
2021,6,518.0,4156
2021,7,546.0,4651
2021,8,538.0,4427
2021,9,412.0,2916
2021,10,52.0,633
2021,11,6.0,220
2021,12,6.0,196
2022,1,,186
2022,2,,182
2022,3,5.0,176
2022,4,10.0,214
2022,5,381.0,2379
2022,6,502.0,4242
2022,7,498.0,4677
2022,8,492.0,4363
2022,9,359.0,2605
2022,10,66.0,702
2022,11,8.0,238
2022,12,,208
2023,1,,205
2023,2,,200
2023,3,,204
2023,4,8.0,236
2023,5,337.0,2283
2023,6,444.0,4076
2023,7,445.0,4558
