year,month,ai,ar,be,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,ti,ur,vd,vs,zg,
2016,1,0.0,0.0,99,15,0.0,39,8,0.0,12.0,0.0,0.0,,,15.0,42,0.0,30,19,0.0,0.0
2016,2,0.0,0.0,99,15,0.0,36,8,0.0,11.0,0.0,0.0,,,15.0,43,0.0,28,19,0.0,0.0
2016,3,0.0,0.0,101,13,0.0,52,8,0.0,11.0,0.0,0.0,,,15.0,43,0.0,28,19,0.0,0.0
2016,4,0.0,0.0,105,13,0.0,57,8,0.0,11.0,0.0,0.0,,,15.0,43,0.0,30,18,0.0,0.0
2016,5,0.0,,307,104,13.0,138,68,,44.0,7.0,,,32.0,72.0,86,0.0,85,20,0.0,17.0
2016,6,,6.0,497,266,32.0,1077,74,,116.0,13.0,17.0,59.0,39.0,118.0,104,15.0,164,204,,19.0
2016,7,,6.0,572,278,37.0,1228,74,,123.0,17.0,20.0,66.0,89.0,138.0,129,15.0,165,236,,19.0
2016,8,,7.0,542,279,37.0,1151,74,,122.0,11.0,22.0,63.0,84.0,135.0,125,14.0,164,237,,18.0
2016,9,0.0,,359,173,5.0,580,74,,37.0,6.0,7.0,28.0,44.0,59.0,60,0.0,122,199,,14.0
2016,10,0.0,0.0,109,59,,143,30,0.0,17.0,,5.0,15.0,41.0,15.0,33,0.0,34,20,,0.0
2016,11,0.0,0.0,82,11,,67,10,0.0,8.0,,0.0,13.0,,10.0,26,0.0,13,15,,0.0
2016,12,0.0,0.0,73,11,,36,10,0.0,,,0.0,12.0,,8.0,27,0.0,6,13,,0.0
2017,1,0.0,0.0,71,9,,35,10,0.0,,,0.0,12.0,,7.0,29,0.0,6,13,,0.0
2017,2,0.0,0.0,70,9,,36,10,0.0,,,0.0,12.0,,7.0,29,0.0,6,11,,0.0
2017,3,0.0,0.0,69,11,,35,10,0.0,,,0.0,12.0,,7.0,29,0.0,6,11,,0.0
2017,4,0.0,0.0,77,15,,56,10,0.0,,,0.0,12.0,,11.0,33,0.0,11,13,,
2017,5,0.0,,293,117,12.0,185,1110,,38.0,13.0,5.0,14.0,27.0,72.0,123,0.0,126,26,,74.0
2017,6,,6.0,527,272,34.0,1159,1119,9.0,109.0,22.0,20.0,79.0,69.0,139.0,175,12.0,213,236,,74.0
2017,7,,6.0,614,296,40.0,1341,1120,9.0,116.0,23.0,25.0,95.0,74.0,149.0,161,12.0,224,282,,74.0
