year,month,male,female
2016,1,105,180
2016,2,102,178
2016,3,104,192
2016,4,109,198
2016,5,299,708
2016,6,977,1853
2016,7,1152,2070
2016,8,1104,1991
2016,9,585,1189
2016,10,188,342
2016,11,97,170
2016,12,85,125
2017,1,83,123
2017,2,83,121
2017,3,84,120
2017,4,105,151
2017,5,667,1572
2017,6,1447,2831
2017,7,1634,3031
2017,8,1539,2920
2017,9,909,1884
2017,10,250,548
2017,11,101,209
2017,12,89,191
2018,1,85,174
2018,2,82,170
2018,3,80,167
2018,4,99,186
2018,5,830,1846
2018,6,1679,3280
2018,7,1841,3483
2018,8,1764,3392
2018,9,1052,2145
2018,10,245,425
2018,11,98,126
2018,12,81,115
2019,1,77,107
2019,2,75,103
2019,3,72,102
2019,4,72,106
2019,5,706,1666
2019,6,1685,3380
2019,7,1972,3712
2019,8,1893,3661
2019,9,1151,2463
2019,10,256,566
2019,11,78,131
2019,12,64,116
2020,1,60,115
2020,2,57,116
2020,3,57,118
2020,4,90,161
2020,5,897,2050
2020,6,1785,3377
2020,7,1925,3562
2020,8,1791,3422
2020,9,983,2176
2020,10,203,451
2020,11,70,143
2020,12,57,108
2021,1,50,101
2021,2,48,99
2021,3,48,99
2021,4,73,129
2021,5,675,1597
2021,6,1610,3064
2021,7,1838,3359
2021,8,1720,3245
2021,9,1065,2263
2021,10,209,476
2021,11,86,140
2021,12,77,125
2022,1,74,116
2022,2,72,114
2022,3,70,111
2022,4,91,133
2022,5,903,1857
2022,6,1669,3075
2022,7,1865,3310
2022,8,1732,3123
2022,9,976,1988
2022,10,278,490
2022,11,95,151
2022,12,85,126
2023,1,84,124
2023,2,83,120
2023,3,82,123
2023,4,98,146
2023,5,867,1753
2023,6,1623,2897
2023,7,1842,3161
