year,month,heimtier,nutztier
2016,1,60,225
2016,2,59,221
2016,3,59,237
2016,4,61,246
2016,5,124,883
2016,6,482,2348
2016,7,594,2628
2016,8,559,2536
2016,9,255,1519
2016,10,83,447
2016,11,53,214
2016,12,50,160
2017,1,49,157
2017,2,46,158
2017,3,47,157
2017,4,52,204
2017,5,204,2035
2017,6,558,3720
2017,7,692,3973
2017,8,635,3824
2017,9,317,2476
2017,10,135,663
2017,11,63,247
2017,12,60,220
2018,1,55,204
2018,2,52,200
2018,3,52,195
2018,4,60,225
2018,5,290,2386
2018,6,739,4220
2018,7,867,4457
2018,8,798,4358
2018,9,405,2792
2018,10,116,554
2018,11,60,164
2018,12,48,148
2019,1,46,138
2019,2,44,134
2019,3,44,130
2019,4,45,133
2019,5,256,2116
2019,6,842,4223
2019,7,1016,4668
2019,8,972,4582
2019,9,505,3109
2019,10,149,673
2019,11,60,149
2019,12,47,133
2020,1,44,131
2020,2,42,131
2020,3,42,133
2020,4,52,199
2020,5,407,2540
2020,6,924,4238
2020,7,1053,4434
2020,8,948,4265
2020,9,435,2724
2020,10,112,542
2020,11,59,154
2020,12,49,116
2021,1,42,109
2021,2,42,105
2021,3,42,105
2021,4,49,153
2021,5,290,1982
2021,6,926,3748
2021,7,1106,4091
2021,8,1007,3958
2021,9,600,2728
2021,10,152,533
2021,11,81,145
2021,12,76,126
2022,1,74,116
2022,2,72,114
2022,3,72,109
2022,4,83,141
2022,5,462,2298
2022,6,962,3782
2022,7,1103,4072
2022,8,971,3884
2022,9,501,2463
2022,10,178,590
2022,11,83,163
2022,12,75,136
2023,1,73,135
2023,2,71,132
2023,3,68,137
2023,4,77,167
2023,5,429,2191
2023,6,910,3610
2023,7,1067,3936
