year,month,total
2016,1,285
2016,2,280
2016,3,296
2016,4,307
2016,5,1007
2016,6,2830
2016,7,3222
2016,8,3095
2016,9,1774
2016,10,530
2016,11,267
2016,12,210
2017,1,206
2017,2,204
2017,3,204
2017,4,256
2017,5,2239
2017,6,4278
2017,7,4665
2017,8,4459
2017,9,2793
2017,10,798
2017,11,310
2017,12,280
2018,1,259
2018,2,252
2018,3,247
2018,4,285
2018,5,2676
2018,6,4959
2018,7,5324
2018,8,5156
2018,9,3197
2018,10,670
2018,11,224
2018,12,196
2019,1,184
2019,2,178
2019,3,174
2019,4,178
2019,5,2372
2019,6,5065
2019,7,5684
2019,8,5554
2019,9,3614
2019,10,822
2019,11,209
2019,12,180
2020,1,175
2020,2,173
2020,3,175
2020,4,251
2020,5,2947
2020,6,5162
2020,7,5487
2020,8,5213
2020,9,3159
2020,10,654
2020,11,213
2020,12,165
2021,1,151
2021,2,147
2021,3,147
2021,4,202
2021,5,2272
2021,6,4674
2021,7,5197
2021,8,4965
2021,9,3328
2021,10,685
2021,11,226
2021,12,202
2022,1,190
2022,2,186
2022,3,181
2022,4,224
2022,5,2760
2022,6,4744
2022,7,5175
2022,8,4855
2022,9,2964
2022,10,768
2022,11,246
2022,12,211
2023,1,208
2023,2,203
2023,3,205
2023,4,244
2023,5,2620
2023,6,4520
2023,7,5003
