owner_language,name,rank_language,count_language,rank_overall,count_total
de,Luna,1,284,1,362
it,Luna,1,33,1,362
fr,Luna,2,45,1,362
it,Stella,2,26,2,160
de,Stella,4,105,2,160
fr,Stella,8,29,2,160
de,Fiona,2,113,3,152
it,Fiona,6,13,3,152
fr,Fiona,10,26,3,152
de,Cindy,2,113,4,130
fr,Nina,5,32,5,125
it,Nina,6,13,5,125
fr,Fanny,6,31,6,119
de,Fanny,8,87,6,119
de,Lisa,6,93,7,115
de,Nora,7,90,8,108
de,Lara,10,85,9,105
de,Sina,5,96,10,103
it,Gina,5,14,11,97
de,Ronja,8,87,12,91
fr,Cheyenne,7,30,13,89
it,Lola,8,12,19,77
fr,Nikita,9,28,19,77
fr,Caline,1,58,27,68
it,Viola,3,15,43,54
fr,Princesse,3,40,52,47
fr,Noisette,4,34,62,42
it,Nerina,3,15,104,28
it,Camilla,8,12,104,28
it,Nuvola,8,12,202,18
