owner_language,name,rank_language,count_language,rank_overall,count_total
de,Max,1,105,1,125
fr,Max,9,17,1,125
fr,Lucky,2,24,2,122
de,Lucky,3,93,2,122
it,Lucky,7,5,2,122
de,Charly,2,94,3,105
it,Rocky,2,6,3,105
de,Rocky,4,89,3,105
de,Nino,6,77,5,95
de,Nico,7,76,6,94
it,Nico,7,5,6,94
de,Merlin,8,72,7,88
fr,Merlin,10,16,7,88
de,Moritz,5,82,8,85
it,Leo,2,6,9,70
de,Leo,10,59,9,70
de,Jimmy,10,59,10,68
fr,Filou,10,16,11,66
de,Sämi,9,60,15,61
it,Spirit,2,6,17,59
fr,Hidalgo,6,19,19,57
it,Romeo,7,5,22,53
fr,Zorro,6,19,25,50
fr,Apache,3,23,36,40
fr,Eclair,1,32,40,38
fr,Caramel,4,21,49,35
fr,Tornado,10,16,60,31
fr,Pepito,6,19,66,30
it,Rocco,2,6,92,24
fr,Cadichon,5,20,103,23
it,Silver,7,5,110,22
it,Pippo,1,7,130,19
it,Dakota,7,5,153,17
it,Sole,2,6,311,9
