year,month,total
2020,1,103004
2020,2,118857
2020,3,125339
2020,4,119660
2020,5,115413
2020,6,112338
2020,7,110636
2020,8,109001
2020,9,106972
2020,10,104880
2020,11,102054
2020,12,101642
2021,1,111459
2021,2,125811
2021,3,126082
2021,4,126786
2021,5,122623
2021,6,119175
2021,7,116801
2021,8,114743
2021,9,112589
2021,10,109700
2021,11,105727
2021,12,104470
2022,1,113529
2022,2,128782
2022,3,136787
2022,4,128111
2022,5,123844
2022,6,120099
2022,7,117990
2022,8,115699
2022,9,112618
2022,10,109105
2022,11,105205
2022,12,103752
2023,1,111472
2023,2,125986
2023,3,131804
2023,4,127317
2023,5,120967
2023,6,116360
2023,7,113140
