name,count,rank,year,owner_language
Flöckli,88,1,2020,__all__
Bella,87,2,2020,__all__
Mia,82,3,2020,__all__
Nina,80,4,2020,__all__
Luna,78,5,2020,__all__
Tina,77,6,2020,__all__
Nera,74,7,2020,__all__
Sina,73,8,2020,__all__
Fiona,69,9,2020,__all__
Lisa,66,10,2020,__all__
Luna,107,1,2021,__all__
Bella,94,2,2021,__all__
Sina,81,3,2021,__all__
Flöckli,78,4,2021,__all__
Mia,72,5,2021,__all__
Nora,70,6,2021,__all__
Lisa,70,6,2021,__all__
Susi,67,8,2021,__all__
Nera,67,8,2021,__all__
Nina,66,10,2021,__all__
Luna,99,1,2022,__all__
Bella,90,2,2022,__all__
Sina,87,3,2022,__all__
Mia,79,4,2022,__all__
Lisa,77,5,2022,__all__
Flora,73,6,2022,__all__
Lara,71,7,2022,__all__
Lea,68,8,2022,__all__
Nera,67,9,2022,__all__
Flöckli,67,9,2022,__all__
Bella,99,1,2023,__all__
Nera,85,2,2023,__all__
Fiona,74,3,2023,__all__
Tina,72,4,2023,__all__
Luna,69,5,2023,__all__
Mia,67,6,2023,__all__
Sina,65,7,2023,__all__
Flöckli,62,8,2023,__all__
Lina,60,9,2023,__all__
Heidi,58,10,2023,__all__
Flöckli,83,1,2020,de
Mia,74,2,2020,de
Bella,73,3,2020,de
Luna,72,4,2020,de
Sina,69,5,2020,de
Tina,66,6,2020,de
Nina,65,7,2020,de
Fiona,59,8,2020,de
Lena,59,8,2020,de
Lisa,57,10,2020,de
Luna,99,1,2021,de
Bella,80,2,2021,de
Sina,76,3,2021,de
Flöckli,76,3,2021,de
Mia,66,5,2021,de
Nora,65,6,2021,de
Lisa,65,6,2021,de
Susi,62,8,2021,de
Ronja,59,9,2021,de
Lara,59,9,2021,de
Sina,86,1,2022,de
Luna,84,2,2022,de
Mia,75,3,2022,de
Bella,71,4,2022,de
Lisa,70,5,2022,de
Lara,65,6,2022,de
Flöckli,65,6,2022,de
Flora,63,8,2022,de
Fiona,60,9,2022,de
Susi,60,9,2022,de
Bella,87,1,2023,de
Fiona,68,2,2023,de
Tina,66,3,2023,de
Sina,64,4,2023,de
Mia,64,4,2023,de
Flöckli,61,6,2023,de
Luna,58,7,2023,de
Lina,56,8,2023,de
Lena,52,9,2023,de
Lea,52,9,2023,de
Caline,10,1,2020,fr
Prune,10,1,2020,fr
Fleur,10,1,2020,fr
Stella,9,4,2020,fr
Coquine,9,4,2020,fr
Noisette,8,6,2020,fr
Biscotte,8,6,2020,fr
Nina,8,6,2020,fr
Bella,8,6,2020,fr
Etoile,8,6,2020,fr
Cerise,12,1,2021,fr
Vanille,11,2,2021,fr
Brunette,10,3,2021,fr
Lili,10,3,2021,fr
Mirabelle,10,3,2021,fr
Jonquille,9,6,2021,fr
Julie,9,6,2021,fr
Canelle,9,6,2021,fr
Lila,9,6,2021,fr
Myrtille,9,6,2021,fr
Bella,13,1,2022,fr
Noisette,11,2,2022,fr
Blanchette,11,2,2022,fr
Fleur,9,4,2022,fr
Tina,9,4,2022,fr
Bianca,9,4,2022,fr
Brunette,9,4,2022,fr
Myrtille,8,8,2022,fr
Belle,8,8,2022,fr
Tulipe,8,8,2022,fr
Clochette,10,1,2023,fr
Stella,9,2,2023,fr
Capucine,9,2,2023,fr
Canelle,8,4,2023,fr
Edelweiss,8,4,2023,fr
Cerise,7,6,2023,fr
Pomme,7,6,2023,fr
Coquine,7,6,2023,fr
Lilou,7,6,2023,fr
Tulipe,7,6,2023,fr
Nera,59,1,2020,it
Nazza,12,2,2020,it
Nezza,9,3,2020,it
Frisa,9,3,2020,it
Camosa,6,5,2020,it
Ignazza,6,5,2020,it
Nerina,6,5,2020,it
Nina,6,5,2020,it
Macchia,5,9,2020,it
Bianca,5,9,2020,it
Nera,51,1,2021,it
Bianca,13,2,2021,it
Camosa,11,3,2021,it
Giada,6,4,2021,it
Ignazza,6,4,2021,it
Camosciata,6,4,2021,it
Moscia,6,4,2021,it
Frisa,6,4,2021,it
Neve,6,4,2021,it
Giusy,6,4,2021,it
Nera,53,1,2022,it
Nazza,19,2,2022,it
Bianca,14,3,2022,it
Camosa,11,4,2022,it
Ignazza,10,5,2022,it
Moscia,8,6,2022,it
Frisa,7,7,2022,it
Luna,7,7,2022,it
Rossa,7,7,2022,it
Stella,7,7,2022,it
Nera,78,1,2023,it
Bianca,14,2,2023,it
Ignazza,11,3,2023,it
Nazza,10,4,2023,it
Nerina,7,5,2023,it
Bella,7,5,2023,it
Luna,7,5,2023,it
Rossa,7,5,2023,it
Gina,6,9,2023,it
Gemma,6,9,2023,it
